Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1292,9.200000e-04,7.711183e-05,1.399548e-04
Jacobi,23,2915,5.600000e-03,3.434558e-05,6.235898e-05
Jacobi,31,5186,1.730800e-02,1.933381e-05,3.508528e-05
Jacobi,47,11673,8.698000e-02,8.597358e-06,1.560909e-05
Jacobi,63,20752,2.695490e-01,4.836899e-06,8.785548e-06
Jacobi,95,46691,1.346287e+00,2.150001e-06,3.905402e-06
Jacobi,127,50000,2.546512e+00,5.678201e-07,1.078048e-06
RB GS,15,656,5.050000e-04,7.711184e-05,1.399549e-04
RB GS,23,1478,2.798000e-03,3.434558e-05,6.235900e-05
RB GS,31,2629,8.740000e-03,1.933382e-05,3.508530e-05
RB GS,47,5918,4.647700e-02,8.597367e-06,1.560910e-05
RB GS,63,10520,1.466670e-01,4.836908e-06,8.785565e-06
RB GS,95,23668,7.298230e-01,2.150010e-06,3.905420e-06
RB GS,127,42074,2.302553e+00,1.209427e-06,2.196743e-06
RB SOR,15,78,6.000000e-05,7.711186e-05,1.399549e-04
RB SOR,23,119,2.270000e-04,3.434560e-05,6.235904e-05
RB SOR,31,161,5.300000e-04,1.933384e-05,3.508534e-05
RB SOR,47,244,1.893000e-03,8.597388e-06,1.560914e-05
RB SOR,63,328,4.458000e-03,4.836930e-06,8.785606e-06
RB SOR,95,499,1.565300e-02,2.150032e-06,3.905462e-06
RB SOR,127,671,3.698300e-02,1.209449e-06,2.196785e-06
MG V-cycle,15,14,6.400000e-05,7.711186e-05,1.399549e-04
MG V-cycle,23,16,1.380000e-04,3.434560e-05,6.235904e-05
MG V-cycle,31,15,2.640000e-04,1.933384e-05,3.508534e-05
MG V-cycle,47,16,5.750000e-04,8.597388e-06,1.560914e-05
MG V-cycle,63,16,1.022000e-03,4.836930e-06,8.785607e-06
MG V-cycle,95,17,2.561000e-03,2.150032e-06,3.905463e-06
MG V-cycle,127,17,4.201000e-03,1.209449e-06,2.196785e-06
MG W-cycle,15,12,7.200000e-05,7.711186e-05,1.399549e-04
MG W-cycle,23,12,1.320000e-04,3.434561e-05,6.235904e-05
MG W-cycle,31,12,2.390000e-04,1.933384e-05,3.508534e-05
MG W-cycle,47,12,6.020000e-04,8.597389e-06,1.560914e-05
MG W-cycle,63,12,1.100000e-03,4.836930e-06,8.785608e-06
MG W-cycle,95,13,2.524000e-03,2.150032e-06,3.905463e-06
MG W-cycle,127,13,4.669000e-03,1.209449e-06,2.196785e-06
