Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,177,1.290000e-04,1.214909e-02,2.429817e-02
Jacobi,23,407,7.650000e-04,5.359167e-03,1.071833e-02
Jacobi,31,728,2.375000e-03,3.006631e-03,6.013262e-03
Jacobi,47,1647,1.236000e-02,1.333781e-03,2.667561e-03
Jacobi,63,2934,3.856000e-02,7.497604e-04,1.499521e-03
Jacobi,95,6609,1.888050e-01,3.330710e-04,6.661420e-04
Jacobi,127,11755,6.215120e-01,1.873218e-04,3.746435e-04
RB GS,15,90,7.400000e-05,1.214909e-02,2.429817e-02
RB GS,23,207,4.210000e-04,5.359167e-03,1.071833e-02
RB GS,31,370,1.222000e-03,3.006631e-03,6.013262e-03
RB GS,47,837,6.899000e-03,1.333781e-03,2.667561e-03
RB GS,63,1489,2.069400e-02,7.497604e-04,1.499521e-03
RB GS,95,3355,1.052850e-01,3.330710e-04,6.661420e-04
RB GS,127,5966,3.242280e-01,1.873218e-04,3.746435e-04
RB SOR,15,61,5.100000e-05,1.214909e-02,2.429817e-02
RB SOR,23,92,1.730000e-04,5.359167e-03,1.071833e-02
RB SOR,31,123,4.060000e-04,3.006631e-03,6.013262e-03
RB SOR,47,184,1.449000e-03,1.333781e-03,2.667561e-03
RB SOR,63,245,3.430000e-03,7.497604e-04,1.499521e-03
RB SOR,95,368,1.144600e-02,3.330710e-04,6.661421e-04
RB SOR,127,491,2.700600e-02,1.873218e-04,3.746436e-04
MG V-cycle,15,11,5.200000e-05,1.214909e-02,2.429817e-02
MG V-cycle,23,12,1.120000e-04,5.359167e-03,1.071833e-02
MG V-cycle,31,12,1.770000e-04,3.006631e-03,6.013262e-03
MG V-cycle,47,13,4.270000e-04,1.333781e-03,2.667561e-03
MG V-cycle,63,13,8.490000e-04,7.497604e-04,1.499521e-03
MG V-cycle,95,14,2.180000e-03,3.330710e-04,6.661421e-04
MG V-cycle,127,14,3.545000e-03,1.873218e-04,3.746436e-04
MG W-cycle,15,10,6.100000e-05,1.214909e-02,2.429817e-02
MG W-cycle,23,10,1.350000e-04,5.359167e-03,1.071833e-02
MG W-cycle,31,10,2.250000e-04,3.006631e-03,6.013262e-03
MG W-cycle,47,10,5.570000e-04,1.333781e-03,2.667561e-03
MG W-cycle,63,10,8.560000e-04,7.497604e-04,1.499521e-03
MG W-cycle,95,10,2.006000e-03,3.330710e-04,6.661421e-04
MG W-cycle,127,10,3.598000e-03,1.873218e-04,3.746436e-04
