Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,462,3.590000e-04,2.180674e-04,4.521242e-04
Jacobi,23,1040,1.949000e-03,2.708782e-04,5.491605e-04
Jacobi,31,1849,6.084000e-03,2.876030e-04,5.803934e-04
Jacobi,47,4180,3.015000e-02,2.862662e-04,5.730024e-04
Jacobi,63,7531,9.853000e-02,2.615490e-04,5.265955e-04
Jacobi,95,18503,5.284510e-01,1.118528e-04,2.144209e-04
Jacobi,127,50000,2.531393e+00,1.212001e-04,2.070828e-04
RB GS,15,240,1.800000e-04,1.339153e-04,2.850242e-04
RB GS,23,541,1.042000e-03,1.800150e-04,3.671859e-04
RB GS,31,961,3.213000e-03,1.970457e-04,3.989248e-04
RB GS,47,2163,1.652100e-02,2.069639e-04,4.155515e-04
RB GS,63,3875,5.149300e-02,2.010225e-04,4.069094e-04
RB GS,95,9317,2.794380e-01,1.054501e-04,2.008006e-04
RB GS,127,50000,2.690615e+00,1.212001e-04,2.070828e-04
RB SOR,15,36,3.000000e-05,5.464697e-05,1.005106e-04
RB SOR,23,55,1.040000e-04,1.494241e-05,3.147844e-05
RB SOR,31,75,2.760000e-04,6.609729e-06,1.877116e-05
RB SOR,47,121,9.080000e-04,5.768387e-06,1.476063e-05
RB SOR,63,50000,6.736680e-01,3.974895e-06,1.068008e-05
RB SOR,95,50000,1.515846e+00,1.532218e-05,3.648498e-05
RB SOR,127,50000,2.681902e+00,1.435946e-05,3.394727e-05
MG V-cycle,15,6,3.100000e-05,6.235656e-05,1.256823e-04
MG V-cycle,23,7,6.700000e-05,2.844898e-05,5.629439e-05
MG V-cycle,31,7,1.080000e-04,1.509938e-05,3.103011e-05
MG V-cycle,47,8,3.630000e-04,8.799857e-06,1.774808e-05
MG V-cycle,63,8,5.500000e-04,6.524493e-06,1.448183e-05
MG V-cycle,95,9,1.219000e-03,2.536221e-06,7.370868e-06
MG V-cycle,127,100,2.386300e-02,4.516372e-06,1.094435e-05
MG W-cycle,15,5,3.400000e-05,7.080494e-05,1.409411e-04
MG W-cycle,23,5,7.000000e-05,3.337467e-05,6.273169e-05
MG W-cycle,31,6,1.520000e-04,2.030751e-05,3.758422e-05
MG W-cycle,47,6,2.980000e-04,8.016179e-06,1.572134e-05
MG W-cycle,63,6,5.140000e-04,4.790220e-06,1.290036e-05
MG W-cycle,95,7,1.360000e-03,2.776644e-06,8.801380e-06
MG W-cycle,127,100,3.390800e-02,1.797545e-06,7.241685e-06
