Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,73,1.100000e-03,5.400802e-14,1.635116e-13
RB SOR 3D,31,150,1.893200e-02,2.872077e-14,8.497543e-14
RB SOR 3D,47,228,1.037540e-01,2.021582e-14,5.890080e-14
RB SOR 3D,63,307,3.256530e-01,1.547478e-14,4.463964e-14
RB SOR 3D,79,386,8.005860e-01,1.327506e-14,3.805116e-14
RB SOR 3D,95,467,1.714075e+00,1.071896e-14,3.053287e-14
RB SOR 3D,111,547,3.284189e+00,9.814210e-15,2.781109e-14
RB SOR 3D,127,628,5.649422e+00,8.912535e-15,2.515002e-14
RB SOR 3D,143,709,9.335617e+00,8.405593e-15,2.362346e-14
RB SOR 3D,159,791,1.429183e+01,7.892185e-15,2.203619e-14
"MG 3D(v, nu=3, w=1.25)",15,7,6.510000e-04,1.005203e-14,2.810252e-14
"MG 3D(v, nu=3, w=1.25)",31,7,5.553000e-03,2.745220e-14,7.743459e-14
"MG 3D(v, nu=3, w=1.25)",47,7,1.990400e-02,2.412070e-14,6.818331e-14
"MG 3D(v, nu=3, w=1.25)",63,7,4.786800e-02,3.483746e-14,9.847678e-14
"MG 3D(v, nu=3, w=1.25)",95,7,1.672310e-01,2.697693e-14,7.636253e-14
"MG 3D(v, nu=3, w=1.25)",127,7,4.182910e-01,3.695415e-14,1.045639e-13
"MG 3D(v, nu=3, w=1.25)",191,7,1.424502e+00,2.773406e-14,7.853961e-14
"MG 3D(v, nu=3, w=1.25)",255,7,3.388184e+00,3.746236e-14,1.059777e-13
"MG 3D(v, nu=3, w=auto)",15,13,1.154000e-03,1.002948e-13,2.927207e-13
"MG 3D(v, nu=3, w=auto)",31,20,1.534300e-02,7.210946e-12,1.899820e-11
"MG 3D(v, nu=3, w=auto)",47,20,5.491200e-02,8.769015e-09,2.284939e-08
"MG 3D(v, nu=3, w=auto)",63,20,1.299160e-01,6.657837e-08,1.652201e-07
"MG 3D(v, nu=3, w=auto)",95,20,4.559330e-01,4.995515e-06,1.291801e-05
"MG 3D(v, nu=3, w=auto)",127,20,1.127850e+00,8.103635e-06,1.931152e-05
"MG 3D(v, nu=3, w=auto)",191,20,4.048055e+00,1.271912e-04,3.249004e-04
"MG 3D(v, nu=3, w=auto)",255,20,9.527892e+00,9.482238e-05,2.187321e-04
"MG 3D(w, nu=3, w=1.25)",15,6,6.310000e-04,3.747092e-14,1.064808e-13
"MG 3D(w, nu=3, w=1.25)",31,5,4.551000e-03,2.153474e-14,5.366020e-14
"MG 3D(w, nu=3, w=1.25)",47,5,1.638200e-02,1.373103e-15,5.160369e-15
"MG 3D(w, nu=3, w=1.25)",63,5,3.919400e-02,2.435309e-16,1.114126e-15
"MG 3D(w, nu=3, w=1.25)",95,4,1.120630e-01,4.560611e-15,1.886360e-14
"MG 3D(w, nu=3, w=1.25)",127,4,2.667560e-01,1.139958e-15,5.673196e-15
"MG 3D(w, nu=3, w=1.25)",191,4,9.357200e-01,2.551300e-16,1.283804e-15
"MG 3D(w, nu=3, w=1.25)",255,4,2.228712e+00,1.655553e-16,7.042977e-16
"MG 3D(w, nu=3, w=auto)",15,11,1.117000e-03,2.101686e-13,6.238239e-13
"MG 3D(w, nu=3, w=auto)",31,20,1.707400e-02,5.155437e-15,1.755540e-14
"MG 3D(w, nu=3, w=auto)",47,20,6.162200e-02,6.248921e-12,3.302447e-11
"MG 3D(w, nu=3, w=auto)",63,20,1.486140e-01,1.817772e-10,7.850746e-10
"MG 3D(w, nu=3, w=auto)",95,20,5.172110e-01,2.832415e-09,1.052374e-08
"MG 3D(w, nu=3, w=auto)",127,20,1.300291e+00,9.931990e-09,5.137311e-08
"MG 3D(w, nu=3, w=auto)",191,20,4.552860e+00,5.816085e-08,4.448054e-07
"MG 3D(w, nu=3, w=auto)",255,20,1.092486e+01,8.577793e-08,4.991298e-07
