Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,60,8.990000e-04,1.412551e-02,3.995298e-02
RB SOR 3D,31,124,1.566900e-02,3.475092e-03,9.829044e-03
RB SOR 3D,47,187,8.380800e-02,1.539914e-03,4.355535e-03
RB SOR 3D,63,239,2.545590e-01,8.653042e-04,2.447450e-03
RB SOR 3D,79,299,6.192670e-01,5.535291e-04,1.565617e-03
RB SOR 3D,95,374,1.369707e+00,3.842951e-04,1.086951e-03
RB SOR 3D,111,437,2.622206e+00,2.822949e-04,7.984506e-04
RB SOR 3D,127,478,4.298126e+00,2.161100e-04,6.112513e-04
RB SOR 3D,143,538,7.098798e+00,1.707416e-04,4.829303e-04
RB SOR 3D,159,598,1.091783e+01,1.382938e-04,3.911539e-04
"MG 3D(v, nu=3, w=1.25)",15,4,4.220000e-04,1.412551e-02,3.995298e-02
"MG 3D(v, nu=3, w=1.25)",31,6,5.000000e-03,3.475092e-03,9.829044e-03
"MG 3D(v, nu=3, w=1.25)",47,6,1.703700e-02,1.539914e-03,4.355535e-03
"MG 3D(v, nu=3, w=1.25)",63,7,4.681800e-02,8.653042e-04,2.447450e-03
"MG 3D(v, nu=3, w=1.25)",95,7,1.642710e-01,3.842951e-04,1.086951e-03
"MG 3D(v, nu=3, w=1.25)",127,7,4.047060e-01,2.161100e-04,6.112514e-04
"MG 3D(v, nu=3, w=1.25)",191,7,1.449231e+00,9.603113e-05,2.716170e-04
"MG 3D(v, nu=3, w=1.25)",255,7,3.407605e+00,5.401401e-05,1.527747e-04
"MG 3D(v, nu=3, w=auto)",15,10,9.740000e-04,1.412551e-02,3.995298e-02
"MG 3D(v, nu=3, w=auto)",31,19,1.431800e-02,3.475092e-03,9.829044e-03
"MG 3D(v, nu=3, w=auto)",47,20,5.573600e-02,1.539817e-03,4.355267e-03
"MG 3D(v, nu=3, w=auto)",63,20,1.308420e-01,8.571689e-04,2.423350e-03
"MG 3D(v, nu=3, w=auto)",95,20,4.524130e-01,2.045529e-04,5.854814e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.111538e+00,9.204025e-04,2.748320e-03
"MG 3D(v, nu=3, w=auto)",191,20,4.090001e+00,4.908360e-03,1.454878e-02
"MG 3D(v, nu=3, w=auto)",255,20,9.615947e+00,1.197169e-02,3.566920e-02
"MG 3D(w, nu=3, w=1.25)",15,4,4.780000e-04,1.412551e-02,3.995298e-02
"MG 3D(w, nu=3, w=1.25)",31,6,5.471000e-03,3.475092e-03,9.829044e-03
"MG 3D(w, nu=3, w=1.25)",47,6,1.904600e-02,1.539914e-03,4.355535e-03
"MG 3D(w, nu=3, w=1.25)",63,6,4.639500e-02,8.653042e-04,2.447450e-03
"MG 3D(w, nu=3, w=1.25)",95,5,1.395990e-01,3.842951e-04,1.086951e-03
"MG 3D(w, nu=3, w=1.25)",127,5,3.382460e-01,2.161100e-04,6.112514e-04
"MG 3D(w, nu=3, w=1.25)",191,4,9.503180e-01,9.603113e-05,2.716170e-04
"MG 3D(w, nu=3, w=1.25)",255,4,2.290569e+00,5.401401e-05,1.527747e-04
"MG 3D(w, nu=3, w=auto)",15,10,9.950000e-04,1.412551e-02,3.995298e-02
"MG 3D(w, nu=3, w=auto)",31,19,1.635600e-02,3.475092e-03,9.829044e-03
"MG 3D(w, nu=3, w=auto)",47,20,6.243300e-02,1.539892e-03,4.355472e-03
"MG 3D(w, nu=3, w=auto)",63,20,1.482010e-01,8.652963e-04,2.447571e-03
"MG 3D(w, nu=3, w=auto)",95,20,5.256020e-01,3.844420e-04,1.088428e-03
"MG 3D(w, nu=3, w=auto)",127,20,1.299634e+00,2.164247e-04,6.350444e-04
"MG 3D(w, nu=3, w=auto)",191,20,4.567283e+00,1.006084e-04,3.970820e-04
"MG 3D(w, nu=3, w=auto)",255,20,1.091968e+01,6.280318e-05,2.658097e-04
