Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1286,1.766100e-02,1.196900e-04,2.822350e-04
Jacobi 3D,23,2899,1.510930e-01,5.342622e-05,1.259593e-04
Jacobi 3D,31,5157,6.327680e-01,3.009745e-05,7.114292e-05
Jacobi 3D,39,8058,1.950014e+00,1.927572e-05,4.560156e-05
Jacobi 3D,47,11604,4.827413e+00,1.339094e-05,3.168554e-05
Jacobi 3D,55,15793,1.044596e+01,9.840460e-06,2.328317e-05
Jacobi 3D,63,20627,2.047911e+01,7.535198e-06,1.782622e-05
RB GS 3D,15,652,9.602000e-03,1.196900e-04,2.822350e-04
RB GS 3D,23,1470,7.535700e-02,5.342624e-05,1.259593e-04
RB GS 3D,31,2615,3.219550e-01,3.009747e-05,7.114296e-05
RB GS 3D,39,4086,1.067054e+00,1.927574e-05,4.560160e-05
RB GS 3D,47,5883,2.638986e+00,1.339096e-05,3.168558e-05
RB GS 3D,55,8007,5.694041e+00,9.840475e-06,2.328321e-05
RB GS 3D,63,10458,1.105999e+01,7.535214e-06,1.782626e-05
RB SOR 3D,15,78,1.164000e-03,1.196900e-04,2.822351e-04
RB SOR 3D,23,119,6.498000e-03,5.342627e-05,1.259594e-04
RB SOR 3D,31,160,2.353800e-02,3.009750e-05,7.114304e-05
RB SOR 3D,47,243,1.097000e-01,1.339099e-05,3.168567e-05
RB SOR 3D,63,327,3.433920e-01,7.535250e-06,1.782635e-05
RB SOR 3D,79,411,8.616710e-01,4.823394e-06,1.141042e-05
RB SOR 3D,95,496,1.822341e+00,3.349893e-06,7.926261e-06
RB SOR 3D,111,582,3.511926e+00,2.461285e-06,5.823449e-06
RB SOR 3D,127,668,6.209655e+00,1.884490e-06,4.458498e-06
RB SOR 3D,143,755,9.895485e+00,1.489017e-06,3.523180e-06
RB SOR 3D,159,842,1.545428e+01,1.206125e-06,2.853790e-06
MG V-cycle 3D,15,11,8.260000e-04,1.196900e-04,2.822350e-04
MG V-cycle 3D,31,12,7.444000e-03,3.009750e-05,7.114303e-05
MG V-cycle 3D,47,12,2.657700e-02,1.339097e-05,3.168560e-05
MG V-cycle 3D,63,12,6.406400e-02,7.535245e-06,1.782633e-05
MG V-cycle 3D,95,13,2.417200e-01,3.349891e-06,7.926255e-06
MG V-cycle 3D,127,13,5.965120e-01,1.884491e-06,4.458497e-06
MG V-cycle 3D,191,13,2.138055e+00,8.376035e-07,1.981858e-06
MG V-cycle 3D,255,13,5.069049e+00,4.711635e-07,1.114822e-06
MG W-cycle 3D,15,10,8.290000e-04,1.196900e-04,2.822351e-04
MG W-cycle 3D,31,11,7.999000e-03,3.009750e-05,7.114305e-05
MG W-cycle 3D,47,11,2.728100e-02,1.339099e-05,3.168567e-05
MG W-cycle 3D,63,11,6.627700e-02,7.535252e-06,1.782635e-05
MG W-cycle 3D,95,11,2.460950e-01,3.349894e-06,7.926264e-06
MG W-cycle 3D,127,11,5.883550e-01,1.884491e-06,4.458500e-06
MG W-cycle 3D,191,11,2.060685e+00,8.376071e-07,1.981868e-06
MG W-cycle 3D,255,11,4.909693e+00,4.711644e-07,1.114826e-06
