Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1187,1.582300e-02,1.138076e-03,3.218964e-03
Jacobi 3D,23,2680,1.406660e-01,5.052696e-04,1.429118e-03
Jacobi 3D,31,4771,5.885500e-01,2.841076e-04,8.035776e-04
Jacobi 3D,39,7458,1.853699e+00,1.817973e-04,5.142004e-04
Jacobi 3D,47,10743,4.490094e+00,1.262362e-04,3.570499e-04
Jacobi 3D,55,14626,9.695067e+00,9.273969e-05,2.623074e-04
Jacobi 3D,63,19105,1.907876e+01,7.100120e-05,2.008217e-04
RB GS 3D,15,603,8.918000e-03,1.138076e-03,3.218964e-03
RB GS 3D,23,1361,6.961500e-02,5.052696e-04,1.429118e-03
RB GS 3D,31,2422,2.971490e-01,2.841076e-04,8.035776e-04
RB GS 3D,39,3786,9.884610e-01,1.817973e-04,5.142004e-04
RB GS 3D,47,5453,2.452885e+00,1.262362e-04,3.570499e-04
RB GS 3D,55,7423,5.262696e+00,9.273970e-05,2.623075e-04
RB GS 3D,63,9697,1.027265e+01,7.100121e-05,2.008217e-04
RB SOR 3D,15,73,1.090000e-03,1.138076e-03,3.218964e-03
RB SOR 3D,23,111,5.705000e-03,5.052696e-04,1.429118e-03
RB SOR 3D,31,150,1.847400e-02,2.841076e-04,8.035777e-04
RB SOR 3D,47,228,1.024900e-01,1.262362e-04,3.570500e-04
RB SOR 3D,63,307,3.249680e-01,7.100123e-05,2.008218e-04
RB SOR 3D,79,387,8.055210e-01,4.543882e-05,1.285204e-04
RB SOR 3D,95,467,1.719938e+00,3.155399e-05,8.924816e-05
RB SOR 3D,111,548,3.341591e+00,2.318219e-05,6.556915e-05
RB SOR 3D,127,629,5.794283e+00,1.774870e-05,5.020091e-05
RB SOR 3D,143,710,9.316591e+00,1.402358e-05,3.966467e-05
RB SOR 3D,159,792,1.470905e+01,1.135905e-05,3.212824e-05
MG V-cycle 3D,15,11,8.260000e-04,1.138076e-03,3.218964e-03
MG V-cycle 3D,31,11,7.007000e-03,2.841076e-04,8.035777e-04
MG V-cycle 3D,47,11,2.583200e-02,1.262362e-04,3.570499e-04
MG V-cycle 3D,63,11,6.080400e-02,7.100123e-05,2.008218e-04
MG V-cycle 3D,95,11,2.023410e-01,3.155397e-05,8.924809e-05
MG V-cycle 3D,127,11,5.044870e-01,1.774870e-05,5.020090e-05
MG V-cycle 3D,191,11,1.836764e+00,7.888156e-06,2.231107e-05
MG V-cycle 3D,255,11,4.297847e+00,4.437070e-06,1.254993e-05
MG W-cycle 3D,15,8,6.780000e-04,1.138076e-03,3.218964e-03
MG W-cycle 3D,31,6,4.846000e-03,2.841076e-04,8.035777e-04
MG W-cycle 3D,47,5,1.302300e-02,1.262362e-04,3.570500e-04
MG W-cycle 3D,63,5,3.204700e-02,7.100123e-05,2.008218e-04
MG W-cycle 3D,95,5,1.090060e-01,3.155399e-05,8.924816e-05
MG W-cycle 3D,127,5,2.833630e-01,1.774870e-05,5.020092e-05
MG W-cycle 3D,191,4,7.569350e-01,7.888181e-06,2.231114e-05
MG W-cycle 3D,255,4,1.857094e+00,4.437076e-06,1.254995e-05
