Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,100,1.200390e-01,1.649672e-17,5.551115e-17
RB SOR,31,150,9.975000e-02,1.570604e-13,3.274325e-13
RB SOR,63,350,1.159680e-01,1.379461e-15,2.817191e-15
RB SOR,127,650,1.081140e-01,1.515235e-14,3.057971e-14
RB SOR,255,1300,1.269500e-01,1.519209e-14,3.050338e-14
RB SOR,511,2650,1.589570e-01,8.561136e-15,1.713907e-14
"MG(v, nu=3, w=1.25)",15,5,1.037560e-01,7.179755e-14,1.794190e-13
"MG(v, nu=3, w=1.25)",31,5,1.282760e-01,2.411335e-13,5.389508e-13
"MG(v, nu=3, w=1.25)",63,6,1.003340e-01,3.388235e-15,5.741935e-15
"MG(v, nu=3, w=1.25)",127,6,1.001740e-01,3.745806e-15,7.070733e-15
"MG(v, nu=3, w=1.25)",255,6,1.031860e-01,3.832266e-15,7.376044e-15
"MG(v, nu=3, w=1.25)",511,6,1.063160e-01,3.984271e-15,7.065529e-15
"MG(v, nu=3, w=auto)",15,13,9.546200e-02,1.144224e-12,2.291764e-12
"MG(v, nu=3, w=auto)",31,24,9.985000e-02,1.469813e-12,2.894157e-12
"MG(v, nu=3, w=auto)",63,45,1.268610e-01,7.676459e-13,1.139214e-12
"MG(v, nu=3, w=auto)",127,88,1.776210e-01,1.639252e-13,3.323800e-13
"MG(v, nu=3, w=auto)",255,100,1.803630e-01,1.624870e-09,3.540172e-09
"MG(v, nu=3, w=auto)",511,100,2.211390e-01,5.058657e-07,1.303438e-06
"MG(w, nu=3, w=1.25)",15,5,1.023960e-01,7.140977e-14,1.989658e-13
"MG(w, nu=3, w=1.25)",31,5,1.012370e-01,4.024165e-14,8.507084e-14
"MG(w, nu=3, w=1.25)",63,5,1.089090e-01,1.076158e-14,2.891437e-14
"MG(w, nu=3, w=1.25)",127,5,1.241440e-01,2.320468e-15,8.173150e-15
"MG(w, nu=3, w=1.25)",255,5,1.493580e-01,1.469827e-15,4.864165e-15
"MG(w, nu=3, w=1.25)",511,5,2.228920e-01,1.753023e-15,5.752343e-15
"MG(w, nu=3, w=auto)",15,12,9.978100e-02,2.882577e-13,5.719800e-13
"MG(w, nu=3, w=auto)",31,20,1.358300e-01,3.687011e-13,1.016846e-12
"MG(w, nu=3, w=auto)",63,39,2.428460e-01,2.925035e-14,9.230117e-14
"MG(w, nu=3, w=auto)",127,77,5.100710e-01,2.711514e-15,8.937295e-15
"MG(w, nu=3, w=auto)",255,100,1.219198e+00,1.473513e-12,4.666496e-12
"MG(w, nu=3, w=auto)",511,100,2.276930e+00,1.311065e-09,4.531496e-09
