Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,100,1.074990e-01,2.953815e-04,5.717083e-04
RB SOR,31,150,9.426300e-02,7.433228e-05,1.438535e-04
RB SOR,63,300,1.026700e-01,1.861234e-05,3.615085e-05
RB SOR,127,600,1.007690e-01,4.654896e-06,9.044184e-06
RB SOR,255,1250,1.254740e-01,1.163837e-06,2.262062e-06
RB SOR,511,2600,1.681850e-01,2.909662e-07,5.655295e-07
"MG(v, nu=3, w=1.25)",15,5,1.068020e-01,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=1.25)",31,6,1.076170e-01,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=1.25)",63,6,9.972100e-02,1.861234e-05,3.615086e-05
"MG(v, nu=3, w=1.25)",127,7,1.091930e-01,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=1.25)",255,7,1.159980e-01,1.163837e-06,2.262062e-06
"MG(v, nu=3, w=1.25)",511,7,1.022190e-01,2.909662e-07,5.655295e-07
"MG(v, nu=3, w=auto)",15,11,9.779300e-02,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=auto)",31,24,1.166210e-01,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=auto)",63,49,1.505920e-01,1.861235e-05,3.615086e-05
"MG(v, nu=3, w=auto)",127,98,1.796040e-01,4.654895e-06,9.044183e-06
"MG(v, nu=3, w=auto)",255,100,1.776250e-01,1.010502e-06,2.153797e-06
"MG(v, nu=3, w=auto)",511,100,2.194090e-01,1.919122e-04,6.257709e-04
"MG(w, nu=3, w=1.25)",15,5,1.042720e-01,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=1.25)",31,6,1.078370e-01,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=1.25)",63,6,1.169470e-01,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=1.25)",127,7,1.447000e-01,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=1.25)",255,7,1.669050e-01,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=1.25)",511,7,2.625060e-01,2.909662e-07,5.655294e-07
"MG(w, nu=3, w=auto)",15,11,1.212810e-01,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=auto)",31,23,1.326930e-01,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=auto)",63,47,2.218470e-01,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=auto)",127,96,6.170760e-01,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=auto)",255,100,1.242587e+00,1.163927e-06,2.291117e-06
"MG(w, nu=3, w=auto)",511,100,2.295199e+00,1.519228e-05,7.640337e-05
