Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,100,9.545300e-02,1.609482e-03,3.218964e-03
RB SOR,31,150,9.203000e-02,4.017888e-04,8.035777e-04
RB SOR,63,350,1.144920e-01,1.004109e-04,2.008218e-04
RB SOR,127,650,1.041570e-01,2.510046e-05,5.020092e-05
RB SOR,255,1300,1.141110e-01,6.274973e-06,1.254995e-05
RB SOR,511,2650,1.511320e-01,1.568734e-06,3.137468e-06
"MG(v, nu=3, w=1.25)",15,5,9.832400e-02,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=1.25)",31,5,9.654300e-02,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=1.25)",63,5,9.895400e-02,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=1.25)",127,5,1.045080e-01,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=1.25)",255,5,9.456300e-02,6.274973e-06,1.254995e-05
"MG(v, nu=3, w=1.25)",511,5,9.579700e-02,1.568734e-06,3.137469e-06
"MG(v, nu=3, w=auto)",15,13,1.132480e-01,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=auto)",31,24,1.000210e-01,4.017888e-04,8.035776e-04
"MG(v, nu=3, w=auto)",63,45,1.081630e-01,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=auto)",127,85,1.574910e-01,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=auto)",255,100,1.812380e-01,6.266272e-06,1.254468e-05
"MG(v, nu=3, w=auto)",511,100,2.111980e-01,4.551949e-06,1.485668e-05
"MG(w, nu=3, w=1.25)",15,4,8.853000e-02,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=1.25)",31,4,9.338000e-02,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=1.25)",63,4,1.029460e-01,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=1.25)",127,4,1.274260e-01,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=1.25)",255,4,1.355570e-01,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=1.25)",511,4,1.850600e-01,1.568734e-06,3.137469e-06
"MG(w, nu=3, w=auto)",15,12,9.681700e-02,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=auto)",31,20,1.287850e-01,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=auto)",63,39,2.112580e-01,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=auto)",127,78,5.289690e-01,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=auto)",255,100,1.154439e+00,6.274987e-06,1.254992e-05
"MG(w, nu=3, w=auto)",511,100,2.369571e+00,1.571961e-06,3.165023e-06
