Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,50,9.038400e-02,5.380904e-09,2.235174e-08
RB SOR,31,100,8.879700e-02,2.662383e-08,6.705523e-08
RB SOR,63,150,1.000740e-01,2.125021e-07,4.805624e-07
RB SOR,127,350,8.965200e-02,3.787569e-07,8.158386e-07
RB SOR,255,20000,3.613510e-01,9.827647e-07,2.030283e-06
RB SOR,511,20000,4.213470e-01,1.197739e-06,2.086221e-06
"MG(v, nu=3, w=1.25)",15,2,9.559600e-02,3.259220e-07,5.103648e-07
"MG(v, nu=3, w=1.25)",31,2,9.203000e-02,2.556257e-07,4.135072e-07
"MG(v, nu=3, w=1.25)",63,2,9.076300e-02,2.573085e-07,4.023314e-07
"MG(v, nu=3, w=1.25)",127,2,9.386000e-02,2.803731e-07,4.246831e-07
"MG(v, nu=3, w=1.25)",255,2,1.007660e-01,9.872231e-07,2.093613e-06
"MG(v, nu=3, w=1.25)",511,100,2.178840e-01,5.600734e-07,1.303852e-06
"MG(v, nu=3, w=auto)",15,5,9.337400e-02,3.252221e-06,6.511807e-06
"MG(v, nu=3, w=auto)",31,8,8.984400e-02,1.174081e-05,2.247095e-05
"MG(v, nu=3, w=auto)",63,15,9.170700e-02,9.454505e-06,1.679733e-05
"MG(v, nu=3, w=auto)",127,43,1.295240e-01,1.981912e-07,4.954636e-07
"MG(v, nu=3, w=auto)",255,100,1.632720e-01,5.174477e-07,1.464039e-06
"MG(v, nu=3, w=auto)",511,100,1.799920e-01,2.291381e-06,5.912036e-06
"MG(w, nu=3, w=1.25)",15,2,9.619800e-02,1.506790e-07,2.831221e-07
"MG(w, nu=3, w=1.25)",31,2,1.091640e-01,6.623321e-08,1.396984e-07
"MG(w, nu=3, w=1.25)",63,2,9.933900e-02,5.253119e-08,1.490116e-07
"MG(w, nu=3, w=1.25)",127,2,1.196660e-01,1.387472e-07,3.539026e-07
"MG(w, nu=3, w=1.25)",255,2,1.083900e-01,1.223173e-07,3.008172e-07
"MG(w, nu=3, w=1.25)",511,100,2.268402e+00,7.447569e-07,1.548789e-06
"MG(w, nu=3, w=auto)",15,4,9.183900e-02,6.897707e-06,1.367182e-05
"MG(w, nu=3, w=auto)",31,6,9.957700e-02,2.195809e-06,6.034970e-06
"MG(w, nu=3, w=auto)",63,12,1.145990e-01,1.475842e-07,4.619360e-07
"MG(w, nu=3, w=auto)",127,28,2.645630e-01,9.779379e-08,2.719462e-07
"MG(w, nu=3, w=auto)",255,100,1.148348e+00,6.908547e-08,2.682209e-07
"MG(w, nu=3, w=auto)",511,100,2.282528e+00,1.148659e-07,4.396425e-07
