Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,50,9.032500e-02,1.609068e-03,3.218174e-03
RB SOR,31,100,1.015300e-01,4.014856e-04,8.028746e-04
RB SOR,63,150,9.243400e-02,9.717323e-05,1.944566e-04
RB SOR,127,300,1.014820e-01,2.165527e-05,4.404136e-05
RB SOR,255,20000,3.891050e-01,2.342141e-06,5.516925e-06
RB SOR,511,20000,3.962470e-01,3.405239e-06,1.133374e-05
"MG(v, nu=3, w=1.25)",15,2,9.644500e-02,1.604940e-03,3.210664e-03
"MG(v, nu=3, w=1.25)",31,2,8.765600e-02,3.990079e-04,7.978678e-04
"MG(v, nu=3, w=1.25)",63,2,9.028100e-02,9.817213e-05,1.960993e-04
"MG(v, nu=3, w=1.25)",127,2,9.720800e-02,2.338625e-05,4.726552e-05
"MG(v, nu=3, w=1.25)",255,2,1.120240e-01,1.196250e-05,2.209550e-05
"MG(v, nu=3, w=1.25)",511,100,1.839970e-01,1.396526e-06,5.721770e-06
"MG(v, nu=3, w=auto)",15,5,8.723500e-02,1.658323e-03,3.315091e-03
"MG(v, nu=3, w=auto)",31,8,1.034250e-01,2.254925e-04,4.531145e-04
"MG(v, nu=3, w=auto)",63,15,1.004390e-01,2.403978e-04,4.782939e-04
"MG(v, nu=3, w=auto)",127,32,1.150710e-01,2.660847e-06,9.384177e-06
"MG(v, nu=3, w=auto)",255,100,1.675650e-01,6.174117e-06,1.721838e-05
"MG(v, nu=3, w=auto)",511,100,1.855890e-01,1.195424e-05,3.631078e-05
"MG(w, nu=3, w=1.25)",15,2,1.033140e-01,1.608416e-03,3.216743e-03
"MG(w, nu=3, w=1.25)",31,2,9.209300e-02,4.014652e-04,8.029938e-04
"MG(w, nu=3, w=1.25)",63,2,1.147710e-01,1.000930e-04,2.006292e-04
"MG(w, nu=3, w=1.25)",127,2,9.553100e-02,2.366867e-05,4.869603e-05
"MG(w, nu=3, w=1.25)",255,2,1.370320e-01,6.674471e-06,1.484059e-05
"MG(w, nu=3, w=1.25)",511,100,2.168207e+00,2.197835e-06,6.998856e-06
"MG(w, nu=3, w=auto)",15,4,1.149310e-01,1.505319e-03,3.016114e-03
"MG(w, nu=3, w=auto)",31,6,9.273600e-02,4.012209e-04,7.988662e-04
"MG(w, nu=3, w=auto)",63,12,1.317250e-01,1.002972e-04,2.009535e-04
"MG(w, nu=3, w=auto)",127,25,2.181330e-01,2.470014e-05,4.976309e-05
"MG(w, nu=3, w=auto)",255,100,1.134075e+00,6.617340e-06,1.512883e-05
"MG(w, nu=3, w=auto)",511,100,2.108527e+00,3.313727e-06,1.141795e-05
