Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,350,9.638600e-02,2.953815e-04,5.717083e-04
Jacobi,23,700,1.020650e-01,1.319268e-04,2.556500e-04
Jacobi,31,1250,1.066380e-01,7.433227e-05,1.438534e-04
Jacobi,47,2850,1.189170e-01,3.307519e-05,6.408442e-05
Jacobi,63,5000,1.407540e-01,1.861233e-05,3.615083e-05
Jacobi,95,11250,2.113950e-01,8.274526e-06,1.608248e-05
Jacobi,127,20000,2.489050e-01,4.654884e-06,9.044162e-06
RB GS,15,200,1.125560e-01,2.953815e-04,5.717083e-04
RB GS,23,400,1.113760e-01,1.319268e-04,2.556500e-04
RB GS,31,650,1.123810e-01,7.433228e-05,1.438535e-04
RB GS,47,1450,1.170230e-01,3.307520e-05,6.408443e-05
RB GS,63,2550,1.237930e-01,1.861234e-05,3.615084e-05
RB GS,95,5750,1.678680e-01,8.274531e-06,1.608249e-05
RB GS,127,10150,2.513240e-01,4.654888e-06,9.044169e-06
RB SOR,15,100,1.042260e-01,2.953815e-04,5.717083e-04
RB SOR,23,150,1.039560e-01,1.319268e-04,2.556500e-04
RB SOR,31,150,9.484300e-02,7.433228e-05,1.438535e-04
RB SOR,47,250,1.172480e-01,3.307520e-05,6.408444e-05
RB SOR,63,300,1.065690e-01,1.861234e-05,3.615085e-05
RB SOR,95,450,1.155690e-01,8.274537e-06,1.608250e-05
RB SOR,127,600,1.087340e-01,4.654896e-06,9.044184e-06
MG V-cycle,15,9,9.550300e-02,2.953815e-04,5.717083e-04
MG V-cycle,23,9,1.073760e-01,1.319268e-04,2.556500e-04
MG V-cycle,31,9,1.182880e-01,7.433228e-05,1.438535e-04
MG V-cycle,47,9,1.007830e-01,3.307520e-05,6.408443e-05
MG V-cycle,63,9,1.663110e-01,1.861234e-05,3.615085e-05
MG V-cycle,95,9,1.061040e-01,8.274532e-06,1.608249e-05
MG V-cycle,127,9,1.051920e-01,4.654891e-06,9.044174e-06
MG W-cycle,15,8,9.561400e-02,2.953815e-04,5.717083e-04
MG W-cycle,23,8,9.541900e-02,1.319268e-04,2.556500e-04
MG W-cycle,31,8,1.122640e-01,7.433228e-05,1.438535e-04
MG W-cycle,47,8,1.144680e-01,3.307520e-05,6.408444e-05
MG W-cycle,63,8,1.184170e-01,1.861234e-05,3.615085e-05
MG W-cycle,95,8,1.434630e-01,8.274538e-06,1.608250e-05
MG W-cycle,127,8,2.191820e-01,4.654896e-06,9.044184e-06
