Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1300,1.063480e-01,7.711184e-05,1.399548e-04
Jacobi,23,2950,1.094890e-01,3.434558e-05,6.235900e-05
Jacobi,31,5200,1.606360e-01,1.933381e-05,3.508528e-05
Jacobi,47,11700,2.002850e-01,8.597360e-06,1.560909e-05
Jacobi,63,20800,2.560450e-01,4.836901e-06,8.785551e-06
Jacobi,95,46700,4.840670e-01,2.150001e-06,3.905403e-06
Jacobi,127,50000,4.843040e-01,5.678201e-07,1.078048e-06
RB GS,15,700,1.205310e-01,7.711186e-05,1.399549e-04
RB GS,23,1500,1.180020e-01,3.434559e-05,6.235901e-05
RB GS,31,2650,1.713820e-01,1.933382e-05,3.508530e-05
RB GS,47,5950,1.672740e-01,8.597370e-06,1.560911e-05
RB GS,63,10550,2.479370e-01,4.836910e-06,8.785568e-06
RB GS,95,23700,4.106740e-01,2.150011e-06,3.905421e-06
RB GS,127,42100,6.570500e-01,1.209427e-06,2.196743e-06
RB SOR,15,100,1.062080e-01,7.711186e-05,1.399549e-04
RB SOR,23,150,1.005890e-01,3.434561e-05,6.235904e-05
RB SOR,31,200,1.019310e-01,1.933384e-05,3.508534e-05
RB SOR,47,250,9.785200e-02,8.597389e-06,1.560914e-05
RB SOR,63,350,9.430200e-02,4.836930e-06,8.785607e-06
RB SOR,95,500,1.146020e-01,2.150032e-06,3.905462e-06
RB SOR,127,700,1.028690e-01,1.209449e-06,2.196785e-06
MG V-cycle,15,9,9.752600e-02,7.711186e-05,1.399549e-04
MG V-cycle,23,10,9.260500e-02,3.434560e-05,6.235904e-05
MG V-cycle,31,9,1.054950e-01,1.933383e-05,3.508532e-05
MG V-cycle,47,10,1.155390e-01,8.597387e-06,1.560914e-05
MG V-cycle,63,10,9.922100e-02,4.836930e-06,8.785606e-06
MG V-cycle,95,10,1.017410e-01,2.150030e-06,3.905458e-06
MG V-cycle,127,10,1.001820e-01,1.209449e-06,2.196784e-06
MG W-cycle,15,8,9.794800e-02,7.711186e-05,1.399549e-04
MG W-cycle,23,9,1.148640e-01,3.434561e-05,6.235904e-05
MG W-cycle,31,9,1.112130e-01,1.933384e-05,3.508534e-05
MG W-cycle,47,9,1.154980e-01,8.597389e-06,1.560914e-05
MG W-cycle,63,9,1.150440e-01,4.836930e-06,8.785608e-06
MG W-cycle,95,9,1.447790e-01,2.150032e-06,3.905463e-06
MG W-cycle,127,9,1.530560e-01,1.209449e-06,2.196785e-06
