Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,200,9.654500e-02,1.214909e-02,2.429817e-02
Jacobi,23,450,1.171430e-01,5.359167e-03,1.071833e-02
Jacobi,31,750,1.162250e-01,3.006631e-03,6.013262e-03
Jacobi,47,1650,1.184100e-01,1.333781e-03,2.667561e-03
Jacobi,63,2950,1.397780e-01,7.497604e-04,1.499521e-03
Jacobi,95,6650,1.491330e-01,3.330710e-04,6.661420e-04
Jacobi,127,11800,2.136880e-01,1.873218e-04,3.746435e-04
RB GS,15,100,1.090740e-01,1.214909e-02,2.429817e-02
RB GS,23,250,9.546700e-02,5.359167e-03,1.071833e-02
RB GS,31,400,9.986300e-02,3.006631e-03,6.013262e-03
RB GS,47,850,1.041280e-01,1.333781e-03,2.667561e-03
RB GS,63,1500,1.221790e-01,7.497604e-04,1.499521e-03
RB GS,95,3400,1.626450e-01,3.330710e-04,6.661420e-04
RB GS,127,6000,2.108240e-01,1.873218e-04,3.746435e-04
RB SOR,15,100,1.031430e-01,1.214909e-02,2.429817e-02
RB SOR,23,100,9.947100e-02,5.359167e-03,1.071833e-02
RB SOR,31,150,1.010320e-01,3.006631e-03,6.013262e-03
RB SOR,47,200,1.106410e-01,1.333781e-03,2.667561e-03
RB SOR,63,300,1.182650e-01,7.497604e-04,1.499521e-03
RB SOR,95,450,1.028360e-01,3.330710e-04,6.661421e-04
RB SOR,127,550,1.231560e-01,1.873218e-04,3.746436e-04
MG V-cycle,15,8,1.250270e-01,1.214909e-02,2.429817e-02
MG V-cycle,23,8,1.098690e-01,5.359167e-03,1.071833e-02
MG V-cycle,31,8,1.015070e-01,3.006631e-03,6.013262e-03
MG V-cycle,47,9,1.026800e-01,1.333781e-03,2.667561e-03
MG V-cycle,63,9,1.113380e-01,7.497604e-04,1.499521e-03
MG V-cycle,95,9,1.273740e-01,3.330710e-04,6.661421e-04
MG V-cycle,127,9,1.153720e-01,1.873218e-04,3.746436e-04
MG W-cycle,15,8,1.044460e-01,1.214909e-02,2.429817e-02
MG W-cycle,23,7,1.154870e-01,5.359167e-03,1.071833e-02
MG W-cycle,31,7,1.026890e-01,3.006631e-03,6.013262e-03
MG W-cycle,47,6,1.224880e-01,1.333781e-03,2.667561e-03
MG W-cycle,63,5,1.057320e-01,7.497604e-04,1.499521e-03
MG W-cycle,95,5,1.180740e-01,3.330710e-04,6.661421e-04
MG W-cycle,127,4,1.097660e-01,1.873218e-04,3.746436e-04
