Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1200,1.167460e-01,1.609482e-03,3.218964e-03
Jacobi,23,2700,1.345680e-01,7.145591e-04,1.429118e-03
Jacobi,31,4800,1.526070e-01,4.017888e-04,8.035776e-04
Jacobi,47,10750,2.083820e-01,1.785250e-04,3.570499e-04
Jacobi,63,19150,2.565440e-01,1.004109e-04,2.008217e-04
Jacobi,95,43000,4.494210e-01,4.462403e-05,8.924806e-05
Jacobi,127,50000,4.843800e-01,2.495660e-05,4.991320e-05
RB GS,15,650,1.015880e-01,1.609482e-03,3.218964e-03
RB GS,23,1400,1.163500e-01,7.145591e-04,1.429118e-03
RB GS,31,2450,1.489110e-01,4.017888e-04,8.035776e-04
RB GS,47,5500,1.833540e-01,1.785250e-04,3.570500e-04
RB GS,63,9700,2.511610e-01,1.004109e-04,2.008217e-04
RB GS,95,21850,4.352360e-01,4.462405e-05,8.924810e-05
RB GS,127,38800,6.626490e-01,2.510042e-05,5.020085e-05
RB SOR,15,100,1.020470e-01,1.609482e-03,3.218964e-03
RB SOR,23,150,9.946500e-02,7.145592e-04,1.429118e-03
RB SOR,31,150,1.161960e-01,4.017888e-04,8.035777e-04
RB SOR,47,250,1.066520e-01,1.785250e-04,3.570500e-04
RB SOR,63,350,1.013690e-01,1.004109e-04,2.008218e-04
RB SOR,95,500,1.029200e-01,4.462408e-05,8.924816e-05
RB SOR,127,650,1.090980e-01,2.510046e-05,5.020092e-05
MG V-cycle,15,8,1.054120e-01,1.609482e-03,3.218964e-03
MG V-cycle,23,9,1.142530e-01,7.145592e-04,1.429118e-03
MG V-cycle,31,8,1.038090e-01,4.017888e-04,8.035776e-04
MG V-cycle,47,9,1.025980e-01,1.785250e-04,3.570500e-04
MG V-cycle,63,9,1.061190e-01,1.004109e-04,2.008218e-04
MG V-cycle,95,9,9.681300e-02,4.462407e-05,8.924815e-05
MG V-cycle,127,9,1.064220e-01,2.510046e-05,5.020091e-05
MG W-cycle,15,6,9.385800e-02,1.609482e-03,3.218964e-03
MG W-cycle,23,5,9.794400e-02,7.145591e-04,1.429118e-03
MG W-cycle,31,5,1.050000e-01,4.017888e-04,8.035777e-04
MG W-cycle,47,4,1.060690e-01,1.785250e-04,3.570500e-04
MG W-cycle,63,4,1.110240e-01,1.004109e-04,2.008218e-04
MG W-cycle,95,4,1.478570e-01,4.462408e-05,8.924816e-05
MG W-cycle,127,3,1.372230e-01,2.510044e-05,5.020089e-05
