Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,150,1.140620e-01,2.929641e-04,5.675374e-04
Jacobi,23,250,9.908100e-02,7.365456e-05,1.549721e-04
Jacobi,31,450,1.064000e-01,2.273652e-05,5.873433e-05
Jacobi,47,950,1.116020e-01,7.077791e-05,1.470709e-04
Jacobi,63,1700,1.166030e-01,8.045501e-05,1.637679e-04
Jacobi,95,3750,1.307250e-01,1.083775e-04,2.182126e-04
Jacobi,127,6700,1.494620e-01,1.075382e-04,2.157986e-04
RB GS,15,100,9.958000e-02,2.952749e-04,5.715905e-04
RB GS,23,150,1.034690e-01,1.212231e-04,2.354078e-04
RB GS,31,250,9.906400e-02,5.306054e-05,1.063763e-04
RB GS,47,500,1.383690e-01,3.570396e-05,7.743301e-05
RB GS,63,900,1.295590e-01,4.309010e-05,8.944088e-05
RB GS,95,1950,1.272820e-01,7.649286e-05,1.545891e-04
RB GS,127,3500,1.498040e-01,7.360740e-05,1.481034e-04
RB SOR,15,50,8.735500e-02,2.953355e-04,5.717693e-04
RB SOR,23,50,9.807000e-02,1.326691e-04,2.575807e-04
RB SOR,31,100,9.155800e-02,7.429667e-05,1.438676e-04
RB SOR,47,100,9.614600e-02,3.395445e-05,6.744192e-05
RB SOR,63,150,1.017960e-01,1.834309e-05,3.552227e-05
RB SOR,95,200,9.216500e-02,8.971780e-06,1.858448e-05
RB SOR,127,300,9.783300e-02,4.761864e-06,9.991771e-06
MG V-cycle,15,3,1.007040e-01,2.544113e-04,4.962503e-04
MG V-cycle,23,3,9.813900e-02,6.324573e-05,1.189403e-04
MG V-cycle,31,4,9.987900e-02,6.998865e-05,1.351057e-04
MG V-cycle,47,4,1.007660e-01,2.770620e-05,5.373285e-05
MG V-cycle,63,4,1.003180e-01,1.334861e-05,2.554858e-05
MG V-cycle,95,4,1.140180e-01,2.680266e-06,5.501441e-06
MG V-cycle,127,4,1.053010e-01,1.264619e-06,6.280205e-06
MG W-cycle,15,3,1.031940e-01,2.730754e-04,5.278407e-04
MG W-cycle,23,3,1.046420e-01,1.234799e-04,2.370767e-04
MG W-cycle,31,3,9.590000e-02,7.132875e-05,1.439312e-04
MG W-cycle,47,3,1.041990e-01,3.273426e-05,6.548749e-05
MG W-cycle,63,3,1.070560e-01,1.869492e-05,3.586019e-05
MG W-cycle,95,4,1.133120e-01,8.392566e-06,1.661752e-05
MG W-cycle,127,4,1.141290e-01,4.593664e-06,9.320290e-06
