Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,500,1.052520e-01,6.588637e-05,1.469233e-04
Jacobi,23,1050,1.021720e-01,2.459378e-04,4.990926e-04
Jacobi,31,1850,1.122130e-01,2.861257e-04,5.777708e-04
Jacobi,47,4200,1.403540e-01,2.738245e-04,5.482069e-04
Jacobi,63,7550,1.502930e-01,2.556012e-04,5.146746e-04
Jacobi,95,18700,2.510460e-01,1.022705e-04,1.943937e-04
Jacobi,127,20000,2.439960e-01,5.562278e-03,1.112803e-02
RB GS,15,250,1.013030e-01,6.732926e-05,1.519867e-04
RB GS,23,550,1.122370e-01,1.496493e-04,3.066276e-04
RB GS,31,1000,1.076920e-01,1.293142e-04,2.644567e-04
RB GS,47,2200,1.286620e-01,1.750821e-04,3.509401e-04
RB GS,63,3900,1.513780e-01,1.892914e-04,3.830675e-04
RB GS,95,9450,2.206280e-01,9.368154e-05,1.776740e-04
RB GS,127,20000,3.601830e-01,1.212001e-04,2.070828e-04
RB SOR,15,50,9.937000e-02,7.696455e-05,1.397490e-04
RB SOR,23,100,9.776400e-02,3.281091e-05,6.034750e-05
RB SOR,31,100,9.895800e-02,1.969323e-05,3.709129e-05
RB SOR,47,150,9.638100e-02,1.000526e-05,2.057479e-05
RB SOR,63,20000,3.900650e-01,4.036339e-06,1.089182e-05
RB SOR,95,20000,3.775310e-01,1.487907e-05,3.503244e-05
RB SOR,127,20000,4.158370e-01,1.416642e-05,3.274821e-05
MG V-cycle,15,4,1.014280e-01,6.210266e-05,1.113772e-04
MG V-cycle,23,4,9.807000e-02,2.287221e-06,7.458048e-06
MG V-cycle,31,4,9.553900e-02,5.249355e-06,2.368808e-05
MG V-cycle,47,4,9.785900e-02,2.743425e-05,5.015382e-05
MG V-cycle,63,4,9.771500e-02,1.915037e-05,5.221900e-05
MG V-cycle,95,5,9.824800e-02,5.294470e-06,1.229514e-05
MG V-cycle,127,100,1.561690e-01,5.911446e-06,1.345107e-05
MG W-cycle,15,4,1.060710e-01,7.644413e-05,1.402258e-04
MG W-cycle,23,4,9.804100e-02,3.465553e-05,6.273169e-05
MG W-cycle,31,4,9.722000e-02,2.090548e-05,3.818267e-05
MG W-cycle,47,4,1.082030e-01,8.445442e-06,1.653524e-05
MG W-cycle,63,4,9.709600e-02,2.519439e-06,7.276938e-06
MG W-cycle,95,4,1.752390e-01,4.208028e-06,1.403661e-05
MG W-cycle,127,100,5.842690e-01,2.758946e-06,1.002194e-05
