Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1200,1.060230e-01,4.700112e-13,1.329385e-12
Jacobi 3D,23,2700,1.259260e-01,5.111377e-13,1.445696e-12
Jacobi 3D,31,4800,1.248720e-01,5.262527e-13,1.488448e-12
Jacobi 3D,39,7450,1.784720e-01,6.224358e-13,1.760486e-12
Jacobi 3D,47,10750,2.071470e-01,5.981332e-13,1.691728e-12
Jacobi 3D,55,14600,2.719000e-01,6.317827e-13,1.786895e-12
Jacobi 3D,63,19100,2.883400e-01,6.106642e-13,1.727146e-12
RB GS 3D,15,650,1.097100e-01,6.820777e-14,1.910382e-13
RB GS 3D,23,1400,9.683000e-02,2.174280e-13,6.123175e-13
RB GS 3D,31,2450,1.327780e-01,3.255705e-13,9.186055e-13
RB GS 3D,39,3800,1.428780e-01,3.923555e-13,1.108008e-12
RB GS 3D,47,5450,1.867040e-01,4.341870e-13,1.226708e-12
RB GS 3D,55,7450,2.467130e-01,3.943345e-13,1.114412e-12
RB GS 3D,63,9700,2.953130e-01,4.257017e-13,1.203270e-12
RB SOR 3D,15,100,1.051540e-01,1.781708e-17,5.377643e-17
RB SOR 3D,23,150,1.283520e-01,4.182310e-17,1.162265e-16
RB SOR 3D,31,150,1.190660e-01,2.872077e-14,8.497543e-14
RB SOR 3D,47,250,1.189440e-01,1.377507e-15,3.982925e-15
RB SOR 3D,63,350,9.809700e-02,5.090129e-16,1.405126e-15
RB SOR 3D,79,400,1.081960e-01,4.834625e-15,1.376330e-14
RB SOR 3D,95,500,1.324520e-01,1.825859e-15,5.074066e-15
RB SOR 3D,111,550,1.472360e-01,8.456404e-15,2.391837e-14
RB SOR 3D,127,650,1.572690e-01,3.794018e-15,1.057661e-14
RB SOR 3D,143,750,1.970210e-01,2.556660e-15,6.990936e-15
RB SOR 3D,159,800,2.350520e-01,6.069104e-15,1.685631e-14
MG V-cycle 3D,15,11,1.006010e-01,4.500674e-14,1.243710e-13
MG V-cycle 3D,31,11,9.382900e-02,8.225713e-14,2.263779e-13
MG V-cycle 3D,47,11,8.963800e-02,3.963600e-13,1.114182e-12
MG V-cycle 3D,63,11,1.083790e-01,9.531265e-14,2.617004e-13
MG V-cycle 3D,95,11,1.405520e-01,4.171514e-13,1.173124e-12
MG V-cycle 3D,127,11,1.458870e-01,9.915144e-14,2.720862e-13
MG V-cycle 3D,191,11,2.085970e-01,4.230104e-13,1.189772e-12
MG V-cycle 3D,255,11,3.339500e-01,1.012861e-13,2.779704e-13
MG W-cycle 3D,15,8,1.099190e-01,5.529887e-14,1.271188e-13
MG W-cycle 3D,31,8,1.002180e-01,1.511106e-15,4.264384e-15
MG W-cycle 3D,47,7,1.101550e-01,7.121701e-15,2.109814e-14
MG W-cycle 3D,63,7,9.876600e-02,3.042049e-15,1.115113e-14
MG W-cycle 3D,95,7,1.263660e-01,1.030000e-15,4.755636e-15
MG W-cycle 3D,127,7,1.464940e-01,6.028630e-16,2.649085e-15
MG W-cycle 3D,191,7,2.372960e-01,6.742750e-16,1.977585e-15
MG W-cycle 3D,255,7,3.581430e-01,1.322448e-15,3.594347e-15
