Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1300,1.089910e-01,1.196900e-04,2.822350e-04
Jacobi 3D,23,2900,1.205880e-01,5.342622e-05,1.259593e-04
Jacobi 3D,31,5200,1.349910e-01,3.009746e-05,7.114294e-05
Jacobi 3D,39,8100,1.510080e-01,1.927573e-05,4.560158e-05
Jacobi 3D,47,11650,2.068830e-01,1.339095e-05,3.168555e-05
Jacobi 3D,55,15800,2.458780e-01,9.840460e-06,2.328317e-05
Jacobi 3D,63,20650,2.953450e-01,7.535199e-06,1.782622e-05
RB GS 3D,15,700,1.158470e-01,1.196900e-04,2.822351e-04
RB GS 3D,23,1500,1.146490e-01,5.342625e-05,1.259593e-04
RB GS 3D,31,2650,1.252460e-01,3.009748e-05,7.114298e-05
RB GS 3D,39,4100,1.697300e-01,1.927574e-05,4.560161e-05
RB GS 3D,47,5900,1.926010e-01,1.339096e-05,3.168558e-05
RB GS 3D,55,8050,2.375330e-01,9.840480e-06,2.328322e-05
RB GS 3D,63,10500,3.114710e-01,7.535217e-06,1.782627e-05
RB SOR 3D,15,100,9.859800e-02,1.196900e-04,2.822351e-04
RB SOR 3D,23,150,9.633000e-02,5.342627e-05,1.259594e-04
RB SOR 3D,31,200,1.162030e-01,3.009750e-05,7.114305e-05
RB SOR 3D,47,250,9.857400e-02,1.339099e-05,3.168567e-05
RB SOR 3D,63,350,1.178690e-01,7.535251e-06,1.782635e-05
RB SOR 3D,79,450,1.163730e-01,4.823395e-06,1.141042e-05
RB SOR 3D,95,500,1.321340e-01,3.349893e-06,7.926262e-06
RB SOR 3D,111,600,1.388850e-01,2.461286e-06,5.823450e-06
RB SOR 3D,127,700,1.622980e-01,1.884491e-06,4.458499e-06
RB SOR 3D,143,800,2.197150e-01,1.489018e-06,3.523181e-06
RB SOR 3D,159,850,2.560050e-01,1.206125e-06,2.853790e-06
MG V-cycle 3D,15,11,9.185900e-02,1.196900e-04,2.822350e-04
MG V-cycle 3D,31,12,9.343800e-02,3.009750e-05,7.114303e-05
MG V-cycle 3D,47,12,9.276900e-02,1.339097e-05,3.168560e-05
MG V-cycle 3D,63,12,9.462400e-02,7.535245e-06,1.782633e-05
MG V-cycle 3D,95,13,1.106540e-01,3.349891e-06,7.926255e-06
MG V-cycle 3D,127,13,1.266480e-01,1.884491e-06,4.458497e-06
MG V-cycle 3D,191,13,1.952090e-01,8.376038e-07,1.981859e-06
MG V-cycle 3D,255,13,3.551390e-01,4.711639e-07,1.114823e-06
MG W-cycle 3D,15,10,1.237740e-01,1.196900e-04,2.822351e-04
MG W-cycle 3D,31,11,1.065560e-01,3.009750e-05,7.114305e-05
MG W-cycle 3D,47,11,1.241880e-01,1.339099e-05,3.168567e-05
MG W-cycle 3D,63,11,1.259530e-01,7.535252e-06,1.782635e-05
MG W-cycle 3D,95,11,1.684460e-01,3.349894e-06,7.926264e-06
MG W-cycle 3D,127,11,1.960880e-01,1.884491e-06,4.458501e-06
MG W-cycle 3D,191,11,3.160710e-01,8.376073e-07,1.981868e-06
MG W-cycle 3D,255,11,4.173150e-01,4.711647e-07,1.114827e-06
