Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,400,9.551600e-02,2.580383e-06,7.302500e-06
Jacobi 3D,23,800,9.754100e-02,6.262537e-06,1.771841e-05
Jacobi 3D,31,1450,1.175790e-01,5.512733e-06,1.560710e-05
Jacobi 3D,39,2250,1.136640e-01,5.785254e-06,1.638196e-05
Jacobi 3D,47,3200,1.161440e-01,6.297229e-06,1.783669e-05
Jacobi 3D,55,4400,1.262360e-01,5.849762e-06,1.658592e-05
Jacobi 3D,63,5700,1.628080e-01,6.167384e-06,1.749489e-05
RB GS 3D,15,200,9.671000e-02,2.606085e-06,7.303432e-06
RB GS 3D,23,450,9.760700e-02,2.651534e-06,7.472518e-06
RB GS 3D,31,750,1.041300e-01,4.334643e-06,1.224689e-05
RB GS 3D,39,1200,1.046550e-01,3.625649e-06,1.026034e-05
RB GS 3D,47,1700,1.213120e-01,4.078353e-06,1.154923e-05
RB GS 3D,55,2300,1.362290e-01,4.244763e-06,1.204059e-05
RB GS 3D,63,3000,1.335660e-01,4.256411e-06,1.208484e-05
RB SOR 3D,15,50,8.826800e-02,7.641808e-09,2.142042e-08
RB SOR 3D,23,50,1.005830e-01,1.510420e-07,4.568655e-07
RB SOR 3D,31,100,9.304800e-02,2.874860e-08,7.729977e-08
RB SOR 3D,47,100,8.842500e-02,9.761732e-08,3.103399e-07
RB SOR 3D,63,150,1.306510e-01,1.002085e-07,2.607703e-07
RB SOR 3D,79,200,9.642300e-02,1.960158e-07,4.999427e-07
RB SOR 3D,95,250,1.588840e-01,3.016980e-07,7.757917e-07
RB SOR 3D,111,300,1.362850e-01,4.083727e-07,1.056040e-06
RB SOR 3D,127,1000,1.424070e-01,5.543393e-07,1.511551e-06
RB SOR 3D,143,1000,1.647620e-01,6.993295e-07,1.798706e-06
RB SOR 3D,159,1000,1.866460e-01,8.549249e-07,2.235584e-06
MG V-cycle 3D,15,4,1.007630e-01,5.429409e-07,1.454726e-06
MG V-cycle 3D,31,4,9.376900e-02,6.636125e-07,1.762994e-06
MG V-cycle 3D,47,4,9.932400e-02,1.176729e-06,3.198058e-06
MG V-cycle 3D,63,4,9.495300e-02,6.726976e-07,1.763925e-06
MG V-cycle 3D,95,4,1.342950e-01,1.129920e-06,3.051013e-06
MG V-cycle 3D,127,4,1.209020e-01,5.571317e-07,1.435168e-06
MG V-cycle 3D,191,4,1.532160e-01,8.534345e-07,2.212409e-06
MG V-cycle 3D,255,4,2.324830e-01,8.104258e-08,1.725834e-07
MG W-cycle 3D,15,3,1.166790e-01,3.240471e-07,5.997717e-07
MG W-cycle 3D,31,2,1.114230e-01,7.328419e-07,1.168810e-06
MG W-cycle 3D,47,2,9.186100e-02,1.361451e-07,2.512415e-07
MG W-cycle 3D,63,2,1.058970e-01,3.666606e-08,1.027802e-07
MG W-cycle 3D,95,2,1.422810e-01,8.818689e-08,2.787759e-07
MG W-cycle 3D,127,2,1.236710e-01,1.670515e-07,5.075717e-07
MG W-cycle 3D,191,2,1.793690e-01,3.799909e-07,1.118682e-06
MG W-cycle 3D,255,2,2.303580e-01,6.809661e-07,2.011657e-06
