Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,50,1.079340e-01,1.410658e-02,3.989959e-02
Jacobi 3D,23,100,9.551200e-02,6.129811e-03,1.733792e-02
Jacobi 3D,31,150,9.292200e-02,3.176088e-03,8.983493e-03
Jacobi 3D,39,250,1.003200e-01,2.027089e-03,5.733490e-03
Jacobi 3D,47,350,1.028420e-01,1.298254e-03,3.672123e-03
Jacobi 3D,55,500,9.840900e-02,9.607238e-04,2.717257e-03
Jacobi 3D,63,600,1.010190e-01,5.466566e-04,1.546144e-03
RB GS 3D,15,50,9.853500e-02,1.412552e-02,3.995323e-02
RB GS 3D,23,50,1.166850e-01,6.126536e-03,1.731944e-02
RB GS 3D,31,100,1.532200e-01,3.446406e-03,9.750128e-03
RB GS 3D,39,150,1.087040e-01,2.176582e-03,6.154418e-03
RB GS 3D,47,200,1.049820e-01,1.454051e-03,4.115343e-03
RB GS 3D,55,250,1.037290e-01,9.594110e-04,2.713064e-03
RB GS 3D,63,350,1.193270e-01,7.662668e-04,2.168894e-03
RB SOR 3D,15,50,1.018350e-01,1.412553e-02,3.995323e-02
RB SOR 3D,23,50,8.652300e-02,6.203137e-03,1.754510e-02
RB SOR 3D,31,50,1.064870e-01,3.494585e-03,9.879231e-03
RB SOR 3D,47,100,1.001170e-01,1.539740e-03,4.355669e-03
RB SOR 3D,63,100,1.242250e-01,8.855025e-04,2.504283e-03
RB SOR 3D,79,150,1.028040e-01,5.575866e-04,1.577139e-03
RB SOR 3D,95,150,1.046600e-01,4.055519e-04,1.146692e-03
RB SOR 3D,111,200,1.050010e-01,2.834104e-04,8.018017e-04
RB SOR 3D,127,200,1.056300e-01,2.389396e-04,6.769290e-04
RB SOR 3D,143,250,1.320270e-01,1.686652e-04,4.774332e-04
RB SOR 3D,159,300,1.414410e-01,1.462650e-04,4.138928e-04
MG V-cycle 3D,15,3,1.023810e-01,1.403408e-02,3.972387e-02
MG V-cycle 3D,31,4,9.686900e-02,3.439272e-03,9.731412e-03
MG V-cycle 3D,47,4,9.763900e-02,1.496642e-03,4.234791e-03
MG V-cycle 3D,63,4,1.047880e-01,8.125279e-04,2.300739e-03
MG V-cycle 3D,95,4,1.173120e-01,3.330198e-04,9.428263e-04
MG V-cycle 3D,127,4,1.153480e-01,1.588469e-04,4.515648e-04
MG V-cycle 3D,191,4,1.514570e-01,4.414391e-05,1.261234e-04
MG V-cycle 3D,255,4,2.346170e-01,1.730126e-06,4.137077e-06
MG W-cycle 3D,15,3,9.841200e-02,1.403445e-02,3.972495e-02
MG W-cycle 3D,31,3,1.137190e-01,3.396878e-03,9.615779e-03
MG W-cycle 3D,47,3,1.049830e-01,1.522269e-03,4.306793e-03
MG W-cycle 3D,63,2,1.169690e-01,6.780818e-04,1.926184e-03
MG W-cycle 3D,95,2,1.082450e-01,3.451223e-04,9.777546e-04
MG W-cycle 3D,127,2,1.151120e-01,2.049098e-04,5.805492e-04
MG W-cycle 3D,191,2,1.669960e-01,9.603747e-05,2.727509e-04
MG W-cycle 3D,255,2,2.304120e-01,5.723836e-05,1.633938e-04
