dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
2,exp,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,2047,8,9.284752e-10,4.721644e-09,8.576164e-09,3.493500e+01,4.134400e+01,3.493500e-02,4.134400e-02,1.000000e-09,15,4,true
2,exp,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,2047,8,7.792388e-10,4.724441e-09,8.582009e-09,2.697500e+01,3.122000e+01,2.697500e-02,3.122000e-02,1.000000e-09,15,4,true
2,exp,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,2047,7,9.391185e-10,4.721568e-09,8.576101e-09,2.604000e+01,3.885300e+01,2.604000e-02,3.885300e-02,1.000000e-09,15,4,true
2,exp,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,2047,7,8.504562e-10,4.724854e-09,8.582796e-09,2.824600e+01,3.167800e+01,2.824600e-02,3.167800e-02,1.000000e-09,15,4,true
2,exp,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,2047,6,9.205132e-10,4.724430e-09,8.582014e-09,2.454300e+01,3.083500e+01,2.454300e-02,3.083500e-02,1.000000e-09,15,4,true
2,exp,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,2047,7,9.466736e-10,4.724613e-09,8.582313e-09,2.705900e+01,2.950300e+01,2.705900e-02,2.950300e-02,1.000000e-09,15,4,true
2,exp,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,2047,15,1.020662e-09,4.724806e-09,8.582689e-09,4.468300e+01,4.867600e+01,4.468300e-02,4.867600e-02,1.000000e-09,15,4,false
2,exp,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,2047,15,1.106632e-09,4.724347e-09,8.581829e-09,4.398500e+01,4.641200e+01,4.398500e-02,4.641200e-02,1.000000e-09,15,4,false
2,exp,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,2047,15,1.199248e-09,4.724433e-09,8.581971e-09,4.597900e+01,5.000600e+01,4.597900e-02,5.000600e-02,1.000000e-09,15,4,false
2,exp,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,2047,15,1.270406e-09,4.724431e-09,8.581979e-09,4.734000e+01,5.513800e+01,4.734000e-02,5.513800e-02,1.000000e-09,15,4,false
2,exp,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,2047,15,1.412462e-09,4.724618e-09,8.582259e-09,4.457200e+01,4.813300e+01,4.457200e-02,4.813300e-02,1.000000e-09,15,4,false
2,exp,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,2047,8,9.280313e-10,4.721613e-09,8.576156e-09,2.896900e+01,3.221400e+01,2.896900e-02,3.221400e-02,1.000000e-09,15,4,true
2,exp,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,2047,8,7.793284e-10,4.724393e-09,8.581995e-09,3.001800e+01,3.432000e+01,3.001800e-02,3.432000e-02,1.000000e-09,15,4,true
2,exp,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,2047,7,9.412826e-10,4.721665e-09,8.576262e-09,2.880500e+01,3.268800e+01,2.880500e-02,3.268800e-02,1.000000e-09,15,4,true
2,exp,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,2047,7,8.506457e-10,4.724844e-09,8.582886e-09,2.659100e+01,2.936800e+01,2.659100e-02,2.936800e-02,1.000000e-09,15,4,true
2,exp,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,2047,6,9.206785e-10,4.724464e-09,8.581994e-09,2.400800e+01,2.957900e+01,2.400800e-02,2.957900e-02,1.000000e-09,15,4,true
2,exp,V-SOR,v_sor,v,sor,1.25,mg_sor,cuda,double,2047,7,9.468989e-10,4.724441e-09,8.581996e-09,2.590600e+01,3.052900e+01,2.590600e-02,3.052900e-02,1.000000e-09,15,4,true
2,exp,V-SOR,v_sor,v,sor,1.30,mg_sor,cuda,double,2047,15,1.021890e-09,4.724836e-09,8.582813e-09,4.497700e+01,5.174600e+01,4.497700e-02,5.174600e-02,1.000000e-09,15,4,false
2,exp,V-SOR,v_sor,v,sor,1.35,mg_sor,cuda,double,2047,15,1.106758e-09,4.724487e-09,8.582021e-09,4.766100e+01,5.188100e+01,4.766100e-02,5.188100e-02,1.000000e-09,15,4,false
2,exp,V-SOR,v_sor,v,sor,1.40,mg_sor,cuda,double,2047,15,1.197115e-09,4.724390e-09,8.581885e-09,4.431300e+01,4.683300e+01,4.431300e-02,4.683300e-02,1.000000e-09,15,4,false
2,exp,V-SOR,v_sor,v,sor,1.45,mg_sor,cuda,double,2047,15,1.270897e-09,4.724540e-09,8.582110e-09,4.513900e+01,4.767100e+01,4.513900e-02,4.767100e-02,1.000000e-09,15,4,false
2,exp,V-SOR,v_sor,v,sor,1.50,mg_sor,cuda,double,2047,15,1.413651e-09,4.724518e-09,8.582082e-09,4.525500e+01,4.831300e+01,4.525500e-02,4.831300e-02,1.000000e-09,15,4,false
2,exp,W-exact,w_exact,w,exact,1.00,mg_exact,cuda,double,2047,8,7.416329e-10,4.724531e-09,8.582156e-09,2.423380e+02,2.604910e+02,2.423380e-01,2.604910e-01,1.000000e-09,15,4,true
2,exp,W-exact,w_exact,w,exact,1.05,mg_exact,cuda,double,2047,7,8.525818e-10,4.724465e-09,8.582084e-09,2.017220e+02,2.241850e+02,2.017220e-01,2.241850e-01,1.000000e-09,15,4,true
2,exp,W-exact,w_exact,w,exact,1.10,mg_exact,cuda,double,2047,7,8.079482e-10,4.724452e-09,8.582064e-09,2.045840e+02,2.245950e+02,2.045840e-01,2.245950e-01,1.000000e-09,15,4,true
2,exp,W-exact,w_exact,w,exact,1.15,mg_exact,cuda,double,2047,6,8.928523e-10,4.724708e-09,8.582525e-09,1.813630e+02,2.040110e+02,1.813630e-01,2.040110e-01,1.000000e-09,15,4,true
2,exp,W-exact,w_exact,w,exact,1.20,mg_exact,cuda,double,2047,6,8.995370e-10,4.724477e-09,8.582099e-09,1.772110e+02,2.046970e+02,1.772110e-01,2.046970e-01,1.000000e-09,15,4,true
2,exp,W-exact,w_exact,w,exact,1.25,mg_exact,cuda,double,2047,7,9.304199e-10,4.724538e-09,8.582158e-09,2.025020e+02,2.185670e+02,2.025020e-01,2.185670e-01,1.000000e-09,15,4,true
2,exp,W-exact,w_exact,w,exact,1.30,mg_exact,cuda,double,2047,15,1.022807e-09,4.724711e-09,8.582515e-09,4.301540e+02,4.481200e+02,4.301540e-01,4.481200e-01,1.000000e-09,15,4,false
2,exp,W-exact,w_exact,w,exact,1.35,mg_exact,cuda,double,2047,15,1.106958e-09,4.724278e-09,8.581632e-09,4.214090e+02,4.438290e+02,4.214090e-01,4.438290e-01,1.000000e-09,15,4,false
2,exp,W-exact,w_exact,w,exact,1.40,mg_exact,cuda,double,2047,15,1.197228e-09,4.724398e-09,8.581939e-09,4.204770e+02,4.374710e+02,4.204770e-01,4.374710e-01,1.000000e-09,15,4,false
2,exp,W-exact,w_exact,w,exact,1.45,mg_exact,cuda,double,2047,15,1.270781e-09,4.724515e-09,8.582104e-09,4.236030e+02,4.445640e+02,4.236030e-01,4.445640e-01,1.000000e-09,15,4,false
2,exp,W-exact,w_exact,w,exact,1.50,mg_exact,cuda,double,2047,15,1.413098e-09,4.724700e-09,8.582515e-09,4.253010e+02,4.434310e+02,4.253010e-01,4.434310e-01,1.000000e-09,15,4,false
2,exp,W-SOR,w_sor,w,sor,1.00,mg_sor,cuda,double,2047,8,7.422551e-10,4.724571e-09,8.582198e-09,1.596930e+02,1.812750e+02,1.596930e-01,1.812750e-01,1.000000e-09,15,4,true
2,exp,W-SOR,w_sor,w,sor,1.05,mg_sor,cuda,double,2047,7,8.516936e-10,4.724444e-09,8.582059e-09,1.309010e+02,1.556730e+02,1.309010e-01,1.556730e-01,1.000000e-09,15,4,true
2,exp,W-SOR,w_sor,w,sor,1.10,mg_sor,cuda,double,2047,7,8.081014e-10,4.724432e-09,8.581994e-09,1.317970e+02,1.562780e+02,1.317970e-01,1.562780e-01,1.000000e-09,15,4,true
2,exp,W-SOR,w_sor,w,sor,1.15,mg_sor,cuda,double,2047,6,8.944327e-10,4.724731e-09,8.582594e-09,1.220310e+02,1.738360e+02,1.220310e-01,1.738360e-01,1.000000e-09,15,4,true
2,exp,W-SOR,w_sor,w,sor,1.20,mg_sor,cuda,double,2047,6,8.989434e-10,4.724562e-09,8.582187e-09,1.138920e+02,1.316650e+02,1.138920e-01,1.316650e-01,1.000000e-09,15,4,true
2,exp,W-SOR,w_sor,w,sor,1.25,mg_sor,cuda,double,2047,7,9.300860e-10,4.724571e-09,8.582219e-09,1.440490e+02,1.646030e+02,1.440490e-01,1.646030e-01,1.000000e-09,15,4,true
2,exp,W-SOR,w_sor,w,sor,1.30,mg_sor,cuda,double,2047,15,1.021106e-09,4.724786e-09,8.582771e-09,2.710840e+02,2.992500e+02,2.710840e-01,2.992500e-01,1.000000e-09,15,4,false
2,exp,W-SOR,w_sor,w,sor,1.35,mg_sor,cuda,double,2047,15,1.105225e-09,4.724381e-09,8.581861e-09,2.849540e+02,3.071370e+02,2.849540e-01,3.071370e-01,1.000000e-09,15,4,false
2,exp,W-SOR,w_sor,w,sor,1.40,mg_sor,cuda,double,2047,15,1.196700e-09,4.724567e-09,8.582276e-09,2.724110e+02,2.949560e+02,2.724110e-01,2.949560e-01,1.000000e-09,15,4,false
2,exp,W-SOR,w_sor,w,sor,1.45,mg_sor,cuda,double,2047,15,1.269265e-09,4.724504e-09,8.582036e-09,2.739420e+02,3.028850e+02,2.739420e-01,3.028850e-01,1.000000e-09,15,4,false
2,exp,W-SOR,w_sor,w,sor,1.50,mg_sor,cuda,double,2047,15,1.411346e-09,4.724557e-09,8.582226e-09,2.788530e+02,3.159700e+02,2.788530e-01,3.159700e-01,1.000000e-09,15,4,false
