dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
2,sine,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,4095,8,3.088398e-10,2.447409e-08,4.894803e-08,1.205820e+02,1.263580e+02,1.205820e-01,1.263580e-01,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,4095,7,6.746627e-10,2.432031e-08,4.864087e-08,1.202390e+02,1.254800e+02,1.202390e-01,1.254800e-01,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,4095,7,3.715019e-10,2.447923e-08,4.895846e-08,1.015920e+02,1.123560e+02,1.015920e-01,1.123560e-01,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,4095,6,5.219095e-10,2.442359e-08,4.884709e-08,9.447700e+01,1.014020e+02,9.447700e-02,1.014020e-01,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,4095,5,7.026064e-10,2.443851e-08,4.887642e-08,1.032490e+02,1.097860e+02,1.032490e-01,1.097860e-01,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,4095,6,5.096938e-10,2.451147e-08,4.902429e-08,9.501700e+01,9.881500e+01,9.501700e-02,9.881500e-02,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,4095,7,5.473081e-10,2.451226e-08,4.902270e-08,1.197150e+02,1.237550e+02,1.197150e-01,1.237550e-01,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,4095,8,5.861873e-10,2.450784e-08,4.901779e-08,1.108460e+02,1.185310e+02,1.108460e-01,1.185310e-01,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,4095,9,6.488430e-10,2.451944e-08,4.903625e-08,1.259410e+02,1.417920e+02,1.259410e-01,1.417920e-01,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,4095,10,7.726749e-10,2.449427e-08,4.899225e-08,1.473430e+02,1.508870e+02,1.473430e-01,1.508870e-01,1.000000e-09,15,2,true
2,sine,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,4095,12,5.760539e-10,2.450588e-08,4.901271e-08,1.523720e+02,1.669860e+02,1.523720e-01,1.669860e-01,1.000000e-09,15,2,true
2,sine,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,4095,8,3.088332e-10,2.447407e-08,4.894796e-08,1.153560e+02,1.215660e+02,1.153560e-01,1.215660e-01,1.000000e-09,15,2,true
2,sine,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,4095,7,6.748167e-10,2.432030e-08,4.864087e-08,1.142830e+02,1.218090e+02,1.142830e-01,1.218090e-01,1.000000e-09,15,2,true
2,sine,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,4095,7,3.712832e-10,2.447924e-08,4.895852e-08,1.129660e+02,1.263390e+02,1.129660e-01,1.263390e-01,1.000000e-09,15,2,true
2,sine,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,4095,6,5.219263e-10,2.442354e-08,4.884700e-08,1.173730e+02,1.213520e+02,1.173730e-01,1.213520e-01,1.000000e-09,15,2,true
2,sine,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,4095,5,7.030346e-10,2.443854e-08,4.887646e-08,1.182930e+02,1.223970e+02,1.182930e-01,1.223970e-01,1.000000e-09,15,2,true
