dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
2,bubble,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,8191,11,9.992890e-10,2.493825e-14,4.793388e-14,4.368680e+02,4.473350e+02,4.368680e-01,4.473350e-01,1.000000e-09,15,1,true
2,bubble,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,8191,15,1.129286e-09,5.547806e-14,1.906045e-13,5.281390e+02,5.376920e+02,5.281390e-01,5.376920e-01,1.000000e-09,15,1,false
2,bubble,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,8191,15,1.240026e-09,3.152049e-14,8.542472e-14,5.333620e+02,5.442570e+02,5.333620e-01,5.442570e-01,1.000000e-09,15,1,false
2,bubble,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,8191,15,1.336083e-09,9.862504e-14,2.625955e-13,5.018370e+02,5.129720e+02,5.018370e-01,5.129720e-01,1.000000e-09,15,1,false
2,bubble,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,8191,15,1.420748e-09,3.103998e-14,9.014317e-14,5.414090e+02,5.516870e+02,5.414090e-01,5.516870e-01,1.000000e-09,15,1,false
2,bubble,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,8191,15,1.549026e-09,1.905954e-14,6.392109e-14,5.378820e+02,5.489300e+02,5.378820e-01,5.489300e-01,1.000000e-09,15,1,false
2,bubble,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,8191,15,1.569937e-09,1.363322e-13,2.583905e-13,5.589060e+02,5.680640e+02,5.589060e-01,5.680640e-01,1.000000e-09,15,1,false
2,bubble,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,8191,15,1.663237e-09,1.037406e-13,2.722475e-13,5.733830e+02,5.853950e+02,5.733830e-01,5.853950e-01,1.000000e-09,15,1,false
2,bubble,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,8191,15,2.116623e-09,1.972654e-13,4.463027e-13,5.513710e+02,5.598820e+02,5.513710e-01,5.598820e-01,1.000000e-09,15,1,false
2,bubble,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,8191,15,1.301187e-08,4.632346e-13,8.091756e-13,5.296380e+02,5.436680e+02,5.296380e-01,5.436680e-01,1.000000e-09,15,1,false
2,bubble,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,8191,15,1.251667e-07,5.985676e-12,1.116196e-11,5.284860e+02,5.364110e+02,5.284860e-01,5.364110e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,8191,11,9.979996e-10,1.779415e-14,3.631123e-14,4.117190e+02,4.204130e+02,4.117190e-01,4.204130e-01,1.000000e-09,15,1,true
2,bubble,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,8191,15,1.128394e-09,5.139706e-14,1.789194e-13,5.019840e+02,5.121040e+02,5.019840e-01,5.121040e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,8191,15,1.243283e-09,2.079215e-14,6.256107e-14,5.303860e+02,5.393540e+02,5.303860e-01,5.393540e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,8191,15,1.337152e-09,9.348298e-14,2.599934e-13,5.821100e+02,5.942060e+02,5.821100e-01,5.942060e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,8191,15,1.420775e-09,1.390770e-14,4.170275e-14,5.371870e+02,5.461690e+02,5.371870e-01,5.461690e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.25,mg_sor,cuda,double,8191,15,1.564442e-09,8.397848e-15,3.183565e-14,5.220610e+02,5.316660e+02,5.220610e-01,5.316660e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.30,mg_sor,cuda,double,8191,15,1.569079e-09,1.432411e-13,2.824269e-13,5.005850e+02,5.094500e+02,5.005850e-01,5.094500e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.35,mg_sor,cuda,double,8191,15,1.661729e-09,9.776859e-14,2.580228e-13,5.790760e+02,5.893810e+02,5.790760e-01,5.893810e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.40,mg_sor,cuda,double,8191,15,2.116744e-09,2.016762e-13,4.572037e-13,5.762110e+02,5.849490e+02,5.762110e-01,5.849490e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.45,mg_sor,cuda,double,8191,15,1.301147e-08,4.636879e-13,8.098158e-13,5.266880e+02,5.381900e+02,5.266880e-01,5.381900e-01,1.000000e-09,15,1,false
2,bubble,V-SOR,v_sor,v,sor,1.50,mg_sor,cuda,double,8191,15,1.251672e-07,5.986260e-12,1.115057e-11,5.274450e+02,5.438540e+02,5.274450e-01,5.438540e-01,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.00,mg_exact,cuda,double,8191,7,9.932030e-10,2.196507e-14,6.586398e-14,1.012678e+03,1.075568e+03,1.012678e+00,1.075568e+00,1.000000e-09,15,1,true
2,bubble,W-exact,w_exact,w,exact,1.05,mg_exact,cuda,double,8191,15,1.131481e-09,6.985855e-14,2.173817e-13,2.014640e+03,2.079630e+03,2.014640e+00,2.079630e+00,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.10,mg_exact,cuda,double,8191,15,1.238648e-09,4.508664e-14,1.092668e-13,1.992861e+03,2.063951e+03,1.992861e+00,2.063951e+00,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.15,mg_exact,cuda,double,8191,15,1.337528e-09,9.338397e-14,2.566281e-13,1.968009e+03,2.039467e+03,1.968009e+00,2.039467e+00,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.20,mg_exact,cuda,double,8191,15,1.421266e-09,1.880576e-14,5.827977e-14,1.972407e+03,2.064916e+03,1.972407e+00,2.064916e+00,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.25,mg_exact,cuda,double,8191,15,1.558428e-09,1.017157e-14,3.828188e-14,2.046123e+03,2.131070e+03,2.046123e+00,2.131070e+00,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.30,mg_exact,cuda,double,8191,15,1.566362e-09,1.311225e-13,2.583003e-13,1.987622e+03,2.053299e+03,1.987622e+00,2.053299e+00,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.35,mg_exact,cuda,double,8191,15,1.649261e-09,1.026591e-13,2.670572e-13,1.984945e+03,2.051462e+03,1.984945e+00,2.051462e+00,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.40,mg_exact,cuda,double,8191,15,1.728841e-09,2.170975e-13,4.359083e-13,1.992181e+03,2.065387e+03,1.992181e+00,2.065387e+00,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.45,mg_exact,cuda,double,8191,15,1.800759e-09,3.116731e-13,7.346068e-13,1.992510e+03,2.050954e+03,1.992510e+00,2.050954e+00,1.000000e-09,15,1,false
2,bubble,W-exact,w_exact,w,exact,1.50,mg_exact,cuda,double,8191,15,2.433363e-09,3.181174e-13,5.727571e-13,1.960915e+03,2.018477e+03,1.960915e+00,2.018477e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.00,mg_sor,cuda,double,8191,7,9.952876e-10,1.544356e-14,5.666995e-14,7.487700e+02,8.124610e+02,7.487700e-01,8.124610e-01,1.000000e-09,15,1,true
2,bubble,W-SOR,w_sor,w,sor,1.05,mg_sor,cuda,double,8191,15,1.129774e-09,5.927657e-14,1.980985e-13,1.413976e+03,1.469478e+03,1.413976e+00,1.469478e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.10,mg_sor,cuda,double,8191,15,1.243427e-09,4.375126e-14,1.066994e-13,1.480284e+03,1.547210e+03,1.480284e+00,1.547210e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.15,mg_sor,cuda,double,8191,15,1.335193e-09,1.054449e-13,2.839257e-13,1.457811e+03,1.541601e+03,1.457811e+00,1.541601e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.20,mg_sor,cuda,double,8191,15,1.414190e-09,1.568424e-14,3.825412e-14,1.387459e+03,1.454697e+03,1.387459e+00,1.454697e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.25,mg_sor,cuda,double,8191,15,1.540076e-09,1.840902e-14,5.719036e-14,1.438657e+03,1.507843e+03,1.438657e+00,1.507843e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.30,mg_sor,cuda,double,8191,15,1.565805e-09,1.245902e-13,2.553097e-13,1.434371e+03,1.498431e+03,1.434371e+00,1.498431e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.35,mg_sor,cuda,double,8191,15,1.648815e-09,9.432017e-14,2.479475e-13,1.438034e+03,1.503537e+03,1.438034e+00,1.503537e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.40,mg_sor,cuda,double,8191,15,1.728931e-09,2.239643e-13,4.581474e-13,1.396530e+03,1.471402e+03,1.396530e+00,1.471402e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.45,mg_sor,cuda,double,8191,15,1.800807e-09,3.181975e-13,7.465070e-13,1.414301e+03,1.499252e+03,1.414301e+00,1.499252e+00,1.000000e-09,15,1,false
2,bubble,W-SOR,w_sor,w,sor,1.50,mg_sor,cuda,double,8191,15,2.432406e-09,3.316160e-13,6.194351e-13,1.469676e+03,1.538082e+03,1.469676e+00,1.538082e+00,1.000000e-09,15,1,false
