dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
2,cosine,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,8191,15,1.166445e-09,1.136596e-09,2.209163e-09,7.346000e+02,7.441580e+02,7.346000e-01,7.441580e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,8191,15,1.269607e-09,1.136587e-09,2.209203e-09,7.689080e+02,7.933910e+02,7.689080e-01,7.933910e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,8191,15,1.359728e-09,1.136633e-09,2.209297e-09,7.645040e+02,7.768000e+02,7.645040e-01,7.768000e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,8191,15,1.439653e-09,1.136711e-09,2.209397e-09,7.302070e+02,7.389530e+02,7.302070e-01,7.389530e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,8191,15,1.513032e-09,1.136606e-09,2.209275e-09,7.327080e+02,7.602200e+02,7.327080e-01,7.602200e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,8191,15,1.617644e-09,1.136598e-09,2.209221e-09,7.353500e+02,7.500390e+02,7.353500e-01,7.500390e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,8191,15,1.673164e-09,1.136753e-09,2.209496e-09,8.038370e+02,8.125900e+02,8.038370e-01,8.125900e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,8191,15,1.771568e-09,1.136522e-09,2.209156e-09,7.658370e+02,7.747950e+02,7.658370e-01,7.747950e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,8191,15,1.879238e-09,1.136572e-09,2.209181e-09,7.288900e+02,7.429580e+02,7.288900e-01,7.429580e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,8191,15,1.952922e-09,1.136630e-09,2.209193e-09,7.396560e+02,7.483610e+02,7.396560e-01,7.483610e-01,1.000000e-09,15,2,false
2,cosine,V-exact,v_exact,v,exact,1.50,mg_exact,cuda,double,8191,15,3.845724e-09,1.136565e-09,2.209106e-09,7.360200e+02,7.544720e+02,7.360200e-01,7.544720e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.00,mg_sor,cuda,double,8191,15,1.166272e-09,1.136609e-09,2.209227e-09,8.255320e+02,8.349200e+02,8.255320e-01,8.349200e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.05,mg_sor,cuda,double,8191,15,1.269410e-09,1.136579e-09,2.209254e-09,7.796650e+02,7.886740e+02,7.796650e-01,7.886740e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.10,mg_sor,cuda,double,8191,15,1.359748e-09,1.136619e-09,2.209273e-09,7.282500e+02,7.373580e+02,7.282500e-01,7.373580e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.15,mg_sor,cuda,double,8191,15,1.439931e-09,1.136719e-09,2.209380e-09,7.220480e+02,7.305920e+02,7.220480e-01,7.305920e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.20,mg_sor,cuda,double,8191,15,1.513167e-09,1.136616e-09,2.209260e-09,7.242140e+02,7.329800e+02,7.242140e-01,7.329800e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.25,mg_sor,cuda,double,8191,15,1.617744e-09,1.136603e-09,2.209188e-09,7.866100e+02,7.962030e+02,7.866100e-01,7.962030e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.30,mg_sor,cuda,double,8191,15,1.673170e-09,1.136766e-09,2.209499e-09,7.526110e+02,7.700100e+02,7.526110e-01,7.700100e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.35,mg_sor,cuda,double,8191,15,1.771499e-09,1.136532e-09,2.209111e-09,7.318970e+02,7.408440e+02,7.318970e-01,7.408440e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.40,mg_sor,cuda,double,8191,15,1.879503e-09,1.136586e-09,2.209138e-09,8.141150e+02,8.231590e+02,8.141150e-01,8.231590e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.45,mg_sor,cuda,double,8191,15,1.952578e-09,1.136616e-09,2.209189e-09,7.722120e+02,7.815370e+02,7.722120e-01,7.815370e-01,1.000000e-09,15,2,false
2,cosine,V-SOR,v_sor,v,sor,1.50,mg_sor,cuda,double,8191,15,3.846030e-09,1.136581e-09,2.209098e-09,7.231420e+02,7.408300e+02,7.231420e-01,7.408300e-01,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.00,mg_exact,cuda,double,8191,15,1.166866e-09,1.136597e-09,2.209179e-09,2.335388e+03,2.410387e+03,2.335388e+00,2.410387e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.05,mg_exact,cuda,double,8191,15,1.270030e-09,1.136571e-09,2.209153e-09,2.315801e+03,2.378142e+03,2.315801e+00,2.378142e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.10,mg_exact,cuda,double,8191,15,1.360082e-09,1.136598e-09,2.209197e-09,2.385827e+03,2.457378e+03,2.385827e+00,2.457378e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.15,mg_exact,cuda,double,8191,15,1.440430e-09,1.136748e-09,2.209486e-09,2.346469e+03,2.443674e+03,2.346469e+00,2.443674e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.20,mg_exact,cuda,double,8191,15,1.512876e-09,1.136603e-09,2.209218e-09,2.366622e+03,2.433243e+03,2.366622e+00,2.433243e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.25,mg_exact,cuda,double,8191,15,1.617089e-09,1.136586e-09,2.209160e-09,2.336138e+03,2.404512e+03,2.336138e+00,2.404512e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.30,mg_exact,cuda,double,8191,15,1.672906e-09,1.136768e-09,2.209484e-09,2.326140e+03,2.394667e+03,2.326140e+00,2.394667e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.35,mg_exact,cuda,double,8191,15,1.769855e-09,1.136529e-09,2.209134e-09,2.419191e+03,2.527921e+03,2.419191e+00,2.527921e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.40,mg_exact,cuda,double,8191,15,1.876641e-09,1.136591e-09,2.209182e-09,2.324583e+03,2.426749e+03,2.324583e+00,2.426749e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.45,mg_exact,cuda,double,8191,15,1.945355e-09,1.136620e-09,2.209183e-09,2.301606e+03,2.374380e+03,2.301606e+00,2.374380e+00,1.000000e-09,15,2,false
2,cosine,W-exact,w_exact,w,exact,1.50,mg_exact,cuda,double,8191,15,2.218580e-09,1.136596e-09,2.209183e-09,2.313941e+03,2.381050e+03,2.313941e+00,2.381050e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.00,mg_sor,cuda,double,8191,15,1.166487e-09,1.136592e-09,2.209217e-09,1.697079e+03,1.758551e+03,1.697079e+00,1.758551e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.05,mg_sor,cuda,double,8191,15,1.270166e-09,1.136556e-09,2.209144e-09,1.820231e+03,1.943825e+03,1.820231e+00,1.943825e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.10,mg_sor,cuda,double,8191,15,1.360125e-09,1.136613e-09,2.209235e-09,1.717297e+03,1.838594e+03,1.717297e+00,1.838594e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.15,mg_sor,cuda,double,8191,15,1.439914e-09,1.136747e-09,2.209488e-09,1.740214e+03,1.828910e+03,1.740214e+00,1.828910e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.20,mg_sor,cuda,double,8191,15,1.512799e-09,1.136587e-09,2.209205e-09,1.690050e+03,1.756425e+03,1.690050e+00,1.756425e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.25,mg_sor,cuda,double,8191,15,1.617206e-09,1.136605e-09,2.209221e-09,1.735211e+03,1.801700e+03,1.735211e+00,1.801700e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.30,mg_sor,cuda,double,8191,15,1.672297e-09,1.136776e-09,2.209538e-09,1.787185e+03,1.902526e+03,1.787185e+00,1.902526e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.35,mg_sor,cuda,double,8191,15,1.769777e-09,1.136538e-09,2.209092e-09,1.762904e+03,1.857810e+03,1.762904e+00,1.857810e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.40,mg_sor,cuda,double,8191,15,1.877131e-09,1.136568e-09,2.209220e-09,1.721954e+03,1.787811e+03,1.721954e+00,1.787811e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.45,mg_sor,cuda,double,8191,15,1.945601e-09,1.136625e-09,2.209177e-09,1.761880e+03,1.833418e+03,1.761880e+00,1.833418e+00,1.000000e-09,15,2,false
2,cosine,W-SOR,w_sor,w,sor,1.50,mg_sor,cuda,double,8191,15,2.218238e-09,1.136603e-09,2.209230e-09,1.758420e+03,1.873522e+03,1.758420e+00,1.873522e+00,1.000000e-09,15,2,false
