dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_ms_including_graph,time_s,time_s_including_graph,tol,max_iter,nu,converged
3,mixed_sine,V-exact,v_exact,v,exact,1.00,mg_exact,cuda,double,127,10,4.966089e-10,2.161099e-04,6.112511e-04,1.939400e+01,2.193700e+01,1.939400e-02,2.193700e-02,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.05,mg_exact,cuda,double,127,10,1.032581e-10,2.161100e-04,6.112513e-04,1.915800e+01,2.183100e+01,1.915800e-02,2.183100e-02,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.10,mg_exact,cuda,double,127,9,2.001718e-10,2.161100e-04,6.112513e-04,1.885900e+01,2.267600e+01,1.885900e-02,2.267600e-02,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.15,mg_exact,cuda,double,127,8,3.941548e-10,2.161099e-04,6.112512e-04,1.661100e+01,1.881600e+01,1.661100e-02,1.881600e-02,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.20,mg_exact,cuda,double,127,7,7.295464e-10,2.161099e-04,6.112511e-04,1.572200e+01,2.157600e+01,1.572200e-02,2.157600e-02,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.25,mg_exact,cuda,double,127,6,9.183808e-10,2.161099e-04,6.112511e-04,1.406800e+01,1.999100e+01,1.406800e-02,1.999100e-02,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.30,mg_exact,cuda,double,127,6,3.295574e-11,2.161100e-04,6.112514e-04,1.344800e+01,1.771200e+01,1.344800e-02,1.771200e-02,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.35,mg_exact,cuda,double,127,6,6.156374e-10,2.161100e-04,6.112514e-04,1.441600e+01,1.741600e+01,1.441600e-02,1.741600e-02,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.40,mg_exact,cuda,double,127,8,5.072474e-11,2.161100e-04,6.112514e-04,1.681800e+01,2.504100e+01,1.681800e-02,2.504100e-02,1.000000e-09,15,2,true
3,mixed_sine,V-exact,v_exact,v,exact,1.45,mg_exact,cuda,double,127,9,1.371925e-10,2.161100e-04,6.112514e-04,1.846600e+01,2.151600e+01,1.846600e-02,2.151600e-02,1.000000e-09,15,2,true
