Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,78,3.120000e-04,7.711186e-05,1.399549e-04
RB SOR,31,161,8.090000e-04,1.933384e-05,3.508534e-05
RB SOR,63,328,1.551000e-03,4.836930e-06,8.785606e-06
RB SOR,127,671,1.050900e-02,1.209449e-06,2.196785e-06
RB SOR,255,1412,4.409500e-02,3.023758e-07,5.492651e-07
RB SOR,511,50000,5.766494e+00,7.559481e-08,1.373177e-07
"MG(v, nu=3, w=1.25)",15,8,3.880000e-04,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=1.25)",31,9,6.500000e-04,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=1.25)",63,9,1.102000e-03,4.836930e-06,8.785607e-06
"MG(v, nu=3, w=1.25)",127,10,1.800000e-03,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=1.25)",255,10,3.581000e-03,3.023759e-07,5.492653e-07
"MG(v, nu=3, w=1.25)",511,10,1.209800e-02,7.559490e-08,1.373180e-07
"MG(v, nu=3, w=auto)",15,15,7.930000e-04,7.711187e-05,1.399549e-04
"MG(v, nu=3, w=auto)",31,28,2.260000e-03,1.933384e-05,3.508533e-05
"MG(v, nu=3, w=auto)",63,56,6.478000e-03,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=auto)",127,100,1.617500e-02,1.209448e-06,2.196793e-06
"MG(v, nu=3, w=auto)",255,100,3.255900e-02,2.157070e-06,8.055197e-06
"MG(v, nu=3, w=auto)",511,100,8.433800e-02,3.102412e-03,1.354926e-02
"MG(w, nu=3, w=1.25)",15,7,4.180000e-04,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=1.25)",31,7,1.354000e-03,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=1.25)",63,8,2.849000e-03,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=1.25)",127,8,6.381000e-03,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=1.25)",255,8,1.259100e-02,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=1.25)",511,8,2.937400e-02,7.559482e-08,1.373179e-07
"MG(w, nu=3, w=auto)",15,13,7.980000e-04,7.711187e-05,1.399549e-04
"MG(w, nu=3, w=auto)",31,25,4.099000e-03,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=auto)",63,50,1.646900e-02,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=auto)",127,100,6.874200e-02,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=auto)",255,100,1.492020e-01,3.111395e-07,8.070155e-07
"MG(w, nu=3, w=auto)",511,100,3.527150e-01,7.878824e-05,5.482998e-04
