Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,306,9.110000e-04,2.953815e-04,5.717083e-04
Jacobi,23,697,3.456000e-03,1.319268e-04,2.556500e-04
Jacobi,31,1245,5.840000e-03,7.433227e-05,1.438534e-04
Jacobi,47,2808,1.012500e-02,3.307519e-05,6.408442e-05
Jacobi,63,4996,2.389400e-02,1.861233e-05,3.615083e-05
Jacobi,95,11247,6.814700e-02,8.274526e-06,1.608248e-05
Jacobi,127,19996,1.627510e-01,4.654884e-06,9.044162e-06
RB GS,15,156,6.650000e-04,2.953815e-04,5.717083e-04
RB GS,23,354,1.906000e-03,1.319268e-04,2.556500e-04
RB GS,31,632,2.944000e-03,7.433227e-05,1.438534e-04
RB GS,47,1425,8.394000e-03,3.307519e-05,6.408442e-05
RB GS,63,2535,1.509000e-02,1.861233e-05,3.615084e-05
RB GS,95,5705,4.693500e-02,8.274529e-06,1.608248e-05
RB GS,127,10142,1.076070e-01,4.654887e-06,9.044168e-06
RB SOR,15,67,2.660000e-04,2.953815e-04,5.717083e-04
RB SOR,23,102,6.190000e-04,1.319268e-04,2.556500e-04
RB SOR,31,138,6.730000e-04,7.433228e-05,1.438535e-04
RB SOR,47,213,1.404000e-03,3.307520e-05,6.408444e-05
RB SOR,63,286,2.250000e-03,1.861234e-05,3.615085e-05
RB SOR,95,439,7.460000e-03,8.274537e-06,1.608250e-05
RB SOR,127,592,9.836000e-03,4.654896e-06,9.044184e-06
MG V-cycle,15,11,3.500000e-04,2.953815e-04,5.717083e-04
MG V-cycle,23,13,6.400000e-04,1.319268e-04,2.556500e-04
MG V-cycle,31,13,7.830000e-04,7.433228e-05,1.438535e-04
MG V-cycle,47,14,1.207000e-03,3.307520e-05,6.408444e-05
MG V-cycle,63,15,1.202000e-03,1.861234e-05,3.615085e-05
MG V-cycle,95,15,2.060000e-03,8.274537e-06,1.608250e-05
MG V-cycle,127,16,2.293000e-03,4.654896e-06,9.044184e-06
MG W-cycle,15,11,5.730000e-04,2.953815e-04,5.717083e-04
MG W-cycle,23,11,1.594000e-03,1.319268e-04,2.556500e-04
MG W-cycle,31,11,1.273000e-03,7.433228e-05,1.438535e-04
MG W-cycle,47,12,2.931000e-03,3.307520e-05,6.408444e-05
MG W-cycle,63,12,3.667000e-03,1.861234e-05,3.615085e-05
MG W-cycle,95,12,6.699000e-03,8.274538e-06,1.608250e-05
MG W-cycle,127,12,8.025000e-03,4.654896e-06,9.044184e-06
