Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,67,9.520000e-04,1.826783e-04,4.986566e-04
RB SOR 3D,31,138,2.686000e-03,4.638968e-05,1.265027e-04
RB SOR 3D,47,212,1.313200e-02,2.067525e-05,5.638025e-05
RB SOR 3D,63,287,4.274600e-02,1.164109e-05,3.174501e-05
RB SOR 3D,79,362,8.927300e-02,7.453623e-06,2.032606e-05
RB SOR 3D,95,438,1.929430e-01,5.177380e-06,1.411881e-05
RB SOR 3D,111,516,3.515170e-01,3.804344e-06,1.038034e-05
RB SOR 3D,127,593,7.266840e-01,2.912976e-06,7.951028e-06
RB SOR 3D,143,671,1.493015e+00,2.301760e-06,6.283903e-06
RB SOR 3D,159,749,2.814931e+00,1.864512e-06,5.090706e-06
"MG 3D(v, nu=3, w=1.25)",15,6,4.850000e-04,1.826783e-04,4.986566e-04
"MG 3D(v, nu=3, w=1.25)",31,7,1.692000e-03,4.638968e-05,1.265027e-04
"MG 3D(v, nu=3, w=1.25)",47,7,4.037000e-03,2.067525e-05,5.638025e-05
"MG 3D(v, nu=3, w=1.25)",63,7,8.058000e-03,1.164109e-05,3.174501e-05
"MG 3D(v, nu=3, w=1.25)",95,7,2.659300e-02,5.177379e-06,1.411881e-05
"MG 3D(v, nu=3, w=1.25)",127,7,6.620100e-02,2.912975e-06,7.951025e-06
"MG 3D(v, nu=3, w=1.25)",191,7,4.714070e-01,1.294877e-06,3.535641e-06
"MG 3D(v, nu=3, w=1.25)",255,7,1.103297e+00,7.284113e-07,1.988774e-06
"MG 3D(v, nu=3, w=1.25)",319,7,2.283719e+00,4.661957e-07,1.272874e-06
"MG 3D(v, nu=3, w=1.25)",383,7,4.196481e+00,3.237518e-07,8.840041e-07
"MG 3D(v, nu=3, w=auto)",15,11,7.090000e-04,1.826783e-04,4.986566e-04
"MG 3D(v, nu=3, w=auto)",31,20,3.636000e-03,4.638960e-05,1.265024e-04
"MG 3D(v, nu=3, w=auto)",47,20,1.090000e-02,2.043827e-05,5.571353e-05
"MG 3D(v, nu=3, w=auto)",63,20,1.876200e-02,7.428326e-06,2.099840e-05
"MG 3D(v, nu=3, w=auto)",95,20,5.406500e-02,2.050928e-04,6.996754e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.585560e-01,1.032997e-03,4.045719e-03
"MG 3D(v, nu=3, w=auto)",191,20,1.282369e+00,6.192014e-03,2.306176e-02
"MG 3D(v, nu=3, w=auto)",255,20,3.072620e+00,1.307982e-02,5.617680e-02
"MG 3D(v, nu=3, w=auto)",319,20,6.321002e+00,2.022749e-02,9.560308e-02
"MG 3D(v, nu=3, w=auto)",383,20,1.220076e+01,3.355190e-02,1.376594e-01
"MG 3D(w, nu=3, w=1.25)",15,6,6.530000e-04,1.826783e-04,4.986566e-04
"MG 3D(w, nu=3, w=1.25)",31,6,1.877000e-03,4.638968e-05,1.265027e-04
"MG 3D(w, nu=3, w=1.25)",47,6,4.563000e-03,2.067525e-05,5.638025e-05
"MG 3D(w, nu=3, w=1.25)",63,6,1.125600e-02,1.164109e-05,3.174501e-05
"MG 3D(w, nu=3, w=1.25)",95,6,3.127800e-02,5.177380e-06,1.411881e-05
"MG 3D(w, nu=3, w=1.25)",127,6,8.382800e-02,2.912976e-06,7.951028e-06
"MG 3D(w, nu=3, w=1.25)",191,6,4.240330e-01,1.294878e-06,3.535643e-06
"MG 3D(w, nu=3, w=1.25)",255,7,1.245906e+00,7.284125e-07,1.988778e-06
"MG 3D(w, nu=3, w=1.25)",319,7,2.450385e+00,4.661970e-07,1.272877e-06
"MG 3D(w, nu=3, w=1.25)",383,7,4.966429e+00,3.237528e-07,8.840071e-07
"MG 3D(w, nu=3, w=auto)",15,11,1.372000e-03,1.826783e-04,4.986566e-04
"MG 3D(w, nu=3, w=auto)",31,20,8.299000e-03,4.638967e-05,1.265026e-04
"MG 3D(w, nu=3, w=auto)",47,20,1.636500e-02,2.067066e-05,5.638767e-05
"MG 3D(w, nu=3, w=auto)",63,20,2.834800e-02,1.161215e-05,3.697366e-05
"MG 3D(w, nu=3, w=auto)",95,20,8.261100e-02,2.747816e-05,2.787137e-04
"MG 3D(w, nu=3, w=auto)",127,20,2.130810e-01,1.645531e-04,1.918064e-03
"MG 3D(w, nu=3, w=auto)",191,20,1.296936e+00,8.789817e-04,1.337042e-02
"MG 3D(w, nu=3, w=auto)",255,20,3.378305e+00,2.052911e-03,3.564994e-02
"MG 3D(w, nu=3, w=auto)",319,20,6.795975e+00,3.331598e-03,6.403897e-02
"MG 3D(w, nu=3, w=auto)",383,20,1.328774e+01,4.591303e-03,9.432557e-02
