Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1185,9.819000e-03,6.287759e-13,1.778444e-12
Jacobi 3D,23,2676,2.409500e-02,6.281825e-13,1.776749e-12
Jacobi 3D,31,4762,7.992700e-02,6.321869e-13,1.788073e-12
Jacobi 3D,39,7445,2.106030e-01,6.321174e-13,1.787872e-12
Jacobi 3D,47,10723,4.711570e-01,6.337599e-13,1.792500e-12
Jacobi 3D,55,14597,9.057530e-01,6.347728e-13,1.795356e-12
Jacobi 3D,63,19068,1.868531e+00,6.346674e-13,1.795036e-12
RB GS 3D,15,602,5.805000e-03,4.391963e-13,1.230118e-12
RB GS 3D,23,1359,1.826100e-02,4.397963e-13,1.238560e-12
RB GS 3D,31,2417,5.658000e-02,4.476922e-13,1.263187e-12
RB GS 3D,39,3779,1.503420e-01,4.466649e-13,1.261378e-12
RB GS 3D,47,5443,3.641000e-01,4.474085e-13,1.264058e-12
RB GS 3D,55,7409,7.344130e-01,4.486485e-13,1.267916e-12
RB GS 3D,63,9678,1.310468e+00,4.488739e-13,1.268770e-12
RB SOR 3D,15,73,8.400000e-04,5.400802e-14,1.635116e-13
RB SOR 3D,23,111,4.420000e-03,4.058710e-14,1.212884e-13
RB SOR 3D,31,150,5.516000e-03,2.872077e-14,8.497543e-14
RB SOR 3D,47,228,2.104900e-02,2.021582e-14,5.890080e-14
RB SOR 3D,63,307,5.236800e-02,1.547478e-14,4.463964e-14
RB SOR 3D,79,386,1.064350e-01,1.327506e-14,3.805116e-14
RB SOR 3D,95,467,2.145200e-01,1.071896e-14,3.053287e-14
RB SOR 3D,111,547,3.425130e-01,9.814210e-15,2.781109e-14
RB SOR 3D,127,628,7.287460e-01,8.912535e-15,2.515002e-14
RB SOR 3D,143,709,1.479868e+00,8.405593e-15,2.362346e-14
RB SOR 3D,159,791,2.642272e+00,7.892185e-15,2.203619e-14
MG V-cycle 3D,15,11,6.060000e-04,4.500550e-14,1.243641e-13
MG V-cycle 3D,31,11,1.606000e-03,8.225584e-14,2.263745e-13
MG V-cycle 3D,47,11,3.851000e-03,3.963583e-13,1.114171e-12
MG V-cycle 3D,63,11,8.230000e-03,9.531244e-14,2.617004e-13
MG V-cycle 3D,95,11,2.885900e-02,4.171531e-13,1.173138e-12
MG V-cycle 3D,127,11,8.691900e-02,9.915143e-14,2.720879e-13
MG V-cycle 3D,191,11,5.829550e-01,4.230080e-13,1.189786e-12
MG V-cycle 3D,255,11,1.410257e+00,1.012831e-13,2.779634e-13
MG W-cycle 3D,15,8,7.510000e-04,5.529963e-14,1.271205e-13
MG W-cycle 3D,31,8,2.325000e-03,1.511122e-15,4.264384e-15
MG W-cycle 3D,47,7,5.578000e-03,7.121680e-15,2.109836e-14
MG W-cycle 3D,63,7,9.012000e-03,3.042111e-15,1.115145e-14
MG W-cycle 3D,95,7,2.641700e-02,1.030341e-15,4.755853e-15
MG W-cycle 3D,127,7,6.714700e-02,6.018007e-16,2.648923e-15
MG W-cycle 3D,191,7,3.781390e-01,6.766471e-16,1.986258e-15
MG W-cycle 3D,255,7,9.903760e-01,1.351789e-15,3.662001e-15
