Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1187,9.045000e-03,1.138076e-03,3.218964e-03
Jacobi 3D,23,2680,4.078600e-02,5.052696e-04,1.429118e-03
Jacobi 3D,31,4771,9.538500e-02,2.841076e-04,8.035776e-04
Jacobi 3D,39,7458,2.156940e-01,1.817973e-04,5.142004e-04
Jacobi 3D,47,10743,5.135700e-01,1.262362e-04,3.570499e-04
Jacobi 3D,55,14626,1.018438e+00,9.273969e-05,2.623074e-04
Jacobi 3D,63,19105,1.838552e+00,7.100120e-05,2.008217e-04
RB GS 3D,15,603,4.566000e-03,1.138076e-03,3.218964e-03
RB GS 3D,23,1361,2.042700e-02,5.052696e-04,1.429118e-03
RB GS 3D,31,2422,6.272000e-02,2.841076e-04,8.035776e-04
RB GS 3D,39,3786,1.569180e-01,1.817973e-04,5.142004e-04
RB GS 3D,47,5453,3.646500e-01,1.262362e-04,3.570499e-04
RB GS 3D,55,7423,7.563170e-01,9.273970e-05,2.623075e-04
RB GS 3D,63,9697,1.254401e+00,7.100121e-05,2.008217e-04
RB SOR 3D,15,73,6.300000e-04,1.138076e-03,3.218964e-03
RB SOR 3D,23,111,1.134000e-03,5.052696e-04,1.429118e-03
RB SOR 3D,31,150,2.492000e-03,2.841076e-04,8.035777e-04
RB SOR 3D,47,228,1.396600e-02,1.262362e-04,3.570500e-04
RB SOR 3D,63,307,3.572500e-02,7.100123e-05,2.008218e-04
RB SOR 3D,79,387,1.095910e-01,4.543882e-05,1.285204e-04
RB SOR 3D,95,467,2.220090e-01,3.155399e-05,8.924816e-05
RB SOR 3D,111,548,3.365800e-01,2.318219e-05,6.556915e-05
RB SOR 3D,127,629,7.320010e-01,1.774870e-05,5.020091e-05
RB SOR 3D,143,710,1.565377e+00,1.402358e-05,3.966467e-05
RB SOR 3D,159,792,2.912956e+00,1.135905e-05,3.212824e-05
MG V-cycle 3D,15,11,5.600000e-04,1.138076e-03,3.218964e-03
MG V-cycle 3D,31,11,1.548000e-03,2.841076e-04,8.035777e-04
MG V-cycle 3D,47,11,4.698000e-03,1.262362e-04,3.570499e-04
MG V-cycle 3D,63,11,9.689000e-03,7.100123e-05,2.008218e-04
MG V-cycle 3D,95,11,3.183500e-02,3.155397e-05,8.924809e-05
MG V-cycle 3D,127,11,7.261300e-02,1.774870e-05,5.020090e-05
MG V-cycle 3D,191,11,5.422480e-01,7.888156e-06,2.231108e-05
MG V-cycle 3D,255,11,1.514806e+00,4.437070e-06,1.254993e-05
MG W-cycle 3D,15,8,6.450000e-04,1.138076e-03,3.218964e-03
MG W-cycle 3D,31,6,1.571000e-03,2.841076e-04,8.035777e-04
MG W-cycle 3D,47,5,3.635000e-03,1.262362e-04,3.570500e-04
MG W-cycle 3D,63,5,7.265000e-03,7.100123e-05,2.008218e-04
MG W-cycle 3D,95,5,2.227400e-02,3.155399e-05,8.924816e-05
MG W-cycle 3D,127,5,5.944100e-02,1.774870e-05,5.020092e-05
MG W-cycle 3D,191,4,2.642700e-01,7.888181e-06,2.231114e-05
MG W-cycle 3D,255,4,5.686760e-01,4.437076e-06,1.254995e-05
