Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,73,3.943700e-05,2.959508e-13,6.311271e-13
RB SOR,31,150,2.913290e-04,1.570729e-13,3.274811e-13
RB SOR,63,307,2.366644e-03,8.340518e-14,1.709397e-13
RB SOR,127,628,1.997141e-02,4.321263e-14,8.750639e-14
RB SOR,255,1284,1.945867e-01,2.226765e-14,4.481832e-14
RB SOR,511,2637,1.351247e+00,9.832142e-15,1.972728e-14
"MG(v, nu=3, w=1.25)",15,7,8.676700e-05,5.834793e-13,8.636286e-13
"MG(v, nu=3, w=1.25)",31,8,1.909830e-04,4.513539e-14,6.336251e-14
"MG(v, nu=3, w=1.25)",63,8,5.193780e-04,6.159085e-14,8.669801e-14
"MG(v, nu=3, w=1.25)",127,9,3.363341e-03,2.629817e-15,3.621235e-15
"MG(v, nu=3, w=1.25)",255,9,1.011250e-02,2.631525e-15,4.035834e-15
"MG(v, nu=3, w=1.25)",511,9,4.143401e-02,1.844305e-15,4.422027e-15
"MG(v, nu=3, w=auto)",15,14,2.615050e-04,1.141376e-13,2.529851e-13
"MG(v, nu=3, w=auto)",31,26,9.622890e-04,1.183245e-13,2.493908e-13
"MG(v, nu=3, w=auto)",63,48,5.274886e-03,7.199530e-14,1.686706e-13
"MG(v, nu=3, w=auto)",127,97,2.980328e-02,2.733285e-14,8.686107e-14
"MG(v, nu=3, w=auto)",255,100,1.007882e-01,4.829852e-09,1.912996e-08
"MG(v, nu=3, w=auto)",511,100,3.514334e-01,5.488838e-06,1.494571e-05
"MG(w, nu=3, w=1.25)",15,7,4.094920e-04,2.385614e-14,4.029416e-14
"MG(w, nu=3, w=1.25)",31,7,1.013456e-03,2.150229e-15,6.487866e-15
"MG(w, nu=3, w=1.25)",63,7,4.063940e-03,3.874672e-16,1.990595e-15
"MG(w, nu=3, w=1.25)",127,7,8.146560e-03,3.304786e-16,9.575674e-16
"MG(w, nu=3, w=1.25)",255,7,1.657997e-02,1.342380e-15,4.427014e-15
"MG(w, nu=3, w=1.25)",511,7,5.783051e-02,7.323534e-16,2.886580e-15
"MG(w, nu=3, w=auto)",15,12,4.415300e-04,1.850881e-13,4.230644e-13
"MG(w, nu=3, w=auto)",31,22,5.084312e-03,3.356324e-14,1.065259e-13
"MG(w, nu=3, w=auto)",63,44,1.156669e-02,3.143860e-15,1.284389e-14
"MG(w, nu=3, w=auto)",127,87,6.579844e-02,1.082877e-15,5.717649e-15
"MG(w, nu=3, w=auto)",255,100,1.781326e-01,1.975606e-11,1.306088e-10
"MG(w, nu=3, w=auto)",511,100,5.668201e-01,1.350724e-08,7.409264e-08
