Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,67,5.633500e-05,2.953815e-04,5.717083e-04
RB SOR,31,138,2.636650e-04,7.433228e-05,1.438535e-04
RB SOR,63,286,2.159133e-03,1.861234e-05,3.615085e-05
RB SOR,127,592,1.880958e-02,4.654896e-06,9.044184e-06
RB SOR,255,1227,1.785105e-01,1.163837e-06,2.262062e-06
RB SOR,511,2546,1.304223e+00,2.909663e-07,5.655295e-07
"MG(v, nu=3, w=1.25)",15,6,3.630880e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=1.25)",31,7,2.891520e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=1.25)",63,8,7.817380e-04,1.861234e-05,3.615085e-05
"MG(v, nu=3, w=1.25)",127,8,5.304361e-03,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=1.25)",255,9,1.188957e-02,1.163837e-06,2.262062e-06
"MG(v, nu=3, w=1.25)",511,9,4.380573e-02,2.909662e-07,5.655295e-07
"MG(v, nu=3, w=auto)",15,11,2.749060e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=auto)",31,24,8.783360e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=auto)",63,51,4.739094e-03,1.861234e-05,3.615086e-05
"MG(v, nu=3, w=auto)",127,100,3.317396e-02,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=auto)",255,100,9.753394e-02,1.021242e-06,2.260893e-06
"MG(v, nu=3, w=auto)",511,100,3.605488e-01,3.637975e-04,1.257502e-03
"MG(w, nu=3, w=1.25)",15,6,2.206110e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=1.25)",31,7,6.310490e-04,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=1.25)",63,7,1.675891e-03,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=1.25)",127,7,4.802949e-03,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=1.25)",255,7,1.948821e-02,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=1.25)",511,8,5.862751e-02,2.909662e-07,5.655295e-07
"MG(w, nu=3, w=auto)",15,11,5.684890e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=auto)",31,23,2.889358e-03,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=auto)",63,47,1.636738e-02,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=auto)",127,96,6.402835e-02,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=auto)",255,100,1.765774e-01,1.163926e-06,2.288297e-06
"MG(w, nu=3, w=auto)",511,100,5.647368e-01,1.523502e-05,7.664716e-05
