Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,78,4.159700e-05,7.711186e-05,1.399549e-04
RB SOR,31,161,3.207170e-04,1.933384e-05,3.508534e-05
RB SOR,63,328,2.497234e-03,4.836930e-06,8.785606e-06
RB SOR,127,671,2.138132e-02,1.209449e-06,2.196785e-06
RB SOR,255,1416,2.030775e-01,3.023758e-07,5.492651e-07
RB SOR,511,50000,2.489754e+01,7.559481e-08,1.373177e-07
"MG(v, nu=3, w=1.25)",15,8,1.506130e-04,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=1.25)",31,9,3.245390e-04,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=1.25)",63,9,8.142640e-04,4.836930e-06,8.785607e-06
"MG(v, nu=3, w=1.25)",127,10,3.080153e-03,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=1.25)",255,10,1.081613e-02,3.023759e-07,5.492653e-07
"MG(v, nu=3, w=1.25)",511,10,4.706361e-02,7.559489e-08,1.373180e-07
"MG(v, nu=3, w=auto)",15,15,2.864020e-04,7.711187e-05,1.399549e-04
"MG(v, nu=3, w=auto)",31,28,1.007985e-03,1.933384e-05,3.508533e-05
"MG(v, nu=3, w=auto)",63,56,6.198775e-03,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=auto)",127,100,3.787554e-02,1.209448e-06,2.196793e-06
"MG(v, nu=3, w=auto)",255,100,1.067460e-01,2.157070e-06,8.055197e-06
"MG(v, nu=3, w=auto)",511,100,3.540662e-01,3.102412e-03,1.354926e-02
"MG(w, nu=3, w=1.25)",15,7,2.510020e-04,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=1.25)",31,7,6.339480e-04,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=1.25)",63,8,5.156463e-03,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=1.25)",127,8,6.421073e-03,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=1.25)",255,8,1.727906e-02,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=1.25)",511,8,6.802596e-02,7.559482e-08,1.373178e-07
"MG(w, nu=3, w=auto)",15,13,4.769640e-04,7.711187e-05,1.399549e-04
"MG(w, nu=3, w=auto)",31,25,2.290652e-03,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=auto)",63,50,1.567936e-02,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=auto)",127,100,6.811004e-02,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=auto)",255,100,1.723906e-01,3.111395e-07,8.070154e-07
"MG(w, nu=3, w=auto)",511,100,5.640631e-01,7.878824e-05,5.482998e-04
