Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,61,3.262500e-05,1.214909e-02,2.429817e-02
RB SOR,31,123,2.330400e-04,3.006631e-03,6.013262e-03
RB SOR,63,245,1.835099e-03,7.497604e-04,1.499521e-03
RB SOR,127,491,1.544922e-02,1.873218e-04,3.746436e-04
RB SOR,255,982,1.394464e-01,4.682304e-05,9.364609e-05
RB SOR,511,1965,9.932615e-01,1.170529e-05,2.341057e-05
"MG(v, nu=3, w=1.25)",15,6,1.116390e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=1.25)",31,7,2.482650e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=1.25)",63,7,6.453980e-04,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=1.25)",127,8,2.409053e-03,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=1.25)",255,8,1.013328e-02,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=1.25)",511,9,4.139047e-02,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=auto)",15,11,2.068360e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=auto)",31,22,8.311500e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=auto)",63,48,5.118434e-03,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=auto)",127,98,3.073269e-02,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=auto)",255,100,1.078666e-01,4.642204e-05,9.302510e-05
"MG(v, nu=3, w=auto)",511,100,3.332719e-01,2.280697e-04,7.542759e-04
"MG(w, nu=3, w=1.25)",15,6,2.696770e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=1.25)",31,6,5.405700e-04,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=1.25)",63,6,1.598202e-03,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=1.25)",127,6,4.114375e-03,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=1.25)",255,6,1.330086e-02,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=1.25)",511,7,5.320113e-02,1.170530e-05,2.341061e-05
"MG(w, nu=3, w=auto)",15,11,4.029270e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=auto)",31,22,2.021835e-03,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=auto)",63,41,1.064338e-02,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=auto)",127,85,5.925708e-02,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=auto)",255,100,1.800715e-01,4.682304e-05,9.364707e-05
"MG(w, nu=3, w=auto)",511,100,5.682516e-01,1.094964e-05,2.288854e-05
