Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,36,2.870501e-05,5.459581e-05,1.017027e-04
RB SOR,31,75,2.183740e-04,6.865478e-06,1.686381e-05
RB SOR,63,50000,5.954016e-01,4.226467e-06,1.065341e-05
RB SOR,127,50000,2.462346e+00,2.351805e-05,5.637465e-05
RB SOR,255,50000,9.785418e+00,4.277366e-05,1.198397e-04
RB SOR,511,50000,3.899371e+01,8.575100e-05,2.067793e-04
"MG(v, nu=3, w=1.25)",15,4,5.786700e-05,7.518763e-05,1.378416e-04
"MG(v, nu=3, w=1.25)",31,4,1.313570e-04,1.631208e-05,3.186217e-05
"MG(v, nu=3, w=1.25)",63,4,4.344623e-03,2.474781e-06,5.671376e-06
"MG(v, nu=3, w=1.25)",127,100,4.053772e-02,1.211734e-06,2.730465e-06
"MG(v, nu=3, w=1.25)",255,100,1.156142e-01,3.329971e-07,1.538307e-06
"MG(v, nu=3, w=1.25)",511,100,3.971341e-01,3.573672e-07,2.281312e-06
"MG(v, nu=3, w=auto)",15,6,1.475350e-04,4.849357e-05,1.005842e-04
"MG(v, nu=3, w=auto)",31,12,5.052930e-04,8.334925e-06,2.331452e-05
"MG(v, nu=3, w=auto)",63,100,1.156924e-02,4.796388e-06,1.068007e-05
"MG(v, nu=3, w=auto)",127,100,4.327149e-02,2.754506e-06,1.264303e-05
"MG(v, nu=3, w=auto)",255,100,1.153040e-01,4.973377e-06,2.593120e-05
"MG(v, nu=3, w=auto)",511,100,3.991111e-01,3.102290e-03,1.355512e-02
"MG(w, nu=3, w=1.25)",15,3,1.272530e-04,6.200941e-05,1.294970e-04
"MG(w, nu=3, w=1.25)",31,4,4.271200e-04,1.929734e-05,3.520003e-05
"MG(w, nu=3, w=1.25)",63,4,1.107985e-03,4.759274e-06,9.013913e-06
"MG(w, nu=3, w=1.25)",127,100,8.453798e-02,1.217465e-06,2.730465e-06
"MG(w, nu=3, w=1.25)",255,100,2.123451e-01,3.411363e-07,1.538307e-06
"MG(w, nu=3, w=1.25)",511,100,6.495741e-01,3.605011e-07,2.281312e-06
"MG(w, nu=3, w=auto)",15,6,2.507980e-04,7.135791e-05,1.259207e-04
"MG(w, nu=3, w=auto)",31,11,1.129868e-03,2.079871e-05,4.547404e-05
"MG(w, nu=3, w=auto)",63,100,2.890068e-02,4.805998e-06,1.181573e-05
"MG(w, nu=3, w=auto)",127,100,6.704288e-02,7.556381e-06,2.254961e-05
"MG(w, nu=3, w=auto)",255,100,2.002064e-01,9.555299e-06,3.892930e-05
"MG(w, nu=3, w=auto)",511,100,6.468237e-01,7.869330e-05,5.494695e-04
