Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,177,4.980000e-05,1.214909e-02,2.429817e-02
Jacobi,23,407,2.279050e-04,5.359167e-03,1.071833e-02
Jacobi,31,728,7.587630e-04,3.006631e-03,6.013262e-03
Jacobi,47,1647,3.632500e-03,1.333781e-03,2.667561e-03
Jacobi,63,2934,1.281054e-02,7.497604e-04,1.499521e-03
Jacobi,95,6609,5.973928e-02,3.330710e-04,6.661420e-04
Jacobi,127,11755,1.870714e-01,1.873218e-04,3.746435e-04
RB GS,15,90,6.411700e-05,1.214909e-02,2.429817e-02
RB GS,23,207,3.073620e-04,5.359167e-03,1.071833e-02
RB GS,31,370,1.008899e-03,3.006631e-03,6.013262e-03
RB GS,47,837,5.809440e-03,1.333781e-03,2.667561e-03
RB GS,63,1489,1.675067e-02,7.497604e-04,1.499521e-03
RB GS,95,3355,8.286662e-02,3.330710e-04,6.661420e-04
RB GS,127,5966,1.882692e-01,1.873218e-04,3.746435e-04
RB SOR,15,61,5.719499e-05,1.214909e-02,2.429817e-02
RB SOR,23,92,2.139210e-04,5.359167e-03,1.071833e-02
RB SOR,31,123,6.363660e-04,3.006631e-03,6.013262e-03
RB SOR,47,184,1.604836e-03,1.333781e-03,2.667561e-03
RB SOR,63,245,3.045504e-03,7.497604e-04,1.499521e-03
RB SOR,95,368,1.512132e-02,3.330710e-04,6.661421e-04
RB SOR,127,491,4.027972e-02,1.873218e-04,3.746436e-04
MG V-cycle,15,11,3.270730e-03,1.214909e-02,2.429817e-02
MG V-cycle,23,12,5.137240e-04,5.359167e-03,1.071833e-02
MG V-cycle,31,12,5.617630e-04,3.006631e-03,6.013262e-03
MG V-cycle,47,13,1.056282e-03,1.333781e-03,2.667561e-03
MG V-cycle,63,13,1.337578e-03,7.497604e-04,1.499521e-03
MG V-cycle,95,14,1.512301e-02,3.330710e-04,6.661421e-04
MG V-cycle,127,14,1.449690e-02,1.873218e-04,3.746436e-04
MG W-cycle,15,10,8.018360e-04,1.214909e-02,2.429817e-02
MG W-cycle,23,10,1.196457e-03,5.359167e-03,1.071833e-02
MG W-cycle,31,10,1.401476e-03,3.006631e-03,6.013262e-03
MG W-cycle,47,10,1.329659e-02,1.333781e-03,2.667561e-03
MG W-cycle,63,10,3.539762e-03,7.497604e-04,1.499521e-03
MG W-cycle,95,10,7.472423e-03,3.330710e-04,6.661421e-04
MG W-cycle,127,10,7.786261e-03,1.873218e-04,3.746436e-04
