Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,102,4.841000e-05,1.902101e-04,3.837167e-04
Jacobi,23,232,2.369840e-04,3.403426e-05,9.199372e-05
Jacobi,31,414,7.739890e-04,4.769348e-05,1.079896e-04
Jacobi,47,932,3.783215e-03,8.784693e-05,1.807773e-04
Jacobi,63,1658,1.237202e-02,1.025195e-04,2.078414e-04
Jacobi,95,3732,5.933278e-02,1.129647e-04,2.273023e-04
Jacobi,127,6653,1.908903e-01,1.140676e-04,2.288818e-04
RB GS,15,54,5.192299e-05,2.267014e-04,4.547654e-04
RB GS,23,122,2.472220e-04,5.991097e-05,1.335144e-04
RB GS,31,216,8.127020e-04,2.073092e-05,4.674159e-05
RB GS,47,487,4.043276e-03,5.219883e-05,1.100679e-04
RB GS,63,865,1.296412e-02,6.744334e-05,1.381677e-04
RB GS,95,1945,6.205312e-02,7.834096e-05,1.581952e-04
RB GS,127,3460,1.699336e-01,8.150405e-05,1.637794e-04
RB SOR,15,26,2.905799e-05,2.946811e-04,5.716501e-04
RB SOR,23,40,8.380901e-05,1.267798e-04,2.461460e-04
RB SOR,31,56,2.105370e-04,6.790488e-05,1.362978e-04
RB SOR,47,88,7.758690e-04,3.035948e-05,6.186962e-05
RB SOR,63,123,2.285554e-03,1.853687e-05,3.770365e-05
RB SOR,95,193,6.567069e-03,9.196119e-06,1.823902e-05
RB SOR,127,50000,2.465710e+00,4.761177e-06,1.025676e-05
MG V-cycle,15,4,7.888500e-05,2.589211e-04,4.976808e-04
MG V-cycle,23,5,1.358860e-04,1.221240e-04,2.418451e-04
MG V-cycle,31,5,1.776330e-04,6.190925e-05,1.265266e-04
MG V-cycle,47,6,3.601060e-04,3.058661e-05,6.124304e-05
MG V-cycle,63,6,5.062120e-04,1.605096e-05,3.278045e-05
MG V-cycle,95,7,1.168187e-03,7.800829e-06,1.563608e-05
MG V-cycle,127,7,2.007548e-03,4.203795e-06,8.569003e-06
MG W-cycle,15,4,1.590550e-04,2.736597e-04,5.250393e-04
MG W-cycle,23,5,3.877010e-04,1.306414e-04,2.549581e-04
MG W-cycle,31,5,5.880060e-04,7.356318e-05,1.440464e-04
MG W-cycle,47,5,8.896620e-04,3.277726e-05,6.411658e-05
MG W-cycle,63,5,1.487115e-03,1.846811e-05,3.615821e-05
MG W-cycle,95,5,2.440234e-03,8.255854e-06,1.617252e-05
MG W-cycle,127,6,4.241432e-03,4.657457e-06,9.126023e-06
