Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,67,5.838820e-04,1.826783e-04,4.986566e-04
RB SOR 3D,31,138,9.707896e-03,4.638968e-05,1.265027e-04
RB SOR 3D,47,212,7.762957e-02,2.067525e-05,5.638025e-05
RB SOR 3D,63,287,1.863441e-01,1.164109e-05,3.174501e-05
RB SOR 3D,79,362,4.250133e-01,7.453623e-06,2.032606e-05
RB SOR 3D,95,438,9.227714e-01,5.177380e-06,1.411881e-05
RB SOR 3D,111,516,1.902044e+00,3.804344e-06,1.038034e-05
RB SOR 3D,127,593,3.395962e+00,2.912976e-06,7.951028e-06
RB SOR 3D,143,671,5.689985e+00,2.301760e-06,6.283903e-06
RB SOR 3D,159,749,8.725127e+00,1.864512e-06,5.090706e-06
"MG 3D(v, nu=3, w=1.25)",15,6,6.248770e-04,1.826783e-04,4.986566e-04
"MG 3D(v, nu=3, w=1.25)",31,7,5.219014e-03,4.638968e-05,1.265027e-04
"MG 3D(v, nu=3, w=1.25)",47,7,1.717048e-02,2.067525e-05,5.638025e-05
"MG 3D(v, nu=3, w=1.25)",63,7,4.541752e-02,1.164109e-05,3.174501e-05
"MG 3D(v, nu=3, w=1.25)",95,7,9.960541e-02,5.177379e-06,1.411881e-05
"MG 3D(v, nu=3, w=1.25)",127,7,2.578893e-01,2.912975e-06,7.951025e-06
"MG 3D(v, nu=3, w=1.25)",191,7,1.018452e+00,1.294877e-06,3.535641e-06
"MG 3D(v, nu=3, w=1.25)",255,7,2.327673e+00,7.284113e-07,1.988774e-06
"MG 3D(v, nu=3, w=auto)",15,11,1.395660e-03,1.826783e-04,4.986566e-04
"MG 3D(v, nu=3, w=auto)",31,20,9.801493e-03,4.638960e-05,1.265024e-04
"MG 3D(v, nu=3, w=auto)",47,20,5.090800e-02,2.043827e-05,5.571353e-05
"MG 3D(v, nu=3, w=auto)",63,20,9.449885e-02,7.428326e-06,2.099840e-05
"MG 3D(v, nu=3, w=auto)",95,20,2.731555e-01,2.050928e-04,6.996754e-04
"MG 3D(v, nu=3, w=auto)",127,20,7.342867e-01,1.032997e-03,4.045719e-03
"MG 3D(v, nu=3, w=auto)",191,20,2.767266e+00,6.192014e-03,2.306176e-02
"MG 3D(v, nu=3, w=auto)",255,20,6.654393e+00,1.307982e-02,5.617680e-02
"MG 3D(w, nu=3, w=1.25)",15,6,1.190554e-03,1.826783e-04,4.986566e-04
"MG 3D(w, nu=3, w=1.25)",31,6,4.620964e-03,4.638968e-05,1.265027e-04
"MG 3D(w, nu=3, w=1.25)",47,6,1.894916e-02,2.067525e-05,5.638025e-05
"MG 3D(w, nu=3, w=1.25)",63,6,3.945104e-02,1.164109e-05,3.174501e-05
"MG 3D(w, nu=3, w=1.25)",95,6,9.519829e-02,5.177380e-06,1.411881e-05
"MG 3D(w, nu=3, w=1.25)",127,6,2.618509e-01,2.912976e-06,7.951028e-06
"MG 3D(w, nu=3, w=1.25)",191,6,9.618720e-01,1.294878e-06,3.535643e-06
"MG 3D(w, nu=3, w=1.25)",255,7,2.690854e+00,7.284126e-07,1.988778e-06
"MG 3D(w, nu=3, w=auto)",15,11,2.008731e-03,1.826783e-04,4.986566e-04
"MG 3D(w, nu=3, w=auto)",31,20,1.509563e-02,4.638967e-05,1.265026e-04
"MG 3D(w, nu=3, w=auto)",47,20,5.645460e-02,2.067066e-05,5.638767e-05
"MG 3D(w, nu=3, w=auto)",63,20,1.076819e-01,1.161215e-05,3.697366e-05
"MG 3D(w, nu=3, w=auto)",95,20,3.330957e-01,2.747816e-05,2.787137e-04
"MG 3D(w, nu=3, w=auto)",127,20,8.472852e-01,1.645531e-04,1.918064e-03
"MG 3D(w, nu=3, w=auto)",191,20,3.096728e+00,8.789817e-04,1.337042e-02
"MG 3D(w, nu=3, w=auto)",255,20,7.566550e+00,2.052911e-03,3.564994e-02
