Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,78,6.622600e-04,1.196900e-04,2.822351e-04
RB SOR 3D,31,160,1.156565e-02,3.009750e-05,7.114304e-05
RB SOR 3D,47,243,8.099451e-02,1.339099e-05,3.168567e-05
RB SOR 3D,63,327,2.151945e-01,7.535250e-06,1.782635e-05
RB SOR 3D,79,411,4.960422e-01,4.823394e-06,1.141042e-05
RB SOR 3D,95,496,1.061750e+00,3.349894e-06,7.926262e-06
RB SOR 3D,111,582,2.152336e+00,2.461286e-06,5.823450e-06
RB SOR 3D,127,668,3.895065e+00,1.884491e-06,4.458499e-06
RB SOR 3D,143,755,6.195888e+00,1.489018e-06,3.523182e-06
RB SOR 3D,159,842,9.813189e+00,1.206126e-06,2.853792e-06
"MG 3D(v, nu=3, w=1.25)",15,7,2.583553e-03,1.196900e-04,2.822351e-04
"MG 3D(v, nu=3, w=1.25)",31,7,4.800137e-03,3.009749e-05,7.114301e-05
"MG 3D(v, nu=3, w=1.25)",47,7,1.983048e-02,1.339098e-05,3.168563e-05
"MG 3D(v, nu=3, w=1.25)",63,7,4.116686e-02,7.535232e-06,1.782630e-05
"MG 3D(v, nu=3, w=1.25)",95,7,1.031372e-01,3.349879e-06,7.926221e-06
"MG 3D(v, nu=3, w=1.25)",127,8,2.891355e-01,1.884491e-06,4.458500e-06
"MG 3D(v, nu=3, w=1.25)",191,8,1.130090e+00,8.376073e-07,1.981868e-06
"MG 3D(v, nu=3, w=1.25)",255,8,2.682513e+00,4.711648e-07,1.114827e-06
"MG 3D(v, nu=3, w=auto)",15,14,1.674752e-03,1.196900e-04,2.822351e-04
"MG 3D(v, nu=3, w=auto)",31,20,1.200634e-02,3.009224e-05,7.112628e-05
"MG 3D(v, nu=3, w=auto)",47,20,5.106229e-02,8.142157e-06,2.804482e-05
"MG 3D(v, nu=3, w=auto)",63,20,1.017792e-01,1.042207e-04,4.266571e-04
"MG 3D(v, nu=3, w=auto)",95,20,2.819017e-01,3.959096e-03,1.312719e-02
"MG 3D(v, nu=3, w=auto)",127,20,7.325984e-01,1.553732e-02,7.312153e-02
"MG 3D(v, nu=3, w=auto)",191,20,2.814952e+00,1.068687e-01,4.199382e-01
"MG 3D(v, nu=3, w=auto)",255,20,6.651197e+00,1.869958e-01,1.033453e+00
"MG 3D(w, nu=3, w=1.25)",15,7,9.337990e-04,1.196900e-04,2.822351e-04
"MG 3D(w, nu=3, w=1.25)",31,7,4.173485e-03,3.009750e-05,7.114305e-05
"MG 3D(w, nu=3, w=1.25)",47,7,2.105424e-02,1.339099e-05,3.168567e-05
"MG 3D(w, nu=3, w=1.25)",63,7,4.920837e-02,7.535252e-06,1.782635e-05
"MG 3D(w, nu=3, w=1.25)",95,7,1.120374e-01,3.349895e-06,7.926264e-06
"MG 3D(w, nu=3, w=1.25)",127,7,2.829403e-01,1.884492e-06,4.458501e-06
"MG 3D(w, nu=3, w=1.25)",191,7,1.157628e+00,8.376076e-07,1.981869e-06
"MG 3D(w, nu=3, w=1.25)",255,7,2.669031e+00,4.711653e-07,1.114828e-06
"MG 3D(w, nu=3, w=auto)",15,13,2.227858e-03,1.196900e-04,2.822351e-04
"MG 3D(w, nu=3, w=auto)",31,20,1.266339e-02,3.009748e-05,7.114389e-05
"MG 3D(w, nu=3, w=auto)",47,20,5.848111e-02,1.338458e-05,3.124921e-05
"MG 3D(w, nu=3, w=auto)",63,20,1.103711e-01,1.355483e-05,1.155234e-04
"MG 3D(w, nu=3, w=auto)",95,20,3.240371e-01,3.713817e-04,4.959376e-03
"MG 3D(w, nu=3, w=auto)",127,20,8.160670e-01,2.059007e-03,3.437958e-02
"MG 3D(w, nu=3, w=auto)",191,20,3.157932e+00,1.174730e-02,2.489427e-01
"MG 3D(w, nu=3, w=auto)",255,20,7.574598e+00,2.697626e-02,6.714862e-01
