Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,305,1.547556e-03,1.826783e-04,4.986566e-04
Jacobi 3D,23,694,1.184806e-02,8.214404e-05,2.213522e-04
Jacobi 3D,31,1238,6.217942e-02,4.638968e-05,1.265027e-04
Jacobi 3D,39,1937,1.724211e-01,2.974325e-05,8.097870e-05
Jacobi 3D,47,2791,4.158994e-01,2.067524e-05,5.638023e-05
Jacobi 3D,55,3801,8.890274e-01,1.519890e-05,4.146724e-05
Jacobi 3D,63,4965,1.751419e+00,1.164108e-05,3.174500e-05
RB GS 3D,15,155,3.488876e-03,1.826783e-04,4.986566e-04
RB GS 3D,23,352,1.623960e-02,8.214404e-05,2.213522e-04
RB GS 3D,31,628,7.048500e-02,4.638968e-05,1.265027e-04
RB GS 3D,39,983,1.672669e-01,2.974325e-05,8.097871e-05
RB GS 3D,47,1416,3.726224e-01,2.067525e-05,5.638024e-05
RB GS 3D,55,1928,7.629260e-01,1.519890e-05,4.146725e-05
RB GS 3D,63,2519,1.469706e+00,1.164108e-05,3.174500e-05
RB SOR 3D,15,67,9.371280e-04,1.826783e-04,4.986566e-04
RB SOR 3D,23,102,4.514660e-03,8.214405e-05,2.213522e-04
RB SOR 3D,31,138,1.760924e-02,4.638968e-05,1.265027e-04
RB SOR 3D,47,212,7.984483e-02,2.067525e-05,5.638025e-05
RB SOR 3D,63,287,1.920768e-01,1.164109e-05,3.174501e-05
RB SOR 3D,79,362,4.349214e-01,7.453623e-06,2.032606e-05
RB SOR 3D,95,438,9.085248e-01,5.177380e-06,1.411881e-05
RB SOR 3D,111,516,1.876195e+00,3.804344e-06,1.038034e-05
RB SOR 3D,127,593,3.462476e+00,2.912976e-06,7.951028e-06
RB SOR 3D,143,671,5.521681e+00,2.301760e-06,6.283903e-06
RB SOR 3D,159,749,8.797452e+00,1.864512e-06,5.090706e-06
MG V-cycle 3D,15,11,2.807069e-03,1.826783e-04,4.986566e-04
MG V-cycle 3D,31,12,9.213048e-03,4.638968e-05,1.265027e-04
MG V-cycle 3D,47,12,2.373906e-02,2.067525e-05,5.638025e-05
MG V-cycle 3D,63,12,5.606913e-02,1.164109e-05,3.174501e-05
MG V-cycle 3D,95,12,1.372442e-01,5.177378e-06,1.411881e-05
MG V-cycle 3D,127,12,3.410180e-01,2.912975e-06,7.951023e-06
MG V-cycle 3D,191,12,1.344644e+00,1.294876e-06,3.535638e-06
MG V-cycle 3D,255,12,3.207432e+00,7.284110e-07,1.988773e-06
MG W-cycle 3D,15,10,1.569664e-03,1.826783e-04,4.986566e-04
MG W-cycle 3D,31,10,7.968730e-03,4.638968e-05,1.265027e-04
MG W-cycle 3D,47,10,3.088867e-02,2.067525e-05,5.638025e-05
MG W-cycle 3D,63,10,3.914560e-02,1.164109e-05,3.174502e-05
MG W-cycle 3D,95,10,1.380370e-01,5.177380e-06,1.411881e-05
MG W-cycle 3D,127,10,3.378129e-01,2.912976e-06,7.951028e-06
MG W-cycle 3D,191,10,1.289420e+00,1.294878e-06,3.535643e-06
MG W-cycle 3D,255,11,3.362550e+00,7.284126e-07,1.988778e-06
