Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1286,6.457837e-03,1.196900e-04,2.822350e-04
Jacobi 3D,23,2899,4.986147e-02,5.342622e-05,1.259593e-04
Jacobi 3D,31,5157,2.440283e-01,3.009745e-05,7.114292e-05
Jacobi 3D,39,8058,7.283351e-01,1.927572e-05,4.560156e-05
Jacobi 3D,47,11603,1.669746e+00,1.339094e-05,3.168554e-05
Jacobi 3D,55,15792,3.631357e+00,9.840460e-06,2.328317e-05
Jacobi 3D,63,20626,7.197426e+00,7.535198e-06,1.782622e-05
RB GS 3D,15,652,1.079594e-02,1.196900e-04,2.822350e-04
RB GS 3D,23,1470,6.466144e-02,5.342624e-05,1.259593e-04
RB GS 3D,31,2615,2.131181e-01,3.009747e-05,7.114296e-05
RB GS 3D,39,4086,6.035512e-01,1.927574e-05,4.560160e-05
RB GS 3D,47,5883,1.470624e+00,1.339096e-05,3.168558e-05
RB GS 3D,55,8007,3.145562e+00,9.840476e-06,2.328321e-05
RB GS 3D,63,10457,6.129253e+00,7.535214e-06,1.782626e-05
RB SOR 3D,15,78,9.826490e-04,1.196900e-04,2.822351e-04
RB SOR 3D,23,119,8.106478e-03,5.342627e-05,1.259594e-04
RB SOR 3D,31,160,2.169598e-02,3.009750e-05,7.114304e-05
RB SOR 3D,47,243,8.345721e-02,1.339099e-05,3.168567e-05
RB SOR 3D,63,327,2.128811e-01,7.535250e-06,1.782635e-05
RB SOR 3D,79,411,4.944785e-01,4.823394e-06,1.141042e-05
RB SOR 3D,95,496,1.065718e+00,3.349894e-06,7.926262e-06
RB SOR 3D,111,582,2.278962e+00,2.461286e-06,5.823450e-06
RB SOR 3D,127,668,3.940160e+00,1.884491e-06,4.458499e-06
RB SOR 3D,143,755,6.390116e+00,1.489018e-06,3.523182e-06
RB SOR 3D,159,842,9.823797e+00,1.206126e-06,2.853792e-06
MG V-cycle 3D,15,11,3.007826e-03,1.196900e-04,2.822350e-04
MG V-cycle 3D,31,12,6.294993e-03,3.009750e-05,7.114303e-05
MG V-cycle 3D,47,12,2.816816e-02,1.339097e-05,3.168560e-05
MG V-cycle 3D,63,12,5.167945e-02,7.535245e-06,1.782633e-05
MG V-cycle 3D,95,13,1.529151e-01,3.349891e-06,7.926255e-06
MG V-cycle 3D,127,13,3.648932e-01,1.884491e-06,4.458498e-06
MG V-cycle 3D,191,13,1.456967e+00,8.376041e-07,1.981860e-06
MG V-cycle 3D,255,13,3.436785e+00,4.711645e-07,1.114825e-06
MG W-cycle 3D,15,10,1.481529e-03,1.196900e-04,2.822351e-04
MG W-cycle 3D,31,11,7.466769e-03,3.009750e-05,7.114305e-05
MG W-cycle 3D,47,11,5.268581e-02,1.339099e-05,3.168567e-05
MG W-cycle 3D,63,11,6.667111e-02,7.535252e-06,1.782635e-05
MG W-cycle 3D,95,11,1.407207e-01,3.349895e-06,7.926264e-06
MG W-cycle 3D,127,11,3.641687e-01,1.884492e-06,4.458501e-06
MG W-cycle 3D,191,11,1.380416e+00,8.376076e-07,1.981869e-06
MG W-cycle 3D,255,11,3.362083e+00,4.711652e-07,1.114828e-06
