Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1187,5.984007e-03,1.138076e-03,3.218964e-03
Jacobi 3D,23,2680,4.690217e-02,5.052696e-04,1.429118e-03
Jacobi 3D,31,4771,2.133678e-01,2.841076e-04,8.035776e-04
Jacobi 3D,39,7458,6.251486e-01,1.817973e-04,5.142004e-04
Jacobi 3D,47,10743,1.557430e+00,1.262362e-04,3.570499e-04
Jacobi 3D,55,14625,3.350197e+00,9.273969e-05,2.623074e-04
Jacobi 3D,63,19105,6.651362e+00,7.100120e-05,2.008217e-04
RB GS 3D,15,603,8.327028e-03,1.138076e-03,3.218964e-03
RB GS 3D,23,1361,5.914328e-02,5.052696e-04,1.429118e-03
RB GS 3D,31,2422,1.996719e-01,2.841076e-04,8.035776e-04
RB GS 3D,39,3786,5.614621e-01,1.817973e-04,5.142004e-04
RB GS 3D,47,5453,1.364627e+00,1.262362e-04,3.570499e-04
RB GS 3D,55,7423,2.927719e+00,9.273970e-05,2.623075e-04
RB GS 3D,63,9697,5.691216e+00,7.100121e-05,2.008217e-04
RB SOR 3D,15,73,8.070910e-04,1.138076e-03,3.218964e-03
RB SOR 3D,23,111,5.283023e-03,5.052696e-04,1.429118e-03
RB SOR 3D,31,150,1.501700e-02,2.841076e-04,8.035777e-04
RB SOR 3D,47,228,8.188350e-02,1.262362e-04,3.570500e-04
RB SOR 3D,63,307,1.981404e-01,7.100123e-05,2.008218e-04
RB SOR 3D,79,387,4.603013e-01,4.543882e-05,1.285204e-04
RB SOR 3D,95,467,9.672450e-01,3.155399e-05,8.924816e-05
RB SOR 3D,111,548,2.036198e+00,2.318219e-05,6.556915e-05
RB SOR 3D,127,629,3.690777e+00,1.774870e-05,5.020091e-05
RB SOR 3D,143,710,6.135879e+00,1.402358e-05,3.966467e-05
RB SOR 3D,159,792,9.139304e+00,1.135905e-05,3.212824e-05
MG V-cycle 3D,15,11,9.220740e-04,1.138076e-03,3.218964e-03
MG V-cycle 3D,31,11,7.108944e-03,2.841076e-04,8.035777e-04
MG V-cycle 3D,47,11,1.968928e-02,1.262362e-04,3.570499e-04
MG V-cycle 3D,63,11,5.959460e-02,7.100123e-05,2.008218e-04
MG V-cycle 3D,95,11,1.251836e-01,3.155397e-05,8.924809e-05
MG V-cycle 3D,127,11,3.167047e-01,1.774870e-05,5.020090e-05
MG V-cycle 3D,191,11,1.246393e+00,7.888156e-06,2.231108e-05
MG V-cycle 3D,255,11,3.048441e+00,4.437070e-06,1.254993e-05
MG W-cycle 3D,15,8,8.933630e-04,1.138076e-03,3.218964e-03
MG W-cycle 3D,31,6,2.800743e-03,2.841076e-04,8.035777e-04
MG W-cycle 3D,47,5,1.083751e-02,1.262362e-04,3.570500e-04
MG W-cycle 3D,63,5,2.827276e-02,7.100123e-05,2.008218e-04
MG W-cycle 3D,95,5,6.462579e-02,3.155399e-05,8.924816e-05
MG W-cycle 3D,127,5,1.714754e-01,1.774870e-05,5.020092e-05
MG W-cycle 3D,191,4,5.187564e-01,7.888181e-06,2.231114e-05
MG W-cycle 3D,255,4,1.247386e+00,4.437076e-06,1.254995e-05
