Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,67,8.400000e-05,2.953815e-04,5.717083e-04
RB SOR,31,138,4.450000e-04,7.433228e-05,1.438535e-04
RB SOR,63,286,3.871000e-03,1.861234e-05,3.615085e-05
RB SOR,127,592,3.197600e-02,4.654896e-06,9.044184e-06
RB SOR,255,1227,2.613960e-01,1.163837e-06,2.262062e-06
RB SOR,511,2546,2.144642e+00,2.909663e-07,5.655295e-07
"MG(v, nu=3, w=1.25)",15,6,3.100000e-05,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=1.25)",31,7,1.370000e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=1.25)",63,8,6.260000e-04,1.861234e-05,3.615085e-05
"MG(v, nu=3, w=1.25)",127,8,2.640000e-03,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=1.25)",255,9,1.176700e-02,1.163837e-06,2.262062e-06
"MG(v, nu=3, w=1.25)",511,9,4.675800e-02,2.909662e-07,5.655295e-07
"MG(v, nu=3, w=auto)",15,11,6.200000e-05,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=auto)",31,24,4.340000e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=auto)",63,51,3.956000e-03,1.861234e-05,3.615086e-05
"MG(v, nu=3, w=auto)",127,100,3.075100e-02,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=auto)",255,100,1.221700e-01,1.021242e-06,2.260893e-06
"MG(v, nu=3, w=auto)",511,100,4.898550e-01,3.637975e-04,1.257502e-03
"MG(w, nu=3, w=1.25)",15,6,3.800000e-05,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=1.25)",31,7,1.790000e-04,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=1.25)",63,7,7.600000e-04,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=1.25)",127,7,3.185000e-03,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=1.25)",255,7,1.302100e-02,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=1.25)",511,8,5.892800e-02,2.909662e-07,5.655295e-07
"MG(w, nu=3, w=auto)",15,11,6.400000e-05,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=auto)",31,23,5.520000e-04,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=auto)",63,47,5.096000e-03,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=auto)",127,96,4.205000e-02,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=auto)",255,100,1.732210e-01,1.163926e-06,2.288297e-06
"MG(w, nu=3, w=auto)",511,100,7.088350e-01,1.523502e-05,7.664716e-05
