Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,78,6.500000e-05,7.711186e-05,1.399549e-04
RB SOR,31,161,5.430000e-04,1.933384e-05,3.508534e-05
RB SOR,63,328,4.519000e-03,4.836930e-06,8.785606e-06
RB SOR,127,671,3.653700e-02,1.209449e-06,2.196785e-06
RB SOR,255,1412,3.078930e-01,3.023758e-07,5.492651e-07
RB SOR,511,50000,4.268999e+01,7.559481e-08,1.373177e-07
"MG(v, nu=3, w=1.25)",15,8,4.000000e-05,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=1.25)",31,9,1.740000e-04,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=1.25)",63,9,7.360000e-04,4.836930e-06,8.785607e-06
"MG(v, nu=3, w=1.25)",127,10,3.329000e-03,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=1.25)",255,10,1.363300e-02,3.023759e-07,5.492653e-07
"MG(v, nu=3, w=1.25)",511,10,5.200800e-02,7.559490e-08,1.373180e-07
"MG(v, nu=3, w=auto)",15,15,8.600000e-05,7.711187e-05,1.399549e-04
"MG(v, nu=3, w=auto)",31,28,5.070000e-04,1.933384e-05,3.508533e-05
"MG(v, nu=3, w=auto)",63,56,4.340000e-03,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=auto)",127,100,3.208900e-02,1.209448e-06,2.196793e-06
"MG(v, nu=3, w=auto)",255,100,1.218760e-01,2.157070e-06,8.055197e-06
"MG(v, nu=3, w=auto)",511,100,4.897790e-01,3.102412e-03,1.354926e-02
"MG(w, nu=3, w=1.25)",15,7,5.500000e-05,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=1.25)",31,7,2.080000e-04,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=1.25)",63,8,8.980000e-04,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=1.25)",127,8,3.710000e-03,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=1.25)",255,8,1.474600e-02,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=1.25)",511,8,6.033300e-02,7.559482e-08,1.373179e-07
"MG(w, nu=3, w=auto)",15,13,9.500000e-05,7.711187e-05,1.399549e-04
"MG(w, nu=3, w=auto)",31,25,6.100000e-04,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=auto)",63,50,5.447000e-03,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=auto)",127,100,4.436300e-02,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=auto)",255,100,1.768760e-01,3.111395e-07,8.070155e-07
"MG(w, nu=3, w=auto)",511,100,7.137810e-01,7.878824e-05,5.482998e-04
