Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,61,4.800000e-05,1.214909e-02,2.429817e-02
RB SOR,31,123,4.080000e-04,3.006631e-03,6.013262e-03
RB SOR,63,245,3.578000e-03,7.497604e-04,1.499521e-03
RB SOR,127,491,2.760300e-02,1.873218e-04,3.746436e-04
RB SOR,255,982,2.149830e-01,4.682304e-05,9.364609e-05
RB SOR,511,1965,1.705811e+00,1.170529e-05,2.341057e-05
"MG(v, nu=3, w=1.25)",15,6,3.500000e-05,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=1.25)",31,7,1.360000e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=1.25)",63,7,6.520000e-04,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=1.25)",127,8,2.699000e-03,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=1.25)",255,8,1.051000e-02,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=1.25)",511,9,4.766800e-02,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=auto)",15,11,5.700000e-05,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=auto)",31,22,4.430000e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=auto)",63,48,4.054000e-03,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=auto)",127,98,3.110700e-02,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=auto)",255,100,1.273430e-01,4.642204e-05,9.302510e-05
"MG(v, nu=3, w=auto)",511,100,5.020920e-01,2.280697e-04,7.542759e-04
"MG(w, nu=3, w=1.25)",15,6,4.700000e-05,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=1.25)",31,6,1.930000e-04,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=1.25)",63,6,6.980000e-04,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=1.25)",127,6,2.897000e-03,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=1.25)",255,6,1.127300e-02,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=1.25)",511,7,5.324600e-02,1.170530e-05,2.341061e-05
"MG(w, nu=3, w=auto)",15,11,8.100000e-05,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=auto)",31,22,5.630000e-04,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=auto)",63,41,4.467000e-03,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=auto)",127,85,3.909700e-02,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=auto)",255,100,1.828920e-01,4.682304e-05,9.364707e-05
"MG(w, nu=3, w=auto)",511,100,7.362100e-01,1.094964e-05,2.288854e-05
