Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,73,5.600000e-05,1.609482e-03,3.218964e-03
RB SOR,31,150,4.930000e-04,4.017888e-04,8.035777e-04
RB SOR,63,307,4.250000e-03,1.004109e-04,2.008218e-04
RB SOR,127,629,3.441000e-02,2.510046e-05,5.020091e-05
RB SOR,255,1287,2.834890e-01,6.274972e-06,1.254994e-05
RB SOR,511,2644,2.272788e+00,1.568734e-06,3.137468e-06
"MG(v, nu=3, w=1.25)",15,8,4.200000e-05,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=1.25)",31,8,1.870000e-04,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=1.25)",63,8,6.690000e-04,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=1.25)",127,9,2.918000e-03,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=1.25)",255,9,1.171400e-02,6.274973e-06,1.254995e-05
"MG(v, nu=3, w=1.25)",511,9,4.816900e-02,1.568734e-06,3.137469e-06
"MG(v, nu=3, w=auto)",15,14,6.500000e-05,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=auto)",31,26,4.680000e-04,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=auto)",63,48,3.738000e-03,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=auto)",127,96,3.029800e-02,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=auto)",255,100,1.248540e-01,6.263937e-06,1.281400e-05
"MG(v, nu=3, w=auto)",511,100,4.994500e-01,6.046537e-05,1.832865e-04
"MG(w, nu=3, w=1.25)",15,7,4.400000e-05,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=1.25)",31,7,1.800000e-04,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=1.25)",63,7,8.020000e-04,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=1.25)",127,7,3.268000e-03,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=1.25)",255,7,1.333900e-02,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=1.25)",511,7,5.276100e-02,1.568734e-06,3.137469e-06
"MG(w, nu=3, w=auto)",15,12,8.700000e-05,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=auto)",31,22,5.740000e-04,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=auto)",63,44,4.677000e-03,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=auto)",127,87,3.864900e-02,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=auto)",255,100,1.816240e-01,6.274984e-06,1.254938e-05
"MG(w, nu=3, w=auto)",511,100,7.274110e-01,1.588424e-06,3.663154e-06
