Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,30,2.700000e-05,1.563204e-03,3.134727e-03
RB SOR,31,64,2.150000e-04,3.785717e-04,7.593632e-04
RB SOR,63,135,1.830000e-03,8.784789e-05,1.770258e-04
RB SOR,127,298,1.596700e-02,2.141855e-05,4.309506e-05
RB SOR,255,50000,1.048736e+01,2.408440e-06,5.404552e-06
RB SOR,511,50000,4.224932e+01,3.591866e-06,1.117636e-05
"MG(v, nu=3, w=1.25)",15,3,1.800000e-05,1.598130e-03,3.204942e-03
"MG(v, nu=3, w=1.25)",31,3,8.600000e-05,3.875316e-04,7.870197e-04
"MG(v, nu=3, w=1.25)",63,4,3.280000e-04,9.968611e-05,1.997948e-04
"MG(v, nu=3, w=1.25)",127,4,1.256000e-03,2.304130e-05,4.690238e-05
"MG(v, nu=3, w=1.25)",255,4,5.313000e-03,4.684127e-06,1.055416e-05
"MG(v, nu=3, w=1.25)",511,100,4.807010e-01,2.428904e-06,7.457427e-06
"MG(v, nu=3, w=auto)",15,5,3.600000e-05,1.650455e-03,3.300190e-03
"MG(v, nu=3, w=auto)",31,10,1.860000e-04,3.821162e-04,7.708073e-04
"MG(v, nu=3, w=auto)",63,19,1.456000e-03,1.115976e-04,2.161712e-04
"MG(v, nu=3, w=auto)",127,40,1.191400e-02,2.550903e-05,5.873714e-05
"MG(v, nu=3, w=auto)",255,100,1.182620e-01,9.273293e-06,2.752009e-05
"MG(v, nu=3, w=auto)",511,100,4.773580e-01,6.210894e-05,2.305087e-04
"MG(w, nu=3, w=1.25)",15,3,2.200000e-05,1.606961e-03,3.217101e-03
"MG(w, nu=3, w=1.25)",31,3,9.800000e-05,4.011387e-04,8.023977e-04
"MG(w, nu=3, w=1.25)",63,3,3.260000e-04,1.010298e-04,2.020597e-04
"MG(w, nu=3, w=1.25)",127,3,1.326000e-03,2.605223e-05,5.242786e-05
"MG(w, nu=3, w=1.25)",255,3,5.633000e-03,6.967308e-06,1.533211e-05
"MG(w, nu=3, w=1.25)",511,100,6.907400e-01,2.868878e-06,1.116142e-05
"MG(w, nu=3, w=auto)",15,5,3.300000e-05,1.619370e-03,3.237963e-03
"MG(w, nu=3, w=auto)",31,8,2.470000e-04,4.014827e-04,8.027482e-04
"MG(w, nu=3, w=auto)",63,16,1.655000e-03,9.976393e-05,2.002991e-04
"MG(w, nu=3, w=auto)",127,34,1.471900e-02,2.507873e-05,5.125903e-05
"MG(w, nu=3, w=auto)",255,100,1.688290e-01,6.302525e-06,1.447925e-05
"MG(w, nu=3, w=auto)",511,100,6.862050e-01,1.797469e-06,9.025070e-06
