Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1185,8.400000e-04,3.446380e-12,6.892764e-12
Jacobi,23,2674,5.103000e-03,3.502649e-12,7.005292e-12
Jacobi,31,4760,1.715500e-02,3.498426e-12,6.996848e-12
Jacobi,47,10717,7.848500e-02,3.517866e-12,7.035740e-12
Jacobi,63,19057,2.439540e-01,3.523838e-12,7.047675e-12
Jacobi,95,42884,1.231765e+00,3.531017e-12,7.062143e-12
Jacobi,127,50000,2.560500e+00,9.576278e-09,1.915256e-08
RB GS,15,602,4.980000e-04,2.407255e-12,4.767582e-12
RB GS,23,1358,2.594000e-03,2.452167e-12,4.883219e-12
RB GS,31,2416,8.115000e-03,2.477366e-12,4.942768e-12
RB GS,47,5440,4.307600e-02,2.483223e-12,4.961136e-12
RB GS,63,9673,1.343220e-01,2.488872e-12,4.974750e-12
RB GS,95,21766,6.836060e-01,2.496297e-12,4.991375e-12
RB GS,127,38696,2.128688e+00,2.499245e-12,4.997738e-12
RB SOR,15,73,6.400000e-05,2.959522e-13,6.311340e-13
RB SOR,23,111,2.370000e-04,2.222419e-13,4.671055e-13
RB SOR,31,150,5.150000e-04,1.570604e-13,3.274325e-13
RB SOR,47,228,1.821000e-03,1.100008e-13,2.268255e-13
RB SOR,63,307,4.280000e-03,8.338946e-14,1.708772e-13
RB SOR,95,466,1.509000e-02,5.920692e-14,1.205286e-13
RB SOR,127,628,3.495300e-02,4.320438e-14,8.752721e-14
MG V-cycle,15,13,5.600000e-05,1.741536e-13,2.500430e-13
MG V-cycle,23,14,1.290000e-04,2.152634e-13,2.955657e-13
MG V-cycle,31,14,2.270000e-04,8.309687e-14,1.267181e-13
MG V-cycle,47,15,4.940000e-04,5.728992e-14,8.339857e-14
MG V-cycle,63,15,1.007000e-03,2.261853e-14,3.860107e-14
MG V-cycle,95,16,2.406000e-03,1.218556e-14,1.966916e-14
MG V-cycle,127,16,4.255000e-03,4.932763e-15,9.736136e-15
MG W-cycle,15,11,5.400000e-05,4.277108e-14,8.635453e-14
MG W-cycle,23,11,1.230000e-04,1.521986e-14,4.380350e-14
MG W-cycle,31,11,2.210000e-04,7.635287e-15,2.644933e-14
MG W-cycle,47,11,5.600000e-04,3.125165e-15,1.254422e-14
MG W-cycle,63,11,9.930000e-04,1.793808e-15,7.285405e-15
MG W-cycle,95,11,2.225000e-03,8.973432e-16,4.178081e-15
MG W-cycle,127,11,3.888000e-03,5.881832e-16,3.125972e-15
