Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,53,4.000000e-05,1.164088e-02,2.328193e-02
Jacobi,23,122,2.130000e-04,4.857044e-03,9.714127e-03
Jacobi,31,219,7.150000e-04,2.513521e-03,5.027294e-03
Jacobi,47,495,3.612000e-03,8.390470e-04,1.678228e-03
Jacobi,63,880,1.142300e-02,2.491145e-04,4.980564e-04
Jacobi,95,1983,5.652500e-02,1.665398e-04,3.329515e-04
Jacobi,127,3527,1.772410e-01,3.119652e-04,6.237636e-04
RB GS,15,29,2.400000e-05,1.186599e-02,2.376902e-02
RB GS,23,65,1.320000e-04,5.030790e-03,1.008022e-02
RB GS,31,115,3.850000e-04,2.652880e-03,5.317092e-03
RB GS,47,260,1.930000e-03,9.825139e-04,1.970172e-03
RB GS,63,463,6.077000e-03,3.994534e-04,8.015633e-04
RB GS,95,1042,3.090700e-02,1.896115e-05,3.896312e-05
RB GS,127,1852,9.865900e-02,1.659749e-04,3.325949e-04
RB SOR,15,20,1.800000e-05,1.199954e-02,2.396405e-02
RB SOR,23,30,5.700000e-05,5.213833e-03,1.040101e-02
RB SOR,31,41,1.410000e-04,2.844983e-03,5.692720e-03
RB SOR,47,61,4.760000e-04,1.173280e-03,2.343416e-03
RB SOR,63,82,1.063000e-03,5.881524e-04,1.176834e-03
RB SOR,95,123,3.618000e-03,1.715389e-04,3.442764e-04
RB SOR,127,164,8.632000e-03,2.600037e-05,5.352497e-05
MG V-cycle,15,3,1.600000e-05,1.193374e-02,2.423728e-02
MG V-cycle,23,4,4.500000e-05,5.319689e-03,1.071596e-02
MG V-cycle,31,4,7.800000e-05,2.954284e-03,6.008625e-03
MG V-cycle,47,5,2.310000e-04,1.326080e-03,2.668977e-03
MG V-cycle,63,5,3.070000e-04,7.413585e-04,1.500964e-03
MG V-cycle,95,5,7.130000e-04,3.245225e-04,6.663799e-04
MG V-cycle,127,6,1.501000e-03,1.862855e-04,3.747940e-04
MG W-cycle,15,3,1.900000e-05,1.194847e-02,2.415752e-02
MG W-cycle,23,4,5.800000e-05,5.348928e-03,1.071715e-02
MG W-cycle,31,4,1.040000e-04,3.002056e-03,6.013989e-03
MG W-cycle,47,4,1.910000e-04,1.332633e-03,2.668738e-03
MG W-cycle,63,4,3.480000e-04,7.493104e-04,1.499891e-03
MG W-cycle,95,4,8.260000e-04,3.330968e-04,6.673336e-04
MG W-cycle,127,4,1.408000e-03,1.873808e-04,3.758063e-04
