Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,357,2.800000e-04,1.116744e-03,2.233624e-03
Jacobi,23,805,1.408000e-03,2.182637e-04,4.366636e-04
Jacobi,31,1432,4.657000e-03,9.641110e-05,1.928806e-04
Jacobi,47,3224,2.346100e-02,3.203860e-04,6.410480e-04
Jacobi,63,5736,7.313000e-02,3.969868e-04,7.938147e-04
Jacobi,95,12916,3.680600e-01,4.496334e-04,8.983016e-04
Jacobi,127,23105,1.176776e+00,4.498175e-04,8.996725e-04
RB GS,15,188,1.420000e-04,1.265189e-03,2.537131e-03
RB GS,23,423,7.880000e-04,3.641342e-04,7.313490e-04
RB GS,31,752,2.487000e-03,4.903876e-05,9.965897e-05
RB GS,47,1693,1.269600e-02,1.743761e-04,3.490861e-04
RB GS,63,3011,4.056300e-02,2.522178e-04,5.040233e-04
RB GS,95,6773,2.038950e-01,3.079300e-04,6.151955e-04
RB GS,127,12054,6.456220e-01,3.263396e-04,6.529102e-04
RB SOR,15,30,2.400000e-05,1.563204e-03,3.134727e-03
RB SOR,23,47,9.000000e-05,6.852472e-04,1.373887e-03
RB SOR,31,64,2.200000e-04,3.785717e-04,7.593632e-04
RB SOR,47,99,7.350000e-04,1.623267e-04,3.254414e-04
RB SOR,63,135,1.779000e-03,8.784789e-05,1.770258e-04
RB SOR,95,211,6.329000e-03,3.838383e-05,7.855892e-05
RB SOR,127,298,1.602600e-02,2.141855e-05,4.309506e-05
MG V-cycle,15,5,2.500000e-05,1.591542e-03,3.202796e-03
MG V-cycle,23,5,5.500000e-05,6.755178e-04,1.385450e-03
MG V-cycle,31,6,9.300000e-05,3.983908e-04,8.007288e-04
MG V-cycle,47,6,2.330000e-04,1.720535e-04,3.504753e-04
MG V-cycle,63,6,3.760000e-04,9.748656e-05,1.994371e-04
MG V-cycle,95,7,1.000000e-03,4.398376e-05,8.869171e-05
MG V-cycle,127,7,1.706000e-03,2.536634e-05,5.161115e-05
MG W-cycle,15,4,2.300000e-05,1.602429e-03,3.221273e-03
MG W-cycle,23,4,5.800000e-05,7.128542e-04,1.429081e-03
MG W-cycle,31,4,8.600000e-05,4.012196e-04,8.035898e-04
MG W-cycle,47,4,1.930000e-04,1.781932e-04,3.564358e-04
MG W-cycle,63,4,3.490000e-04,1.001377e-04,2.003908e-04
MG W-cycle,95,4,7.800000e-04,4.421886e-05,8.833408e-05
MG W-cycle,127,4,1.443000e-03,2.488040e-05,4.953049e-05
