Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,67,1.024000e-03,1.826783e-04,4.986566e-04
RB SOR 3D,31,138,1.702500e-02,4.638968e-05,1.265027e-04
RB SOR 3D,47,212,9.504600e-02,2.067525e-05,5.638025e-05
RB SOR 3D,63,287,3.046010e-01,1.164109e-05,3.174501e-05
RB SOR 3D,79,362,7.492440e-01,7.453623e-06,2.032606e-05
RB SOR 3D,95,438,1.616386e+00,5.177380e-06,1.411881e-05
RB SOR 3D,111,516,3.076290e+00,3.804344e-06,1.038034e-05
RB SOR 3D,127,593,5.369131e+00,2.912976e-06,7.951028e-06
RB SOR 3D,143,671,8.693133e+00,2.301760e-06,6.283903e-06
RB SOR 3D,159,749,1.367871e+01,1.864512e-06,5.090706e-06
"MG 3D(v, nu=3, w=1.25)",15,6,5.840000e-04,1.826783e-04,4.986566e-04
"MG 3D(v, nu=3, w=1.25)",31,7,6.663000e-03,4.638968e-05,1.265027e-04
"MG 3D(v, nu=3, w=1.25)",47,7,1.987500e-02,2.067525e-05,5.638025e-05
"MG 3D(v, nu=3, w=1.25)",63,7,4.823200e-02,1.164109e-05,3.174501e-05
"MG 3D(v, nu=3, w=1.25)",95,7,1.628170e-01,5.177379e-06,1.411881e-05
"MG 3D(v, nu=3, w=1.25)",127,7,3.958740e-01,2.912975e-06,7.951025e-06
"MG 3D(v, nu=3, w=1.25)",191,7,1.425146e+00,1.294877e-06,3.535641e-06
"MG 3D(v, nu=3, w=1.25)",255,7,3.403683e+00,7.284113e-07,1.988774e-06
"MG 3D(v, nu=3, w=auto)",15,11,1.019000e-03,1.826783e-04,4.986566e-04
"MG 3D(v, nu=3, w=auto)",31,20,1.622000e-02,4.638960e-05,1.265024e-04
"MG 3D(v, nu=3, w=auto)",47,20,5.537600e-02,2.043827e-05,5.571353e-05
"MG 3D(v, nu=3, w=auto)",63,20,1.319420e-01,7.428326e-06,2.099840e-05
"MG 3D(v, nu=3, w=auto)",95,20,4.570620e-01,2.050928e-04,6.996754e-04
"MG 3D(v, nu=3, w=auto)",127,20,1.119624e+00,1.032997e-03,4.045719e-03
"MG 3D(v, nu=3, w=auto)",191,20,4.124436e+00,6.192014e-03,2.306176e-02
"MG 3D(v, nu=3, w=auto)",255,20,9.700081e+00,1.307982e-02,5.617680e-02
"MG 3D(w, nu=3, w=1.25)",15,6,6.320000e-04,1.826783e-04,4.986566e-04
"MG 3D(w, nu=3, w=1.25)",31,6,5.370000e-03,4.638968e-05,1.265027e-04
"MG 3D(w, nu=3, w=1.25)",47,6,1.915900e-02,2.067525e-05,5.638025e-05
"MG 3D(w, nu=3, w=1.25)",63,6,4.579600e-02,1.164109e-05,3.174501e-05
"MG 3D(w, nu=3, w=1.25)",95,6,1.585460e-01,5.177380e-06,1.411881e-05
"MG 3D(w, nu=3, w=1.25)",127,6,4.092470e-01,2.912976e-06,7.951028e-06
"MG 3D(w, nu=3, w=1.25)",191,6,1.387269e+00,1.294878e-06,3.535643e-06
"MG 3D(w, nu=3, w=1.25)",255,7,3.961953e+00,7.284125e-07,1.988778e-06
"MG 3D(w, nu=3, w=auto)",15,11,1.124000e-03,1.826783e-04,4.986566e-04
"MG 3D(w, nu=3, w=auto)",31,20,1.744300e-02,4.638967e-05,1.265026e-04
"MG 3D(w, nu=3, w=auto)",47,20,6.221200e-02,2.067066e-05,5.638767e-05
"MG 3D(w, nu=3, w=auto)",63,20,1.491510e-01,1.161215e-05,3.697366e-05
"MG 3D(w, nu=3, w=auto)",95,20,5.283490e-01,2.747816e-05,2.787137e-04
"MG 3D(w, nu=3, w=auto)",127,20,1.285764e+00,1.645531e-04,1.918064e-03
"MG 3D(w, nu=3, w=auto)",191,20,4.672683e+00,8.789817e-04,1.337042e-02
"MG 3D(w, nu=3, w=auto)",255,20,1.112441e+01,2.052911e-03,3.564994e-02
