Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,78,1.196000e-03,1.196900e-04,2.822351e-04
RB SOR 3D,31,160,1.970000e-02,3.009750e-05,7.114304e-05
RB SOR 3D,47,243,1.093670e-01,1.339099e-05,3.168567e-05
RB SOR 3D,63,327,3.458100e-01,7.535250e-06,1.782635e-05
RB SOR 3D,79,411,8.511660e-01,4.823394e-06,1.141042e-05
RB SOR 3D,95,496,1.825024e+00,3.349893e-06,7.926261e-06
RB SOR 3D,111,582,3.500535e+00,2.461285e-06,5.823449e-06
RB SOR 3D,127,668,6.114804e+00,1.884490e-06,4.458498e-06
RB SOR 3D,143,755,9.761391e+00,1.489017e-06,3.523180e-06
RB SOR 3D,159,842,1.524629e+01,1.206125e-06,2.853790e-06
"MG 3D(v, nu=3, w=1.25)",15,7,6.620000e-04,1.196900e-04,2.822351e-04
"MG 3D(v, nu=3, w=1.25)",31,7,5.516000e-03,3.009749e-05,7.114301e-05
"MG 3D(v, nu=3, w=1.25)",47,7,1.977600e-02,1.339098e-05,3.168563e-05
"MG 3D(v, nu=3, w=1.25)",63,7,4.736900e-02,7.535232e-06,1.782630e-05
"MG 3D(v, nu=3, w=1.25)",95,7,1.641070e-01,3.349879e-06,7.926221e-06
"MG 3D(v, nu=3, w=1.25)",127,8,4.514620e-01,1.884491e-06,4.458500e-06
"MG 3D(v, nu=3, w=1.25)",191,8,1.642544e+00,8.376072e-07,1.981868e-06
"MG 3D(v, nu=3, w=1.25)",255,8,3.932085e+00,4.711645e-07,1.114826e-06
"MG 3D(v, nu=3, w=auto)",15,14,1.277000e-03,1.196900e-04,2.822351e-04
"MG 3D(v, nu=3, w=auto)",31,20,1.593000e-02,3.009224e-05,7.112628e-05
"MG 3D(v, nu=3, w=auto)",47,20,5.716400e-02,8.142157e-06,2.804481e-05
"MG 3D(v, nu=3, w=auto)",63,20,1.316500e-01,1.042207e-04,4.266571e-04
"MG 3D(v, nu=3, w=auto)",95,20,4.580300e-01,3.959096e-03,1.312719e-02
"MG 3D(v, nu=3, w=auto)",127,20,1.117852e+00,1.553732e-02,7.312153e-02
"MG 3D(v, nu=3, w=auto)",191,20,4.046035e+00,1.068687e-01,4.199382e-01
"MG 3D(v, nu=3, w=auto)",255,20,9.764439e+00,1.869958e-01,1.033453e+00
"MG 3D(w, nu=3, w=1.25)",15,7,7.480000e-04,1.196900e-04,2.822351e-04
"MG 3D(w, nu=3, w=1.25)",31,7,6.255000e-03,3.009750e-05,7.114305e-05
"MG 3D(w, nu=3, w=1.25)",47,7,2.186000e-02,1.339099e-05,3.168567e-05
"MG 3D(w, nu=3, w=1.25)",63,7,5.447300e-02,7.535252e-06,1.782635e-05
"MG 3D(w, nu=3, w=1.25)",95,7,1.896940e-01,3.349895e-06,7.926264e-06
"MG 3D(w, nu=3, w=1.25)",127,7,4.588080e-01,1.884491e-06,4.458501e-06
"MG 3D(w, nu=3, w=1.25)",191,7,1.629796e+00,8.376073e-07,1.981868e-06
"MG 3D(w, nu=3, w=1.25)",255,7,3.955770e+00,4.711647e-07,1.114826e-06
"MG 3D(w, nu=3, w=auto)",15,13,1.281000e-03,1.196900e-04,2.822351e-04
"MG 3D(w, nu=3, w=auto)",31,20,1.746600e-02,3.009748e-05,7.114389e-05
"MG 3D(w, nu=3, w=auto)",47,20,6.171500e-02,1.338458e-05,3.124921e-05
"MG 3D(w, nu=3, w=auto)",63,20,1.488700e-01,1.355483e-05,1.155234e-04
"MG 3D(w, nu=3, w=auto)",95,20,5.213810e-01,3.713817e-04,4.959376e-03
"MG 3D(w, nu=3, w=auto)",127,20,1.292255e+00,2.059007e-03,3.437958e-02
"MG 3D(w, nu=3, w=auto)",191,20,4.606837e+00,1.174730e-02,2.489427e-01
"MG 3D(w, nu=3, w=auto)",255,20,1.094468e+01,2.697626e-02,6.714862e-01
