Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1185,1.657400e-02,6.287759e-13,1.778444e-12
Jacobi 3D,23,2676,1.400590e-01,6.281825e-13,1.776749e-12
Jacobi 3D,31,4762,5.890280e-01,6.321869e-13,1.788073e-12
Jacobi 3D,39,7445,1.813718e+00,6.321174e-13,1.787872e-12
Jacobi 3D,47,10723,4.465851e+00,6.337599e-13,1.792500e-12
Jacobi 3D,55,14597,9.634079e+00,6.347728e-13,1.795356e-12
Jacobi 3D,63,19068,1.888153e+01,6.346674e-13,1.795036e-12
RB GS 3D,15,602,8.889000e-03,4.391963e-13,1.230118e-12
RB GS 3D,23,1359,6.947300e-02,4.397963e-13,1.238560e-12
RB GS 3D,31,2417,2.964020e-01,4.476922e-13,1.263187e-12
RB GS 3D,39,3779,9.780050e-01,4.466649e-13,1.261378e-12
RB GS 3D,47,5443,2.441152e+00,4.474085e-13,1.264058e-12
RB GS 3D,55,7409,5.255929e+00,4.486485e-13,1.267916e-12
RB GS 3D,63,9678,1.023292e+01,4.488739e-13,1.268770e-12
RB SOR 3D,15,73,1.078000e-03,5.400802e-14,1.635116e-13
RB SOR 3D,23,111,5.704000e-03,4.058710e-14,1.212884e-13
RB SOR 3D,31,150,1.902700e-02,2.872077e-14,8.497543e-14
RB SOR 3D,47,228,1.029360e-01,2.021582e-14,5.890080e-14
RB SOR 3D,63,307,3.231800e-01,1.547478e-14,4.463964e-14
RB SOR 3D,79,386,8.054310e-01,1.327506e-14,3.805116e-14
RB SOR 3D,95,467,1.723162e+00,1.071896e-14,3.053287e-14
RB SOR 3D,111,547,3.330762e+00,9.814210e-15,2.781109e-14
RB SOR 3D,127,628,5.732126e+00,8.912535e-15,2.515002e-14
RB SOR 3D,143,709,9.265004e+00,8.405593e-15,2.362346e-14
RB SOR 3D,159,791,1.439727e+01,7.892185e-15,2.203619e-14
MG V-cycle 3D,15,11,8.420000e-04,4.501130e-14,1.243797e-13
MG V-cycle 3D,31,11,6.950000e-03,8.227404e-14,2.264196e-13
MG V-cycle 3D,47,11,2.418400e-02,3.963844e-13,1.114249e-12
MG V-cycle 3D,63,11,5.821000e-02,9.539766e-14,2.619346e-13
MG V-cycle 3D,95,11,2.003020e-01,4.172623e-13,1.173416e-12
MG V-cycle 3D,127,11,5.048350e-01,9.948932e-14,2.729744e-13
MG V-cycle 3D,191,11,1.811328e+00,4.234845e-13,1.191077e-12
MG V-cycle 3D,255,11,4.280549e+00,1.026448e-13,2.815422e-13
MG W-cycle 3D,15,8,6.520000e-04,5.530213e-14,1.271240e-13
MG W-cycle 3D,31,8,5.774000e-03,1.511702e-15,4.269588e-15
MG W-cycle 3D,47,7,1.772000e-02,7.122008e-15,2.110486e-14
MG W-cycle 3D,63,7,4.423400e-02,3.046224e-15,1.116446e-14
MG W-cycle 3D,95,7,1.519330e-01,1.056876e-15,4.766044e-15
MG W-cycle 3D,127,7,3.628490e-01,8.283947e-16,2.671420e-15
MG W-cycle 3D,191,7,1.358197e+00,1.052368e-15,3.032297e-15
MG W-cycle 3D,255,7,3.179145e+00,2.475880e-15,6.583276e-15
