Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,305,4.122000e-03,1.826783e-04,4.986566e-04
Jacobi 3D,23,694,3.531200e-02,8.214404e-05,2.213522e-04
Jacobi 3D,31,1238,1.545020e-01,4.638968e-05,1.265027e-04
Jacobi 3D,39,1937,4.681800e-01,2.974325e-05,8.097870e-05
Jacobi 3D,47,2791,1.164289e+00,2.067524e-05,5.638023e-05
Jacobi 3D,55,3801,2.526186e+00,1.519890e-05,4.146724e-05
Jacobi 3D,63,4966,4.925974e+00,1.164108e-05,3.174500e-05
RB GS 3D,15,155,2.361000e-03,1.826783e-04,4.986566e-04
RB GS 3D,23,352,1.789800e-02,8.214404e-05,2.213522e-04
RB GS 3D,31,628,7.684600e-02,4.638968e-05,1.265027e-04
RB GS 3D,39,983,2.569340e-01,2.974325e-05,8.097871e-05
RB GS 3D,47,1416,6.419430e-01,2.067525e-05,5.638024e-05
RB GS 3D,55,1928,1.367562e+00,1.519890e-05,4.146725e-05
RB GS 3D,63,2519,2.660719e+00,1.164108e-05,3.174500e-05
RB SOR 3D,15,67,9.970000e-04,1.826783e-04,4.986566e-04
RB SOR 3D,23,102,5.320000e-03,8.214405e-05,2.213522e-04
RB SOR 3D,31,138,1.718000e-02,4.638968e-05,1.265027e-04
RB SOR 3D,47,212,9.808200e-02,2.067525e-05,5.638025e-05
RB SOR 3D,63,287,3.029220e-01,1.164109e-05,3.174501e-05
RB SOR 3D,79,362,7.552950e-01,7.453623e-06,2.032606e-05
RB SOR 3D,95,438,1.611377e+00,5.177380e-06,1.411881e-05
RB SOR 3D,111,516,3.103058e+00,3.804344e-06,1.038034e-05
RB SOR 3D,127,593,5.395355e+00,2.912976e-06,7.951028e-06
RB SOR 3D,143,671,8.871578e+00,2.301760e-06,6.283903e-06
RB SOR 3D,159,749,1.364608e+01,1.864512e-06,5.090706e-06
MG V-cycle 3D,15,11,8.180000e-04,1.826783e-04,4.986566e-04
MG V-cycle 3D,31,12,7.557000e-03,4.638968e-05,1.265027e-04
MG V-cycle 3D,47,12,2.610100e-02,2.067525e-05,5.638025e-05
MG V-cycle 3D,63,12,6.326100e-02,1.164109e-05,3.174501e-05
MG V-cycle 3D,95,12,2.234980e-01,5.177378e-06,1.411881e-05
MG V-cycle 3D,127,12,5.482840e-01,2.912975e-06,7.951023e-06
MG V-cycle 3D,191,12,1.944035e+00,1.294876e-06,3.535638e-06
MG V-cycle 3D,255,12,4.771811e+00,7.284110e-07,1.988773e-06
MG W-cycle 3D,15,10,8.760000e-04,1.826783e-04,4.986566e-04
MG W-cycle 3D,31,10,7.147000e-03,4.638968e-05,1.265027e-04
MG W-cycle 3D,47,10,2.553500e-02,2.067525e-05,5.638025e-05
MG W-cycle 3D,63,10,6.044400e-02,1.164109e-05,3.174502e-05
MG W-cycle 3D,95,10,2.150610e-01,5.177380e-06,1.411881e-05
MG W-cycle 3D,127,10,5.137100e-01,2.912976e-06,7.951028e-06
MG W-cycle 3D,191,10,1.855807e+00,1.294878e-06,3.535643e-06
MG W-cycle 3D,255,11,4.976349e+00,7.284125e-07,1.988778e-06
