Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,117,1.593000e-03,1.412551e-02,3.995298e-02
Jacobi 3D,23,272,1.419400e-02,6.203668e-03,1.754662e-02
Jacobi 3D,31,488,6.069400e-02,3.475092e-03,9.829044e-03
Jacobi 3D,39,766,1.847090e-01,2.219790e-03,6.278515e-03
Jacobi 3D,47,1106,4.616100e-01,1.539914e-03,4.355534e-03
Jacobi 3D,55,1508,1.001046e+00,1.130654e-03,3.197973e-03
Jacobi 3D,63,1971,1.958042e+00,8.653042e-04,2.447450e-03
RB GS 3D,15,60,8.900000e-04,1.412551e-02,3.995298e-02
RB GS 3D,23,138,7.020000e-03,6.203668e-03,1.754662e-02
RB GS 3D,31,248,3.064500e-02,3.475092e-03,9.829044e-03
RB GS 3D,39,389,1.013340e-01,2.219790e-03,6.278515e-03
RB GS 3D,47,562,2.549980e-01,1.539914e-03,4.355535e-03
RB GS 3D,55,766,5.393010e-01,1.130654e-03,3.197973e-03
RB GS 3D,63,1001,1.056718e+00,8.653042e-04,2.447450e-03
RB SOR 3D,15,60,9.070000e-04,1.412551e-02,3.995298e-02
RB SOR 3D,23,93,4.728000e-03,6.203668e-03,1.754662e-02
RB SOR 3D,31,124,1.514800e-02,3.475092e-03,9.829044e-03
RB SOR 3D,47,187,8.388400e-02,1.539914e-03,4.355535e-03
RB SOR 3D,63,239,2.641270e-01,8.653042e-04,2.447450e-03
RB SOR 3D,79,299,6.244290e-01,5.535291e-04,1.565617e-03
RB SOR 3D,95,374,1.379455e+00,3.842951e-04,1.086951e-03
RB SOR 3D,111,437,2.655287e+00,2.822949e-04,7.984506e-04
RB SOR 3D,127,478,4.336891e+00,2.161100e-04,6.112513e-04
RB SOR 3D,143,538,7.080294e+00,1.707416e-04,4.829303e-04
RB SOR 3D,159,598,1.089064e+01,1.382938e-04,3.911539e-04
MG V-cycle 3D,15,9,7.490000e-04,1.412551e-02,3.995298e-02
MG V-cycle 3D,31,11,6.930000e-03,3.475092e-03,9.829044e-03
MG V-cycle 3D,47,11,2.428400e-02,1.539914e-03,4.355535e-03
MG V-cycle 3D,63,11,5.933700e-02,8.653042e-04,2.447450e-03
MG V-cycle 3D,95,11,2.091100e-01,3.842951e-04,1.086951e-03
MG V-cycle 3D,127,11,5.011530e-01,2.161100e-04,6.112514e-04
MG V-cycle 3D,191,11,1.830885e+00,9.603111e-05,2.716170e-04
MG V-cycle 3D,255,11,4.321113e+00,5.401400e-05,1.527747e-04
MG W-cycle 3D,15,9,7.400000e-04,1.412551e-02,3.995298e-02
MG W-cycle 3D,31,9,6.436000e-03,3.475092e-03,9.829044e-03
MG W-cycle 3D,47,8,2.032700e-02,1.539914e-03,4.355535e-03
MG W-cycle 3D,63,7,4.668500e-02,8.653042e-04,2.447450e-03
MG W-cycle 3D,95,6,1.317620e-01,3.842951e-04,1.086951e-03
MG W-cycle 3D,127,6,3.183470e-01,2.161100e-04,6.112514e-04
MG W-cycle 3D,191,5,9.387700e-01,9.603113e-05,2.716170e-04
MG W-cycle 3D,255,5,2.284482e+00,5.401401e-05,1.527747e-04
