Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,100,1.068200e-01,7.711186e-05,1.399549e-04
RB SOR,31,200,9.783500e-02,1.933384e-05,3.508534e-05
RB SOR,63,350,1.038000e-01,4.836930e-06,8.785607e-06
RB SOR,127,700,1.078800e-01,1.209449e-06,2.196785e-06
RB SOR,255,1450,1.150100e-01,3.023758e-07,5.492652e-07
RB SOR,511,50000,1.100795e+00,7.559481e-08,1.373177e-07
"MG(v, nu=3, w=1.25)",15,6,9.214700e-02,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=1.25)",31,7,1.110490e-01,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=1.25)",63,7,1.347940e-01,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=1.25)",127,7,1.060800e-01,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=1.25)",255,8,1.062430e-01,3.023758e-07,5.492652e-07
"MG(v, nu=3, w=1.25)",511,8,1.235240e-01,7.559478e-08,1.373178e-07
"MG(v, nu=3, w=auto)",15,15,1.038810e-01,7.711187e-05,1.399549e-04
"MG(v, nu=3, w=auto)",31,27,1.103760e-01,1.933384e-05,3.508535e-05
"MG(v, nu=3, w=auto)",63,53,1.787100e-01,4.836932e-06,8.785606e-06
"MG(v, nu=3, w=auto)",127,100,1.654570e-01,1.209448e-06,2.196799e-06
"MG(v, nu=3, w=auto)",255,100,2.123250e-01,2.249964e-06,7.524092e-06
"MG(v, nu=3, w=auto)",511,100,1.999490e-01,1.117177e-03,4.730344e-03
"MG(w, nu=3, w=1.25)",15,6,1.288470e-01,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=1.25)",31,6,1.036360e-01,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=1.25)",63,7,1.098150e-01,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=1.25)",127,7,1.288610e-01,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=1.25)",255,7,1.739630e-01,3.023758e-07,5.492653e-07
"MG(w, nu=3, w=1.25)",511,8,3.021360e-01,7.559483e-08,1.373179e-07
"MG(w, nu=3, w=auto)",15,13,1.026410e-01,7.711187e-05,1.399549e-04
"MG(w, nu=3, w=auto)",31,25,1.315600e-01,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=auto)",63,50,2.350300e-01,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=auto)",127,100,6.701170e-01,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=auto)",255,100,1.174589e+00,3.110260e-07,7.922206e-07
"MG(w, nu=3, w=auto)",511,100,2.285388e+00,7.856488e-05,5.461075e-04
