Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,100,1.026360e-01,1.214909e-02,2.429817e-02
RB SOR,31,150,1.025350e-01,3.006631e-03,6.013262e-03
RB SOR,63,300,1.081840e-01,7.497604e-04,1.499521e-03
RB SOR,127,550,1.176970e-01,1.873218e-04,3.746436e-04
RB SOR,255,1100,1.310860e-01,4.682306e-05,9.364612e-05
RB SOR,511,2300,1.528600e-01,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=1.25)",15,5,1.214760e-01,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=1.25)",31,5,1.094000e-01,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=1.25)",63,5,1.121760e-01,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=1.25)",127,5,1.043620e-01,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=1.25)",255,5,9.783800e-02,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=1.25)",511,5,1.190660e-01,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=auto)",15,10,1.180550e-01,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=auto)",31,22,1.397620e-01,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=auto)",63,46,1.304710e-01,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=auto)",127,90,1.587240e-01,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=auto)",255,100,2.578540e-01,4.633425e-05,9.270968e-05
"MG(v, nu=3, w=auto)",511,100,1.974400e-01,7.155030e-05,1.514281e-04
"MG(w, nu=3, w=1.25)",15,5,1.091210e-01,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=1.25)",31,4,1.076600e-01,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=1.25)",63,4,1.199360e-01,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=1.25)",127,4,1.266730e-01,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=1.25)",255,4,1.553100e-01,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=1.25)",511,4,1.888880e-01,1.170530e-05,2.341061e-05
"MG(w, nu=3, w=auto)",15,10,1.089910e-01,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=auto)",31,22,1.910240e-01,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=auto)",63,37,2.395760e-01,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=auto)",127,76,5.385790e-01,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=auto)",255,100,1.236865e+00,4.682304e-05,9.364599e-05
"MG(w, nu=3, w=auto)",511,100,2.273489e+00,1.088361e-05,2.186357e-05
