Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,50,1.038940e-01,2.953355e-04,5.717693e-04
RB SOR,31,100,1.222860e-01,7.429667e-05,1.438676e-04
RB SOR,63,150,1.371730e-01,1.834309e-05,3.552227e-05
RB SOR,127,300,9.002200e-02,4.761864e-06,9.991771e-06
RB SOR,255,20000,3.628900e-01,1.889128e-06,5.119443e-06
RB SOR,511,20000,4.066860e-01,9.927054e-07,3.735147e-06
"MG(v, nu=3, w=1.25)",15,2,9.786900e-02,2.875829e-04,5.557953e-04
"MG(v, nu=3, w=1.25)",31,3,9.665400e-02,7.434097e-05,1.439272e-04
"MG(v, nu=3, w=1.25)",63,3,9.147500e-02,1.860112e-05,3.586019e-05
"MG(v, nu=3, w=1.25)",127,3,9.548400e-02,4.850258e-06,9.598078e-06
"MG(v, nu=3, w=1.25)",255,4,9.854000e-02,2.048765e-06,4.988714e-06
"MG(v, nu=3, w=1.25)",511,100,2.148670e-01,1.721330e-06,5.719078e-06
"MG(v, nu=3, w=auto)",15,5,1.005500e-01,2.952174e-04,5.689083e-04
"MG(v, nu=3, w=auto)",31,9,9.636000e-02,1.004629e-04,1.972773e-04
"MG(v, nu=3, w=auto)",63,20,1.329440e-01,7.842638e-06,1.843974e-05
"MG(v, nu=3, w=auto)",127,44,1.209410e-01,2.815052e-06,8.640308e-06
"MG(v, nu=3, w=auto)",255,100,1.892620e-01,2.733086e-06,9.213452e-06
"MG(v, nu=3, w=auto)",511,100,1.813060e-01,1.943993e-04,6.340214e-04
"MG(w, nu=3, w=1.25)",15,2,9.620600e-02,2.875814e-04,5.557953e-04
"MG(w, nu=3, w=1.25)",31,3,1.004740e-01,7.436040e-05,1.439272e-04
"MG(w, nu=3, w=1.25)",63,3,9.785200e-02,1.854070e-05,3.621782e-05
"MG(w, nu=3, w=1.25)",127,3,1.066130e-01,4.384239e-06,8.863079e-06
"MG(w, nu=3, w=1.25)",255,3,1.282500e-01,1.084187e-06,3.624148e-06
"MG(w, nu=3, w=1.25)",511,100,2.214143e+00,1.926264e-06,6.934741e-06
"MG(w, nu=3, w=auto)",15,5,1.064920e-01,2.952484e-04,5.690275e-04
"MG(w, nu=3, w=auto)",31,9,1.049780e-01,8.098962e-05,1.594244e-04
"MG(w, nu=3, w=auto)",63,19,1.455550e-01,1.872878e-05,3.554948e-05
"MG(w, nu=3, w=auto)",127,44,3.082480e-01,4.587818e-06,9.669313e-06
"MG(w, nu=3, w=auto)",255,100,1.153398e+00,1.498050e-06,5.146198e-06
"MG(w, nu=3, w=auto)",511,100,2.252341e+00,1.522607e-05,7.826607e-05
