Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,50,9.365900e-02,7.696455e-05,1.397490e-04
RB SOR,31,100,8.863300e-02,1.969323e-05,3.709129e-05
RB SOR,63,20000,3.806070e-01,4.036339e-06,1.089182e-05
RB SOR,127,20000,3.657150e-01,1.416642e-05,3.274821e-05
RB SOR,255,20000,3.645210e-01,5.165417e-05,1.322375e-04
RB SOR,511,20000,3.949350e-01,1.206897e-05,4.339486e-05
"MG(v, nu=3, w=1.25)",15,3,9.803300e-02,7.700766e-05,1.378416e-04
"MG(v, nu=3, w=1.25)",31,3,8.834500e-02,2.030719e-05,3.444300e-05
"MG(v, nu=3, w=1.25)",63,3,9.360300e-02,5.144442e-06,1.110433e-05
"MG(v, nu=3, w=1.25)",127,100,1.662830e-01,4.300376e-06,1.838621e-05
"MG(v, nu=3, w=1.25)",255,100,1.739950e-01,7.314211e-06,2.285817e-05
"MG(v, nu=3, w=1.25)",511,100,1.992240e-01,1.167724e-05,4.683564e-05
"MG(v, nu=3, w=auto)",15,6,9.292700e-02,4.300460e-05,7.555026e-05
"MG(v, nu=3, w=auto)",31,11,1.201960e-01,6.579852e-05,1.405286e-04
"MG(v, nu=3, w=auto)",63,100,1.598700e-01,7.835987e-06,1.571215e-05
"MG(v, nu=3, w=auto)",127,100,1.532830e-01,9.329087e-06,2.313345e-05
"MG(v, nu=3, w=auto)",255,100,1.617150e-01,1.459907e-05,5.473664e-05
"MG(v, nu=3, w=auto)",511,100,1.813290e-01,1.120293e-03,4.750462e-03
"MG(w, nu=3, w=1.25)",15,3,1.061480e-01,7.723411e-05,1.378416e-04
"MG(w, nu=3, w=1.25)",31,3,1.127550e-01,1.825935e-05,3.367652e-05
"MG(w, nu=3, w=1.25)",63,3,1.114640e-01,5.230073e-06,1.185922e-05
"MG(w, nu=3, w=1.25)",127,100,6.289250e-01,4.732176e-06,1.985707e-05
"MG(w, nu=3, w=1.25)",255,100,1.168322e+00,1.433558e-05,5.398394e-05
"MG(w, nu=3, w=1.25)",511,100,2.264793e+00,1.826411e-05,8.233305e-05
"MG(w, nu=3, w=auto)",15,5,9.334100e-02,1.360455e-04,2.793407e-04
"MG(w, nu=3, w=auto)",31,11,1.450110e-01,2.096825e-05,4.390597e-05
"MG(w, nu=3, w=auto)",63,100,3.704080e-01,4.741528e-06,1.135004e-05
"MG(w, nu=3, w=auto)",127,100,6.101400e-01,5.054173e-06,1.698722e-05
"MG(w, nu=3, w=auto)",255,100,1.137193e+00,8.401773e-06,3.814565e-05
"MG(w, nu=3, w=auto)",511,100,2.197409e+00,7.905831e-05,5.542379e-04
