Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,50,8.367000e-02,1.214912e-02,2.429843e-02
RB SOR,31,50,9.055600e-02,3.030070e-03,6.054163e-03
RB SOR,63,100,9.547600e-02,7.734594e-04,1.548939e-03
RB SOR,127,250,1.017880e-01,1.899187e-04,3.802776e-04
RB SOR,255,500,9.861500e-02,4.831172e-05,9.830536e-05
RB SOR,511,20000,3.851500e-01,1.213995e-05,2.647632e-05
"MG(v, nu=3, w=1.25)",15,2,9.917400e-02,1.213136e-02,2.426958e-02
"MG(v, nu=3, w=1.25)",31,2,8.926400e-02,2.992422e-03,5.987525e-03
"MG(v, nu=3, w=1.25)",63,2,9.437800e-02,7.394076e-04,1.480579e-03
"MG(v, nu=3, w=1.25)",127,2,1.000750e-01,1.782811e-04,3.574481e-04
"MG(v, nu=3, w=1.25)",255,2,9.234200e-02,3.797366e-05,7.647179e-05
"MG(v, nu=3, w=1.25)",511,2,1.108270e-01,5.795570e-06,1.381246e-05
"MG(v, nu=3, w=auto)",15,4,9.789500e-02,1.215989e-02,2.430296e-02
"MG(v, nu=3, w=auto)",31,7,9.070300e-02,3.230149e-03,6.453991e-03
"MG(v, nu=3, w=auto)",63,14,1.056740e-01,3.792999e-04,7.719922e-04
"MG(v, nu=3, w=auto)",127,28,1.015930e-01,1.332438e-04,2.667559e-04
"MG(v, nu=3, w=auto)",255,63,1.411600e-01,1.290077e-04,2.668490e-04
"MG(v, nu=3, w=auto)",511,100,1.849890e-01,7.337025e-05,1.658006e-04
"MG(w, nu=3, w=1.25)",15,2,9.687700e-02,1.213150e-02,2.426982e-02
"MG(w, nu=3, w=1.25)",31,2,9.888100e-02,3.004463e-03,6.009698e-03
"MG(w, nu=3, w=1.25)",63,2,1.053430e-01,7.493111e-04,1.499057e-03
"MG(w, nu=3, w=1.25)",127,2,1.080820e-01,1.873659e-04,3.767014e-04
"MG(w, nu=3, w=1.25)",255,2,1.190560e-01,4.665268e-05,9.652649e-05
"MG(w, nu=3, w=1.25)",511,2,1.488450e-01,1.163898e-05,2.779074e-05
"MG(w, nu=3, w=auto)",15,4,9.740000e-02,1.215961e-02,2.430177e-02
"MG(w, nu=3, w=auto)",31,7,1.016340e-01,3.244418e-03,6.475687e-03
"MG(w, nu=3, w=auto)",63,10,1.378750e-01,7.537607e-04,1.505017e-03
"MG(w, nu=3, w=auto)",127,22,2.119850e-01,1.870379e-04,3.776388e-04
"MG(w, nu=3, w=auto)",255,44,5.784630e-01,4.681801e-05,9.643417e-05
"MG(w, nu=3, w=auto)",511,100,2.211921e+00,1.105068e-05,2.421595e-05
