Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1200,1.147520e-01,2.576158e-12,5.152316e-12
Jacobi,23,2700,1.239700e-01,2.801428e-12,5.602845e-12
Jacobi,31,4800,2.294450e-01,2.884169e-12,5.768344e-12
Jacobi,47,10750,1.939510e-01,3.277640e-12,6.555291e-12
Jacobi,63,19100,2.524090e-01,3.345861e-12,6.691724e-12
Jacobi,95,42900,4.408860e-01,3.500889e-12,7.001885e-12
Jacobi,127,50000,4.624560e-01,9.576278e-09,1.915256e-08
RB GS,15,650,1.171440e-01,3.737821e-13,7.402759e-13
RB GS,23,1400,1.233830e-01,1.191547e-12,2.372831e-12
RB GS,31,2450,1.280430e-01,1.784194e-12,3.559764e-12
RB GS,47,5450,1.799020e-01,2.379023e-12,4.752969e-12
RB GS,63,9700,2.445460e-01,2.332043e-12,4.661264e-12
RB GS,95,21800,4.459200e-01,2.407022e-12,4.812879e-12
RB GS,127,38700,6.282940e-01,2.493229e-12,4.985706e-12
RB SOR,15,100,1.170420e-01,1.649672e-17,5.551115e-17
RB SOR,23,150,1.122120e-01,2.524217e-17,6.938894e-17
RB SOR,31,150,1.086660e-01,1.570604e-13,3.274325e-13
RB SOR,47,250,9.952800e-02,6.746796e-15,1.397493e-14
RB SOR,63,350,1.225060e-01,1.379461e-15,2.817191e-15
RB SOR,95,500,1.175230e-01,6.801131e-15,1.394718e-14
RB SOR,127,650,1.336740e-01,1.515235e-14,3.057971e-14
MG V-cycle,15,8,1.211050e-01,1.373889e-12,2.714801e-12
MG V-cycle,23,9,9.702600e-02,4.059923e-13,8.071530e-13
MG V-cycle,31,8,1.070030e-01,2.154013e-12,4.265838e-12
MG V-cycle,47,9,1.025140e-01,4.812449e-13,9.587053e-13
MG V-cycle,63,8,9.747100e-02,2.403134e-12,4.760400e-12
MG V-cycle,95,9,1.014970e-01,5.020608e-13,1.000665e-12
MG V-cycle,127,8,1.185560e-01,2.469253e-12,4.891719e-12
MG W-cycle,15,7,1.107560e-01,3.447545e-14,6.647460e-14
MG W-cycle,23,6,1.087920e-01,2.410491e-13,6.536646e-13
MG W-cycle,31,6,9.696600e-02,6.758609e-14,2.210350e-13
MG W-cycle,47,6,1.125850e-01,1.276982e-14,4.661462e-14
MG W-cycle,63,6,1.055100e-01,4.841806e-15,1.574218e-14
MG W-cycle,95,6,1.239890e-01,1.505911e-15,5.166874e-15
MG W-cycle,127,6,1.185720e-01,7.334944e-16,2.805048e-15
