Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,100,9.562900e-02,1.214801e-02,2.429628e-02
Jacobi,23,150,9.401600e-02,5.256455e-03,1.051307e-02
Jacobi,31,250,9.277400e-02,2.821726e-03,5.643725e-03
Jacobi,47,500,1.009990e-01,8.724449e-04,1.744986e-03
Jacobi,63,900,1.007750e-01,3.218474e-04,6.436110e-04
Jacobi,95,2000,1.186980e-01,1.378089e-04,2.754331e-04
Jacobi,127,3550,1.254010e-01,2.899632e-04,5.800138e-04
RB GS,15,50,9.694500e-02,1.214794e-02,2.429628e-02
RB GS,23,100,9.483900e-02,5.352973e-03,1.070642e-02
RB GS,31,150,1.193640e-01,2.968062e-03,5.937576e-03
RB GS,47,300,1.114770e-01,1.218930e-03,2.439618e-03
RB GS,63,500,9.811200e-02,5.537739e-04,1.109004e-03
RB GS,95,1050,1.200150e-01,6.163149e-07,1.778375e-06
RB GS,127,1900,1.336950e-01,1.053844e-04,2.114186e-04
RB SOR,15,50,9.245700e-02,1.214912e-02,2.429843e-02
RB SOR,23,50,9.410800e-02,5.358656e-03,1.071727e-02
RB SOR,31,50,9.966800e-02,3.030070e-03,6.054163e-03
RB SOR,47,100,9.778900e-02,1.333150e-03,2.666473e-03
RB SOR,63,100,9.232400e-02,7.734594e-04,1.548939e-03
RB SOR,95,200,9.475100e-02,3.326756e-04,6.659031e-04
RB SOR,127,250,1.030920e-01,1.899187e-04,3.802776e-04
MG V-cycle,15,3,9.781800e-02,1.211645e-02,2.423739e-02
MG V-cycle,23,3,8.740400e-02,5.294935e-03,1.059353e-02
MG V-cycle,31,3,1.139130e-01,2.927839e-03,5.858779e-03
MG V-cycle,47,3,1.002050e-01,1.241825e-03,2.485037e-03
MG V-cycle,63,3,1.020850e-01,6.538068e-04,1.309514e-03
MG V-cycle,95,3,9.300000e-02,2.330097e-04,4.670620e-04
MG V-cycle,127,3,9.248800e-02,8.658887e-05,1.741583e-04
MG W-cycle,15,3,1.072030e-01,1.211928e-02,2.424264e-02
MG W-cycle,23,3,9.754500e-02,5.341870e-03,1.068509e-02
MG W-cycle,31,2,1.045900e-01,2.730066e-03,5.469203e-03
MG W-cycle,47,2,9.729400e-02,1.256498e-03,2.514362e-03
MG W-cycle,63,2,1.041960e-01,7.230196e-04,1.446486e-03
MG W-cycle,95,2,1.169110e-01,3.277906e-04,6.561279e-04
MG W-cycle,127,2,1.140660e-01,1.857441e-04,3.719330e-04
